ticker,date,open,high,low,close
ACFN,2025-07-28,18.21,21.95,17.755,21.95
ACFN,2025-07-29,24.56,27.61,23.18,24.91
ACFN,2025-07-30,26.55,27.75,25.235,26.63
ACFN,2025-07-31,26.0,27.62,25.04,26.01
ACFN,2025-08-01,25.0,28.725,22.59,28.6539
ACFN,2025-08-04,28.77,29.95,28.77,29.19
ACFN,2025-08-05,29.4,29.57,27.0101,27.53
ACFN,2025-08-06,27.36,30.69,26.6864,29.62
ACFN,2025-08-07,32.0,32.9999,28.0501,30.16
ACFN,2025-08-08,30.16,31.0,27.05,27.66
ACFN,2025-08-11,27.46,30.22,26.83,30.07
ACFN,2025-08-12,30.41,30.41,25.7019,28.59
ACFN,2025-08-13,28.1,28.9999,25.56,28.09
ACFN,2025-08-14,27.16,27.55,25.59,26.52
ACFN,2025-08-15,25.96,26.59,23.6301,25.16
ACFN,2025-08-18,26.47,26.47,25.095,26.25
ACFN,2025-08-19,24.34,26.5899,24.07,26.37
ACFN,2025-08-20,25.1,25.65,24.07,25.0
ACFN,2025-08-21,25.5,26.95,25.34,26.64
ACFN,2025-08-22,26.0,28.49,25.25,27.25
ACFN,2025-08-25,28.0,30.4,25.7,28.72
ACFN,2025-08-26,29.75,30.39,27.5,28.345
ACFN,2025-08-27,28.85,29.13,27.0299,28.3
ACFN,2025-08-28,28.0,28.0442,25.74,27.12
ACFN,2025-08-29,27.98,30.2,26.5001,27.66
ACFN,2025-09-02,28.0,29.6603,27.18,27.9
ACFN,2025-09-03,28.1,29.035,26.78,27.06
ACFN,2025-09-04,27.0,29.115,27.0,28.02
ACFN,2025-09-05,28.95,28.95,27.385,27.62
ACFN,2025-09-08,29.16,32.0,28.0506,30.58
ACFN,2025-09-09,31.94,31.94,28.57,29.2
ACFN,2025-09-10,30.5,30.5,28.385,30.14
ACFN,2025-09-11,30.18,31.5,29.71,30.4
ACFN,2025-09-12,30.08,30.9555,29.5,29.765
ACFN,2025-09-15,29.88,30.55,29.33,30.09
ACFN,2025-09-16,30.09,30.09,28.01,28.755
ACFN,2025-09-17,29.25,30.185,28.5,29.29
ACFN,2025-09-18,29.69,31.16,28.91,28.91
ACFN,2025-09-19,28.61,31.47,28.03,28.8
ACFN,2025-09-22,29.05,31.88,28.5941,30.58
ACFN,2025-09-23,30.1,31.12,28.01,29.51
ACFN,2025-09-24,29.6,30.0058,28.12,28.51
ACFN,2025-09-25,28.6545,29.98,28.56,28.56
ACFN,2025-09-26,28.56,29.505,27.63,28.55
ACFN,2025-09-29,28.32,30.1,28.3,28.3
ACFN,2025-09-30,28.62,29.117,27.5,28.32
ACFN,2025-10-01,28.38,29.0044,27.5,28.0684
ACFN,2025-10-02,28.51,28.56,27.91,28.3
ACFN,2025-10-03,28.96,29.93,28.55,29.28
ACFN,2025-10-06,29.05,29.55,27.0,27.64
ACFN,2025-10-07,27.86,27.86,26.5001,26.81
ACFN,2025-10-08,26.5,27.71,26.5,27.34
ACFN,2025-10-09,27.22,27.22,26.65,26.71
ACFN,2025-10-10,27.5,27.5,25.01,25.405
ACFN,2025-10-13,25.0,25.82,24.14,25.38
ACFN,2025-10-14,25.04,25.885,24.022,25.08
ACFN,2025-10-15,26.0,26.28,24.36,25.2038
ACFN,2025-10-16,25.01,25.374,23.6,23.67
ACFN,2025-10-17,23.71,24.51,23.2897,24.16
ACFN,2025-10-20,23.88,24.63,23.24,23.91
ACFN,2025-10-21,24.035,25.6183,23.7,24.9085
ACFN,2025-10-22,27.05,27.05,23.68,23.81
ACFN,2025-10-23,23.77,24.89,23.45,23.95
ACFN,2025-10-24,23.05,26.47,23.0,25.56
ACFN,2025-10-27,25.39,26.0068,25.01,25.01
ACFN,2025-10-28,25.3921,25.5007,25.07,25.11
ACFN,2025-10-29,24.98,25.232,24.88,25.04
ACFN,2025-10-30,23.54,25.43,23.54,24.6
ACFN,2025-10-31,24.57,25.09,23.5403,24.73
ACFN,2025-11-03,24.96,25.3045,23.88,23.93
ACFN,2025-11-04,23.5,24.18,22.75,22.945
ACFN,2025-11-05,24.16,24.16,22.315,23.0
ACFN,2025-11-06,18.0,18.6064,12.42,14.2
ACFN,2025-11-07,13.83,15.99,13.5,15.13
ACFN,2025-11-10,14.09,16.61,13.65,16.5592
ACFN,2025-11-11,16.13,17.1255,15.9201,16.13
ACFN,2025-11-12,15.9,15.9,14.5,14.51
ACFN,2025-11-13,14.5,14.87,13.82,13.97
ACFN,2025-11-14,13.8,14.64,13.69,14.15
ACFN,2025-11-17,14.15,14.3,13.3,13.72
ACFN,2025-11-18,13.67,13.775,13.29,13.29
ACFN,2025-11-19,13.4,14.5,13.4,14.44
ACFN,2025-11-20,14.79,14.79,13.2669,13.49
ACFN,2025-11-21,13.61,13.97,12.8,12.81
ACFN,2025-11-24,13.0,13.675,12.4214,13.28
ACFN,2025-11-25,13.22,14.655,13.22,14.655
ACFN,2025-11-26,14.3481,14.68,13.98,14.2
ACFN,2025-11-28,14.4744,15.0,14.38,14.87
ACFN,2025-12-01,14.5,14.88,14.0989,14.37
ACFN,2025-12-02,14.91,15.5,14.4,15.21
ACFN,2025-12-03,15.59,16.54,15.0,15.94
ACFN,2025-12-04,15.93,16.89,15.89,16.52
ACFN,2025-12-05,16.675,16.675,15.0,15.0
ACFN,2025-12-08,15.5,15.79,15.2501,15.52
ACFN,2025-12-09,15.91,16.75,15.91,16.75
ACFN,2025-12-10,16.35,16.95,15.631,16.775
ACFN,2025-12-11,16.75,17.53,16.16,16.56
ACFN,2025-12-12,16.4033,16.91,15.1125,15.79
ACFN,2025-12-15,15.91,17.0,14.8,15.63
ACFN,2025-12-16,15.15,16.195,14.82,14.82
ACFN,2025-12-17,15.19,15.96,14.02,15.36
ACFN,2025-12-18,16.1214,16.35,14.6215,14.9
ACFN,2025-12-19,15.43,16.14,14.45,15.02
ACFN,2025-12-22,15.5001,16.0464,14.8607,15.01
ACFN,2025-12-23,15.7146,15.75,14.875,15.75
ACFN,2025-12-24,15.6,16.8685,15.235,15.77
ACFN,2025-12-26,15.9462,16.005,14.82,15.2
ACFN,2025-12-29,15.19,16.085,14.685,15.22
ACFN,2025-12-30,15.15,15.8599,14.87,14.93
ACFN,2025-12-31,15.3,16.005,14.85,15.1
ACFN,2026-01-02,15.2,16.2,15.0,15.22
ACFN,2026-01-05,15.79,20.25,15.4,19.45
ACFN,2026-01-06,19.1,19.1971,17.18,17.34
ACFN,2026-01-07,17.5,19.46,17.395,19.44
ACFN,2026-01-08,20.75,20.95,19.5,20.81
ACFN,2026-01-09,20.95,21.5,19.99,20.97
ACFN,2026-01-12,20.5,20.92,20.14,20.73
ACFN,2026-01-13,19.6,20.71,19.6,20.71
ACFN,2026-01-14,20.69,20.69,19.61,20.14
ACFN,2026-01-15,20.2434,20.2434,19.62,19.95
ACFN,2026-01-16,20.126,20.126,19.01,19.02
ACFN,2026-01-20,18.59,20.08,18.209,19.05
ACFN,2026-01-21,19.2002,19.2002,18.01,18.19
