ticker,date,open,high,low,close
ADVB,2025-03-06,4.0,4.1,3.6,3.65
ADVB,2025-03-07,3.73,3.84,3.31,3.66
ADVB,2025-03-10,3.16,3.79,3.16,3.53
ADVB,2025-03-11,3.06,3.9059,3.06,3.8
ADVB,2025-03-12,3.9,3.9,3.4,3.7394
ADVB,2025-03-13,3.59,3.7,3.45,3.53
ADVB,2025-03-14,3.6,3.8,3.45,3.74
ADVB,2025-03-17,3.81,3.98,3.65,3.89
ADVB,2025-03-18,3.9,3.9,3.64,3.65
ADVB,2025-03-19,3.51,3.8,3.51,3.66
ADVB,2025-03-20,3.68,3.755,3.51,3.68
ADVB,2025-03-21,3.69,3.85,3.69,3.84
ADVB,2025-03-24,3.85,3.98,3.74,3.9001
ADVB,2025-03-25,3.84,3.98,3.83,3.8901
ADVB,2025-03-26,3.96,3.96,3.96,3.96
ADVB,2025-03-27,3.9253,3.97,3.75,3.97
ADVB,2025-03-28,3.98,4.0,3.72,4.0
ADVB,2025-03-31,3.92,3.92,3.81,3.92
ADVB,2025-04-01,3.99,3.99,3.7,3.8283
ADVB,2025-04-02,3.8,4.0,3.09,3.67
ADVB,2025-04-03,3.49,3.49,3.2,3.49
ADVB,2025-04-04,3.27,3.65,3.16,3.36
ADVB,2025-04-07,3.31,3.63,2.72,2.9
ADVB,2025-04-08,1.81,1.81,1.76,1.81
ADVB,2025-04-09,2.04,2.1,1.975,1.975
ADVB,2025-04-10,1.8,1.8,1.76,1.8
ADVB,2025-04-11,1.63,1.9,1.63,1.71
ADVB,2025-04-14,1.87,2.1,1.64,1.83
ADVB,2025-04-15,1.85,2.045,1.81,1.9
ADVB,2025-04-16,1.81,2.04,1.7386,1.92
ADVB,2025-04-17,1.92,2.151,1.76,1.81
ADVB,2025-04-21,1.81,1.955,1.66,1.67
ADVB,2025-04-22,1.77,1.77,1.71,1.77
ADVB,2025-04-23,1.78,1.9,1.66,1.9
ADVB,2025-04-24,1.9,1.96,1.7448,1.86
ADVB,2025-04-25,1.9,1.915,1.8,1.81
ADVB,2025-04-28,1.81,2.4,1.81,2.0
ADVB,2025-04-29,1.97,2.18,1.81,2.0002
ADVB,2025-04-30,2.17,2.2213,1.92,1.9206
ADVB,2025-05-01,1.9606,2.0481,1.9,1.91
ADVB,2025-05-02,2.04,2.06,1.95,1.95
ADVB,2025-05-05,1.95,2.2516,1.92,2.07
ADVB,2025-05-06,2.13,2.44,1.655,1.91
ADVB,2025-05-07,1.89,2.02,1.55,1.6501
ADVB,2025-05-08,1.5,1.62,1.0,1.07
ADVB,2025-05-09,1.12,1.16,0.9489,0.9489
ADVB,2025-05-12,1.05,1.29,0.8603,0.8955
ADVB,2025-05-13,0.93,1.06,0.9251,1.02
ADVB,2025-05-14,1.18,1.25,1.1306,1.19
ADVB,2025-05-15,1.13,1.18,1.13,1.16
ADVB,2025-05-16,1.13,1.28,1.13,1.27
ADVB,2025-05-19,1.28,1.28,1.18,1.25
ADVB,2025-05-20,1.23,1.25,1.19,1.2009
ADVB,2025-05-21,1.25,1.25,1.175,1.18
ADVB,2025-05-22,1.2,1.25,1.15,1.19
ADVB,2025-05-23,1.18,1.2199,1.14,1.14
ADVB,2025-05-27,1.17,1.24,1.15,1.2
ADVB,2025-05-28,1.22,1.22,1.1601,1.1601
ADVB,2025-05-29,1.17,1.2,1.1,1.11
ADVB,2025-05-30,1.07,1.0799,0.9862,1.0299
ADVB,2025-06-02,1.09,1.09,0.95,0.95
ADVB,2025-06-03,0.99,1.05,0.97,1.0
ADVB,2025-06-04,1.0,1.02,0.9551,0.959
ADVB,2025-06-05,0.95,0.9897,0.93,0.9305
ADVB,2025-06-06,0.925,0.99,0.9201,0.94
ADVB,2025-06-09,0.9805,1.0,0.9216,0.9284
ADVB,2025-06-10,0.94,0.9857,0.9201,0.931
ADVB,2025-06-11,0.98,0.98,0.931,0.95
ADVB,2025-06-12,0.96,0.977999,0.94,0.9581
ADVB,2025-06-13,0.97,0.97,0.9151,0.9599
