ticker,date,open,high,low,close
AEBI,2025-07-02,32.94,32.9999,10.1,11.18
AEBI,2025-07-03,14.1,15.01,11.81,13.61
AEBI,2025-07-07,12.42,13.4,11.43,12.13
AEBI,2025-07-08,12.24,12.24,11.06,11.62
AEBI,2025-07-09,11.37,11.97,10.8198,11.82
AEBI,2025-07-10,11.55,11.87,11.4,11.48
AEBI,2025-07-11,11.07,11.07,11.02,11.07
AEBI,2025-07-14,11.0,11.02,10.11,10.31
AEBI,2025-07-15,10.32,10.42,10.05,10.12
AEBI,2025-07-16,10.06,10.75,10.0,10.21
AEBI,2025-07-17,10.02,10.4999,9.9,10.24
AEBI,2025-07-18,10.03,10.34,9.7601,9.92
AEBI,2025-07-21,9.93,10.23,8.91,9.26
AEBI,2025-07-22,9.4,9.98,9.0,9.36
AEBI,2025-07-23,9.33,9.9,9.22,9.55
AEBI,2025-07-24,9.67,10.1899,9.51,9.89
AEBI,2025-07-25,10.0,10.0,9.485,9.78
AEBI,2025-07-28,9.56,9.98,9.51,9.83
AEBI,2025-07-29,9.79,10.1599,9.7211,10.06
AEBI,2025-07-30,10.12,10.75,9.945,10.18
AEBI,2025-07-31,10.11,10.46,9.89,10.32
AEBI,2025-08-01,10.2,10.3,9.72,9.725
AEBI,2025-08-04,10.0,11.13,9.98,11.0
AEBI,2025-08-05,11.12,11.1872,10.33,10.82
AEBI,2025-08-06,10.85,10.95,10.42,10.49
AEBI,2025-08-07,10.35,10.73,10.285,10.39
AEBI,2025-08-08,10.53,11.71,10.41,11.12
AEBI,2025-08-11,11.2,11.3,10.86,11.12
AEBI,2025-08-12,11.1,11.71,10.97,11.49
AEBI,2025-08-13,11.65,12.2,11.47,12.19
AEBI,2025-08-14,10.95,12.44,10.95,12.15
AEBI,2025-08-15,12.13,12.375,11.77,11.8
AEBI,2025-08-18,11.86,12.25,11.5,11.9
AEBI,2025-08-19,12.08,12.32,11.64,11.73
AEBI,2025-08-20,12.0,12.1679,11.26,11.48
AEBI,2025-08-21,11.56,12.04,11.46,11.66
AEBI,2025-08-22,11.66,12.3,11.66,12.24
AEBI,2025-08-25,12.42,12.42,11.4,11.67
AEBI,2025-08-26,11.77,12.29,11.69,12.02
AEBI,2025-08-27,11.98,12.189,11.62,11.83
AEBI,2025-08-28,11.84,12.45,11.7389,12.16
AEBI,2025-08-29,12.12,12.36,11.72,12.29
AEBI,2025-09-02,12.2,12.79,11.92,12.0
AEBI,2025-09-03,11.95,12.05,10.89,11.49
AEBI,2025-09-04,11.55,11.565,11.09,11.35
AEBI,2025-09-05,11.35,11.775,11.1,11.71
AEBI,2025-09-08,11.83,12.105,11.6,11.76
AEBI,2025-09-09,11.76,11.86,11.59,11.77
AEBI,2025-09-10,11.61,12.03,11.61,11.82
AEBI,2025-09-11,11.92,12.5,11.7011,12.49
AEBI,2025-09-12,12.47,12.55,12.19,12.41
AEBI,2025-09-15,12.5,12.66,12.3,12.55
AEBI,2025-09-16,12.55,12.63,12.26,12.52
AEBI,2025-09-17,12.68,13.0,12.0,12.18
AEBI,2025-09-18,12.27,12.73,12.17,12.69
AEBI,2025-09-19,12.5,12.72,12.395,12.49
AEBI,2025-09-22,12.52,13.6,12.08,13.58
AEBI,2025-09-23,13.48,13.85,12.72,12.85
AEBI,2025-09-24,12.97,13.14,12.52,12.59
AEBI,2025-09-25,12.52,12.53,12.19,12.25
AEBI,2025-09-26,12.3,12.75,12.2,12.71
AEBI,2025-09-29,12.74,12.92,12.29,12.9
AEBI,2025-09-30,12.77,12.92,12.22,12.47
AEBI,2025-10-01,12.4,12.57,12.25,12.49
AEBI,2025-10-02,12.59,12.625,12.17,12.25
AEBI,2025-10-03,12.24,12.48,12.09,12.4
AEBI,2025-10-06,12.45,12.69,12.12,12.25
AEBI,2025-10-07,12.22,12.355,12.025,12.12
AEBI,2025-10-08,12.11,12.2,11.735,11.83
AEBI,2025-10-09,11.77,11.99,11.54,11.99
AEBI,2025-10-10,11.95,12.09,11.12,11.13
AEBI,2025-10-13,11.27,11.81,11.27,11.55
AEBI,2025-10-14,11.47,11.785,11.33,11.67
AEBI,2025-10-15,11.69,11.875,11.41,11.66
AEBI,2025-10-16,11.69,11.78,11.32,11.4
AEBI,2025-10-17,11.23,11.47,11.205,11.37
AEBI,2025-10-20,11.33,11.79,11.1101,11.61
AEBI,2025-10-21,11.55,11.815,11.38,11.67
AEBI,2025-10-22,11.63,11.73,11.455,11.69
AEBI,2025-10-23,11.76,12.07,11.605,11.66
AEBI,2025-10-24,11.88,11.975,11.33,11.44
AEBI,2025-10-27,11.47,11.82,11.35,11.65
AEBI,2025-10-28,11.59,11.8,11.46,11.48
AEBI,2025-10-29,11.5,11.59,11.09,11.18
AEBI,2025-10-30,11.0,11.15,10.7076,10.91
AEBI,2025-10-31,10.68,11.25,10.6701,11.16
AEBI,2025-11-03,11.02,11.28,10.825,11.13
AEBI,2025-11-04,10.77,11.12,10.66,10.74
AEBI,2025-11-05,10.73,11.22,10.73,10.99
AEBI,2025-11-06,11.0,11.18,10.775,11.01
AEBI,2025-11-07,11.02,11.03,10.54,11.0
AEBI,2025-11-10,11.16,11.16,10.68,10.73
AEBI,2025-11-11,10.75,10.83,10.53,10.55
AEBI,2025-11-12,10.51,10.76,10.34,10.71
AEBI,2025-11-13,11.15,11.7912,10.98,11.2
AEBI,2025-11-14,11.2,11.37,10.7,10.87
AEBI,2025-11-17,10.9,10.91,10.535,10.56
AEBI,2025-11-18,10.68,11.245,10.635,10.86
AEBI,2025-11-19,10.86,11.24,10.8,11.14
AEBI,2025-11-20,11.06,11.28,10.5,10.53
AEBI,2025-11-21,10.58,11.375,10.58,11.33
AEBI,2025-11-24,11.4,11.98,11.0801,11.925
AEBI,2025-11-25,11.93,12.06,11.54,11.76
AEBI,2025-11-26,11.75,12.03,11.68,11.995
AEBI,2025-11-28,12.05,12.05,11.85,11.91
AEBI,2025-12-01,11.9,11.97,11.68,11.82
AEBI,2025-12-02,11.96,11.96,11.53,11.7
AEBI,2025-12-03,11.81,12.205,11.72,12.02
AEBI,2025-12-04,11.95,12.63,11.9,12.53
AEBI,2025-12-05,12.54,12.82,12.46,12.62
AEBI,2025-12-08,12.56,12.63,12.36,12.4
AEBI,2025-12-09,12.37,12.97,12.37,12.85
AEBI,2025-12-10,12.76,13.285,12.76,13.27
AEBI,2025-12-11,13.27,13.5,13.08,13.48
AEBI,2025-12-12,13.49,13.585,13.325,13.46
AEBI,2025-12-15,13.43,13.675,13.31,13.58
AEBI,2025-12-16,13.52,13.765,13.195,13.5
AEBI,2025-12-17,13.5,13.7,13.13,13.38
AEBI,2025-12-18,13.5,13.65,13.26,13.3
AEBI,2025-12-19,13.23,13.51,13.09,13.21
AEBI,2025-12-22,13.32,13.455,13.2,13.39
AEBI,2025-12-23,13.26,13.385,13.22,13.3
AEBI,2025-12-24,13.2,13.345,13.09,13.11
AEBI,2025-12-26,13.1,13.14,12.78,12.87
AEBI,2025-12-29,12.73,13.12,12.68,13.03
AEBI,2025-12-30,13.01,13.09,12.78,12.8
AEBI,2025-12-31,12.9,12.9,12.585,12.65
AEBI,2026-01-02,12.62,12.73,12.43,12.59
AEBI,2026-01-05,12.54,13.34,12.45,13.0
AEBI,2026-01-06,13.0,13.7,12.92,13.54
AEBI,2026-01-07,13.55,13.98,13.32,13.96
AEBI,2026-01-08,13.86,14.3,13.75,14.28
AEBI,2026-01-09,14.35,14.75,14.03,14.49
AEBI,2026-01-12,14.43,14.625,14.36,14.43
AEBI,2026-01-13,14.41,14.59,14.1613,14.51
AEBI,2026-01-14,14.52,14.7,14.36,14.43
AEBI,2026-01-15,14.46,14.98,14.46,14.81
AEBI,2026-01-16,14.85,14.96,14.555,14.89
AEBI,2026-01-20,14.83,14.86,13.961,14.13
AEBI,2026-01-21,14.2,14.52,14.05,14.36
AEBI,2026-01-22,14.46,14.91,14.185,14.75
AEBI,2026-01-23,14.74,14.8,14.27,14.29
AEBI,2026-01-26,14.22,14.3793,14.12,14.17
AEBI,2026-01-27,14.11,14.16,13.51,13.99
AEBI,2026-01-28,14.0,14.0,13.5206,13.69
AEBI,2026-01-29,13.75,14.03,13.51,14.0
AEBI,2026-01-30,13.82,14.67,13.69,14.65
AEBI,2026-02-02,14.52,15.495,14.52,15.14
