ticker,date,open,high,low,close
AHMA,2025-10-21,4.0,5.4,4.0,4.65
AHMA,2025-10-22,4.25,4.4901,4.13,4.385
AHMA,2025-10-23,4.49,4.59,4.23,4.36
AHMA,2025-10-24,4.37,4.545,4.37,4.46
AHMA,2025-10-27,4.44,4.465,4.3803,4.45
AHMA,2025-10-28,4.49,4.8,4.4,4.645
AHMA,2025-10-29,4.66,6.29,4.6505,6.12
AHMA,2025-10-30,6.09,7.48,6.09,6.9
AHMA,2025-10-31,6.77,6.845,5.31,5.31
AHMA,2025-11-03,5.34,5.75,4.8,5.0
AHMA,2025-11-04,4.74,5.19,4.5006,4.85
AHMA,2025-11-05,4.99,4.99,4.37,4.68
AHMA,2025-11-06,4.54,4.58,4.18,4.26
AHMA,2025-11-07,4.47,5.67,4.451,5.07
AHMA,2025-11-10,5.04,5.13,4.6,4.6
AHMA,2025-11-11,4.55,4.82,4.55,4.79
AHMA,2025-11-12,4.73,5.05,4.6701,4.765
AHMA,2025-11-13,4.64,4.76,4.48,4.55
AHMA,2025-11-14,4.77,4.772,4.51,4.65
AHMA,2025-11-17,4.83,4.83,4.512,4.55
AHMA,2025-11-18,4.55,4.85,4.55,4.76
AHMA,2025-11-19,4.79,5.35,4.685,5.34
AHMA,2025-11-20,5.43,5.43,4.8501,4.95
AHMA,2025-11-21,4.97,5.11,4.78,5.05
AHMA,2025-11-24,5.1892,6.5,5.12,6.26
AHMA,2025-11-25,6.41,6.41,5.61,5.61
AHMA,2025-11-26,5.86,5.86,4.7301,5.1
AHMA,2025-11-28,4.95,4.95,4.81,4.81
AHMA,2025-12-01,10.55,17.34,9.49,14.34
AHMA,2025-12-02,12.5,13.6799,10.51,12.25
AHMA,2025-12-03,14.49,18.2,14.35,15.04
AHMA,2025-12-04,15.15,16.5,10.83,13.2
AHMA,2025-12-05,12.69,13.13,7.11,8.22
AHMA,2025-12-08,7.85,8.02,6.752,7.12
AHMA,2025-12-09,7.03,7.4999,6.7601,7.09
AHMA,2025-12-10,6.73,7.1601,6.01,6.14
AHMA,2025-12-11,6.2651,6.8,5.85,6.79
AHMA,2025-12-12,6.37,7.785,6.37,7.37
AHMA,2025-12-15,7.42,8.22,6.5,7.87
AHMA,2025-12-16,7.73,9.01,7.6,8.35
AHMA,2025-12-17,8.26,9.0,7.9306,7.94
AHMA,2025-12-18,7.95,9.99,7.95,8.77
AHMA,2025-12-19,8.28,9.8,7.13,7.21
AHMA,2025-12-22,7.35,7.725,6.965,6.97
AHMA,2025-12-23,6.83,7.29,5.41,5.5
AHMA,2025-12-24,5.52,5.9926,5.52,5.91
AHMA,2025-12-26,5.64,7.73,5.64,7.38
AHMA,2025-12-29,7.03,7.69,6.53,6.98
AHMA,2025-12-30,6.94,7.3049,5.0401,5.48
AHMA,2025-12-31,5.99,6.03,4.74,4.94
AHMA,2026-01-02,5.0672,5.39,4.75,5.21
AHMA,2026-01-05,5.33,5.63,4.77,5.09
AHMA,2026-01-06,5.16,5.55,5.0754,5.51
AHMA,2026-01-07,5.43,5.53,5.16,5.4
AHMA,2026-01-08,5.35,5.38,5.0959,5.15
AHMA,2026-01-09,5.26,5.54,4.95,5.13
AHMA,2026-01-12,5.0,5.3586,5.0,5.28
AHMA,2026-01-13,11.37,13.83,8.82,12.34
AHMA,2026-01-14,11.43,16.9,11.38,15.5
AHMA,2026-01-15,15.51,30.5,15.0001,29.38
AHMA,2026-01-16,28.41,31.07,22.82,23.31
AHMA,2026-01-20,22.81,28.44,21.401,24.51
AHMA,2026-01-21,23.92,26.55,23.92,26.29
AHMA,2026-01-22,26.02,39.5,24.3,37.305
AHMA,2026-01-23,31.29,34.8896,27.01,30.74
AHMA,2026-01-26,30.01,34.0,27.51,29.62
AHMA,2026-01-27,29.39,31.95,28.33,31.0
AHMA,2026-01-28,35.9,38.1293,31.03,31.535
AHMA,2026-01-29,28.49,31.55,28.1,31.0
AHMA,2026-01-30,29.33,32.09,29.33,29.92
AHMA,2026-02-02,28.55,30.9821,26.625,30.0
