ticker,date,open,high,low,close
AKTS,2015-06-04,4.0,5.0,4.0,4.99
AKTS,2015-06-05,9.99,10.02,6.5,6.5
AKTS,2015-06-08,6.0,6.0,6.0,6.0
AKTS,2015-06-09,6.0,6.0,6.0,6.0
AKTS,2015-06-10,6.0,6.0,6.0,6.0
AKTS,2015-06-11,5.99,5.99,5.99,5.99
AKTS,2015-06-12,5.774,5.774,5.75,5.75
AKTS,2015-06-15,5.75,5.75,5.75,5.75
AKTS,2015-06-16,5.18,5.18,5.18,5.18
AKTS,2015-06-17,5.18,5.7,5.18,5.2
AKTS,2015-06-18,5.2,5.2,5.2,5.2
AKTS,2015-06-19,4.5,4.5,4.5,4.5
AKTS,2015-06-22,4.5,4.5,4.5,4.5
AKTS,2015-06-23,4.5,4.5,4.5,4.5
AKTS,2015-06-24,4.94,4.94,4.25,4.25
AKTS,2015-06-25,4.25,4.25,4.25,4.25
AKTS,2015-06-26,4.25,4.25,4.25,4.25
AKTS,2015-06-29,4.8,4.8,4.8,4.8
AKTS,2015-06-30,4.95,4.95,4.95,4.95
AKTS,2015-07-01,4.95,4.95,4.95,4.95
AKTS,2015-07-02,4.95,4.95,4.95,4.95
AKTS,2015-07-06,4.95,4.95,4.95,4.95
AKTS,2015-07-07,4.95,4.95,4.95,4.95
AKTS,2015-07-08,4.95,4.95,4.95,4.95
AKTS,2015-07-09,4.95,4.95,4.95,4.95
AKTS,2015-07-10,4.99,4.99,4.99,4.99
AKTS,2015-07-13,4.99,4.99,4.99,4.99
AKTS,2015-07-14,4.99,4.99,4.99,4.99
AKTS,2015-07-15,4.99,4.99,4.99,4.99
AKTS,2015-07-16,4.99,4.99,4.99,4.99
AKTS,2015-07-17,4.99,4.99,4.99,4.99
AKTS,2015-07-20,4.99,4.99,4.99,4.99
AKTS,2015-07-21,4.99,4.99,4.99,4.99
AKTS,2015-07-22,4.99,4.99,4.99,4.99
AKTS,2015-07-23,4.99,4.99,4.99,4.99
AKTS,2015-07-24,4.8,4.8,4.8,4.8
AKTS,2015-07-27,4.8,4.8,4.8,4.8
AKTS,2015-07-28,5.1,5.1,5.1,5.1
AKTS,2015-07-29,5.1,5.1,5.1,5.1
AKTS,2015-07-30,5.1,5.1,5.1,5.1
AKTS,2015-07-31,5.1,5.1,5.1,5.1
AKTS,2015-08-03,5.25,5.25,5.25,5.25
AKTS,2015-08-04,5.25,5.25,5.25,5.25
AKTS,2015-08-05,5.25,5.25,5.25,5.25
AKTS,2015-08-06,5.25,5.25,5.25,5.25
AKTS,2015-08-07,5.25,5.25,5.25,5.25
AKTS,2015-08-10,5.25,5.25,5.25,5.25
AKTS,2015-08-11,5.25,5.25,5.25,5.25
AKTS,2015-08-12,5.25,5.25,5.25,5.25
AKTS,2015-08-13,5.25,5.25,5.25,5.25
AKTS,2015-08-14,5.25,5.25,5.25,5.25
AKTS,2015-08-17,5.25,5.25,5.25,5.25
AKTS,2015-08-18,5.25,5.25,5.25,5.25
AKTS,2015-08-19,5.25,5.25,5.25,5.25
AKTS,2015-08-20,5.25,5.25,5.25,5.25
AKTS,2015-08-21,5.0,5.0,5.0,5.0
AKTS,2015-08-24,5.0,5.0,5.0,5.0
AKTS,2015-08-25,5.0,5.0,5.0,5.0
AKTS,2015-08-26,5.0,5.0,5.0,5.0
AKTS,2015-08-27,5.0,5.0,5.0,5.0
AKTS,2015-08-28,5.0,5.0,5.0,5.0
AKTS,2015-08-31,5.0,5.0,5.0,5.0
AKTS,2015-09-01,5.0,5.0,5.0,5.0
AKTS,2015-09-02,5.0,5.0,5.0,5.0
AKTS,2015-09-03,5.0,5.0,5.0,5.0
AKTS,2015-09-04,4.84,4.84,4.84,4.84
AKTS,2015-09-08,4.84,4.84,4.84,4.84
AKTS,2015-09-09,4.84,4.84,4.84,4.84
AKTS,2015-09-10,4.84,4.84,4.84,4.84
AKTS,2015-09-11,4.84,4.84,4.84,4.84
AKTS,2015-09-14,4.0,4.0,3.5,3.5
AKTS,2015-09-15,4.0,4.0,4.0,4.0
AKTS,2015-09-16,4.0,4.0,4.0,4.0
AKTS,2015-09-17,4.0,4.0,3.5,3.5
AKTS,2015-09-18,3.5,3.5,3.5,3.5
AKTS,2015-09-21,3.5,4.0,3.5,4.0
AKTS,2015-09-22,4.0,4.0,4.0,4.0
AKTS,2015-09-23,4.0,4.0,4.0,4.0
AKTS,2015-09-24,3.99,4.0,3.99,4.0
AKTS,2015-09-25,4.24,4.25,4.24,4.25
AKTS,2015-09-28,4.25,4.25,4.25,4.25
AKTS,2015-09-29,4.25,4.25,4.25,4.25
AKTS,2015-09-30,4.25,4.25,4.25,4.25
AKTS,2015-10-01,4.25,4.25,4.25,4.25
AKTS,2015-10-02,4.25,4.25,4.25,4.25
AKTS,2015-10-05,4.25,4.25,4.25,4.25
AKTS,2015-10-06,4.25,4.25,4.25,4.25
AKTS,2015-10-07,4.25,4.25,4.25,4.25
AKTS,2015-10-08,4.25,4.25,4.25,4.25
AKTS,2015-10-09,4.15,4.15,4.15,4.15
AKTS,2015-10-12,4.15,4.15,4.15,4.15
AKTS,2015-10-13,4.15,4.15,4.15,4.15
AKTS,2015-10-14,4.15,4.15,4.15,4.15
AKTS,2015-10-15,3.75,4.5,3.75,4.45
AKTS,2015-10-16,4.45,4.45,4.45,4.45
AKTS,2015-10-19,4.45,4.45,4.45,4.45
AKTS,2015-10-20,3.75,3.75,3.75,3.75
AKTS,2015-10-21,3.75,3.75,3.75,3.75
AKTS,2015-10-22,3.75,3.75,3.75,3.75
AKTS,2015-10-23,3.74,3.74,3.5,3.5
AKTS,2015-10-26,3.5,3.5,3.5,3.5
AKTS,2015-10-27,3.5,3.5,3.5,3.5
AKTS,2015-10-28,3.1,3.1,3.1,3.1
AKTS,2015-10-29,2.5,3.7,1.95,3.1
AKTS,2015-10-30,3.1,3.1,3.1,3.1
AKTS,2015-11-02,3.06,3.06,3.06,3.06
AKTS,2015-11-03,3.06,3.06,3.06,3.06
AKTS,2015-11-04,3.06,3.06,3.06,3.06
AKTS,2015-11-05,3.06,3.06,3.06,3.06
AKTS,2015-11-06,3.06,3.06,3.06,3.06
AKTS,2015-11-09,3.06,3.06,3.06,3.06
AKTS,2015-11-10,3.06,3.06,3.06,3.06
AKTS,2015-11-11,3.06,3.06,3.06,3.06
AKTS,2015-11-12,3.06,3.06,3.06,3.06
AKTS,2015-11-13,2.5,2.5,2.5,2.5
AKTS,2015-11-16,2.5,2.5,2.45,2.5
AKTS,2015-11-17,2.5,2.5,2.5,2.5
AKTS,2015-11-18,2.25,2.25,2.25,2.25
AKTS,2015-11-19,2.25,2.25,2.25,2.25
AKTS,2015-11-20,2.5,2.5,2.0,2.0
AKTS,2015-11-23,2.25,2.25,2.25,2.25
AKTS,2015-11-24,1.98,1.98,1.98,1.98
AKTS,2015-11-25,1.98,1.98,1.98,1.98
AKTS,2015-11-27,1.98,1.98,1.98,1.98
AKTS,2015-11-30,1.98,1.98,1.98,1.98
AKTS,2015-12-01,1.98,2.0,1.98,2.0
AKTS,2015-12-02,1.8,1.8,1.8,1.8
AKTS,2015-12-03,1.6,1.6,1.6,1.6
AKTS,2015-12-04,1.7,1.7,1.6,1.6
AKTS,2015-12-07,1.6,1.6,1.6,1.6
AKTS,2015-12-08,1.6,1.6,1.6,1.6
AKTS,2015-12-09,1.6,1.6,1.6,1.6
AKTS,2015-12-10,1.74,1.74,1.74,1.74
AKTS,2015-12-11,1.8,1.95,1.65,1.65
AKTS,2015-12-14,1.6,1.6,1.6,1.6
AKTS,2015-12-15,1.6,1.6,1.6,1.6
AKTS,2015-12-16,1.73,1.73,1.7,1.7
AKTS,2015-12-17,1.69,1.7,1.69,1.7
AKTS,2015-12-18,1.79,1.8,1.7,1.74
AKTS,2015-12-21,1.79,1.87,1.79,1.79
AKTS,2015-12-22,1.94,1.94,1.81,1.81
AKTS,2015-12-23,1.78,1.8,1.7,1.8
AKTS,2015-12-24,1.7,1.7,1.7,1.7
AKTS,2015-12-28,1.8,1.8,1.64,1.64
AKTS,2015-12-29,1.64,1.64,1.64,1.64
AKTS,2015-12-30,1.69,1.7,1.51,1.51
AKTS,2015-12-31,1.6,1.6,1.6,1.6
AKTS,2016-01-04,1.6,1.6,1.6,1.6
AKTS,2016-01-05,1.7,1.7,1.7,1.7
AKTS,2016-01-06,1.7,1.7,1.65,1.65
AKTS,2016-01-07,1.65,1.7,1.65,1.7
AKTS,2016-01-08,1.69,1.7,1.69,1.7
