ticker,date,open,high,low,close
ALIS,2025-11-19,9.9,9.92,9.9,9.919
ALIS,2025-11-20,9.9087,9.92,9.9,9.9
ALIS,2025-11-21,9.85,9.92,9.85,9.915
ALIS,2025-11-24,9.92,9.95,9.92,9.92
ALIS,2025-11-25,9.925,9.95,9.92,9.93
ALIS,2025-11-26,9.92,9.95,9.91,9.91
ALIS,2025-11-28,9.95,9.95,9.9,9.9
ALIS,2025-12-01,9.91,9.91,9.9,9.9
ALIS,2025-12-02,9.9,9.91,9.9,9.91
ALIS,2025-12-03,9.91,9.91,9.9,9.9
ALIS,2025-12-04,9.9,9.9,9.9,9.9
ALIS,2025-12-05,9.9,9.9,9.9,9.9
ALIS,2025-12-08,9.9,9.9,9.9,9.9
ALIS,2025-12-09,9.91,9.91,9.895,9.9
ALIS,2025-12-10,9.905,9.91,9.905,9.91
ALIS,2025-12-11,9.905,9.91,9.9,9.91
ALIS,2025-12-15,9.91,9.91,9.91,9.91
ALIS,2025-12-16,9.9038,9.91,9.9038,9.9099
ALIS,2025-12-17,9.9,9.91,9.9,9.91
ALIS,2025-12-19,9.91,9.91,9.9,9.91
ALIS,2025-12-23,9.91,9.91,9.9,9.9
ALIS,2025-12-26,9.91,9.93,9.91,9.93
ALIS,2025-12-29,9.93,9.95,9.92,9.93
ALIS,2025-12-30,9.93,9.93,9.93,9.93
ALIS,2025-12-31,9.93,9.94,9.93,9.93
ALIS,2026-01-02,9.94,9.95,9.94,9.95
ALIS,2026-01-05,9.95,9.95,9.94,9.94
ALIS,2026-01-06,9.94,9.94,9.94,9.94
ALIS,2026-01-08,9.96,9.96,9.96,9.96
ALIS,2026-01-13,9.97,9.97,9.97,9.97
ALIS,2026-01-15,9.96,9.96,9.95,9.95
ALIS,2026-01-16,9.955,9.97,9.955,9.97
ALIS,2026-01-20,9.9734,9.98,9.9734,9.98
ALIS,2026-01-21,9.98,9.98,9.98,9.98
ALIS,2026-01-22,10.04,10.04,10.04,10.04
ALIS,2026-01-23,10.0,10.0,10.0,10.0
ALIS,2026-01-26,9.99,10.07,9.99,10.07
ALIS,2026-01-27,10.05,10.05,10.02,10.02
ALIS,2026-01-28,10.01,10.01,9.99,10.01
ALIS,2026-01-29,9.99,10.005,9.99,10.005
ALIS,2026-01-30,10.0,10.0,10.0,10.0
ALIS,2026-02-02,9.99,9.99,9.99,9.99
