ticker,date,open,high,low,close
ALMU,2025-03-27,6.51,6.51,6.121,6.51
ALMU,2025-03-28,7.0,7.25,6.75,7.025
ALMU,2025-03-31,7.4,7.75,7.1,7.16
ALMU,2025-04-01,7.13,7.401,6.6325,7.07
ALMU,2025-04-02,7.148,7.18,6.8,6.9269
ALMU,2025-04-03,7.02,7.0915,6.56,6.56
ALMU,2025-04-04,6.92,6.925,6.0,6.1
ALMU,2025-04-07,5.9774,6.3333,5.9774,6.12
ALMU,2025-04-08,6.07,6.07,5.98,6.07
ALMU,2025-04-09,6.41,7.05,6.1,6.99
ALMU,2025-04-10,6.335,6.335,6.21,6.335
ALMU,2025-04-11,6.5,6.66,6.13,6.21
ALMU,2025-04-14,6.18,6.18,6.082,6.18
ALMU,2025-04-15,6.35,6.35,6.09,6.22
ALMU,2025-04-16,6.402,7.195,6.402,6.91
ALMU,2025-04-17,6.86,6.86,6.65,6.8
ALMU,2025-04-21,6.8,6.97,6.48,6.76
ALMU,2025-04-22,6.825,6.9,6.57,6.715
ALMU,2025-04-23,7.0,7.45,6.6,6.9505
ALMU,2025-04-24,6.93,8.49,6.92,8.46
ALMU,2025-04-25,8.81,9.3,8.34,8.34
ALMU,2025-04-28,8.705,10.87,8.5758,10.15
ALMU,2025-04-29,10.5,10.626,10.03,10.4
ALMU,2025-04-30,10.2,10.75,9.8,10.44
ALMU,2025-05-01,10.99,12.78,10.25,11.9
ALMU,2025-05-02,12.11,13.1,12.01,12.9
ALMU,2025-05-05,12.95,13.77,10.9,11.08
ALMU,2025-05-06,11.3261,11.7,11.3261,11.57
ALMU,2025-05-07,12.27,12.27,11.5788,11.73
ALMU,2025-05-08,12.0,13.3046,11.8225,12.57
ALMU,2025-05-09,12.84,13.1,12.65,13.1
ALMU,2025-05-12,13.55,13.75,13.005,13.33
ALMU,2025-05-13,13.29,13.4,11.81,12.11
ALMU,2025-05-14,12.22,12.8847,11.43,12.0
ALMU,2025-05-15,12.07,12.22,11.58,12.22
ALMU,2025-05-16,12.12,13.26,12.12,12.82
ALMU,2025-05-19,12.7,13.5,12.54,12.88
ALMU,2025-05-20,13.0,13.2374,12.5,12.54
ALMU,2025-05-21,12.34,12.68,11.86,12.45
ALMU,2025-05-22,12.49,13.0,12.285,12.33
ALMU,2025-05-23,12.1493,14.99,11.91,14.14
ALMU,2025-05-27,14.55,15.9,14.1,14.4
ALMU,2025-05-28,14.89,15.39,14.12,14.32
ALMU,2025-05-29,14.67,15.5,14.015,14.29
ALMU,2025-05-30,14.35,15.0,13.65,14.26
ALMU,2025-06-02,14.44,17.58,14.07,16.43
ALMU,2025-06-03,16.81,19.35,16.8,19.1
ALMU,2025-06-04,19.18,19.31,18.05,18.82
ALMU,2025-06-05,19.03,19.35,18.23,18.61
ALMU,2025-06-06,18.5,19.315,18.47,18.96
ALMU,2025-06-09,18.69,18.96,16.59,18.48
ALMU,2025-06-10,18.22,19.5,18.22,18.99
ALMU,2025-06-11,18.62,19.22,17.5,17.94
ALMU,2025-06-12,17.35,18.1,16.9106,17.15
ALMU,2025-06-13,16.51,16.88,10.2001,13.385
ALMU,2025-06-16,14.33,15.6568,13.72,14.77
ALMU,2025-06-17,14.42,15.1325,12.45,12.6
ALMU,2025-06-18,12.61,13.58,11.71,13.31
ALMU,2025-06-20,13.37,14.1668,12.58,13.28
ALMU,2025-06-23,13.84,14.46,13.05,13.36
ALMU,2025-06-24,13.61,14.5,13.6,13.99
ALMU,2025-06-25,14.4,18.48,14.2314,17.04
ALMU,2025-06-26,16.88,17.9,14.01,14.79
ALMU,2025-06-27,14.81,15.89,13.69,14.49
ALMU,2025-06-30,14.54,16.6778,14.54,16.34
ALMU,2025-07-01,16.5,16.68,15.6,16.275
ALMU,2025-07-02,16.56,16.97,14.52,15.39
ALMU,2025-07-03,15.8,17.3673,15.35,17.34
ALMU,2025-07-07,17.34,17.34,15.0523,15.68
ALMU,2025-07-08,15.71,16.2104,15.16,15.84
ALMU,2025-07-09,17.07,17.55,16.155,16.27
ALMU,2025-07-10,16.02,17.2,15.35,16.79
ALMU,2025-07-11,15.63,15.63,15.45,15.63
ALMU,2025-07-14,16.84,18.55,15.76,16.97
ALMU,2025-07-15,17.0,17.7799,16.6,17.15
ALMU,2025-07-16,16.86,18.33,16.3501,18.33
ALMU,2025-07-17,18.13,19.7999,17.8,19.62
ALMU,2025-07-18,19.62,19.75,17.96,18.09
ALMU,2025-07-21,18.52,18.74,17.55,17.76
ALMU,2025-07-22,17.84,18.24,16.6,17.48
ALMU,2025-07-23,18.205,19.42,18.0,19.36
ALMU,2025-07-24,19.38,22.5,19.0,21.69
ALMU,2025-07-25,21.83,23.83,21.0005,23.59
ALMU,2025-07-28,23.82,25.13,22.89,24.04
ALMU,2025-07-29,24.48,25.2343,21.2401,22.415
ALMU,2025-07-30,22.77,25.8828,22.04,24.03
ALMU,2025-07-31,24.52,25.26,21.9,22.135
ALMU,2025-08-01,21.25,21.95,20.2,20.82
ALMU,2025-08-04,21.16,21.45,19.85,21.34
ALMU,2025-08-05,21.62,22.19,20.01,21.04
ALMU,2025-08-06,20.6,20.66,19.1,19.39
ALMU,2025-08-07,19.42,21.4,19.42,21.03
ALMU,2025-08-08,21.4,21.76,19.86,20.61
ALMU,2025-08-11,20.9,22.6,20.05,20.26
ALMU,2025-08-12,20.51,20.51,19.71,19.95
ALMU,2025-08-13,20.0,22.4,20.0,21.48
ALMU,2025-08-14,20.8,21.4913,18.005,18.1
ALMU,2025-08-15,18.19,19.0,17.5,18.87
ALMU,2025-08-18,19.17,19.2922,17.82,17.84
ALMU,2025-08-19,17.87,18.83,17.59,18.605
ALMU,2025-08-20,18.25,18.5763,17.2,18.33
ALMU,2025-08-21,18.2,19.5,18.1675,19.29
ALMU,2025-08-22,19.31,20.57,18.55,19.79
ALMU,2025-08-25,19.87,20.35,19.5,19.57
ALMU,2025-08-26,19.85,21.6182,19.29,20.85
ALMU,2025-08-27,21.0,21.2002,20.0,20.585
ALMU,2025-08-28,20.58,21.6,20.42,21.38
ALMU,2025-08-29,21.63,23.36,20.43,22.79
ALMU,2025-09-02,22.06,22.54,19.44,20.23
ALMU,2025-09-03,20.34,20.63,18.795,19.15
ALMU,2025-09-04,18.92,19.15,17.4,17.43
ALMU,2025-09-05,17.71,18.1871,17.06,17.45
ALMU,2025-09-08,17.41,17.96,17.41,17.7
ALMU,2025-09-09,17.74,18.78,17.27,18.2
ALMU,2025-09-10,16.1,16.435,13.02,13.2
ALMU,2025-09-11,13.31,14.89,13.31,14.845
ALMU,2025-09-12,14.87,15.4753,14.53,15.44
ALMU,2025-09-15,15.57,15.67,14.57,14.7
ALMU,2025-09-16,14.74,17.24,14.51,17.11
ALMU,2025-09-17,16.94,17.5,16.29,17.06
ALMU,2025-09-18,16.55,18.47,14.975,15.87
ALMU,2025-09-19,15.86,19.5,15.65,19.45
ALMU,2025-09-22,18.91,20.7277,18.62,19.77
ALMU,2025-09-23,20.16,20.16,18.16,18.27
ALMU,2025-09-24,18.78,19.42,17.78,19.15
ALMU,2025-09-25,18.83,19.308,17.8,18.03
ALMU,2025-09-26,17.735,18.6999,17.17,17.64
ALMU,2025-09-29,17.69,18.9999,16.95,17.1
ALMU,2025-09-30,17.54,17.54,15.845,16.0
ALMU,2025-10-01,15.77,17.2899,15.77,17.18
ALMU,2025-10-02,17.2,17.7583,16.38,16.85
ALMU,2025-10-03,16.85,18.205,16.61,18.01
ALMU,2025-10-06,18.53,19.08,18.1,18.47
ALMU,2025-10-07,18.16,19.28,17.0304,17.55
ALMU,2025-10-08,17.71,18.35,16.89,17.86
ALMU,2025-10-09,18.05,18.1,16.15,16.5
ALMU,2025-10-10,16.51,17.33,16.04,16.06
