ticker,date,open,high,low,close
APAD,2025-08-27,9.9,9.9,9.9,9.9
APAD,2025-08-28,9.93,9.93,9.89,9.9
APAD,2025-08-29,9.89,9.9,9.89,9.89
APAD,2025-09-02,9.89,9.89,9.89,9.89
APAD,2025-09-03,9.89,9.89,9.89,9.89
APAD,2025-09-04,9.89,9.89,9.88,9.88
APAD,2025-09-05,9.89,9.8999,9.89,9.89
APAD,2025-09-08,9.9,9.9,9.89,9.89
APAD,2025-09-09,9.88,9.89,9.87,9.89
APAD,2025-09-11,9.9,9.9,9.9,9.9
APAD,2025-09-15,9.89,9.89,9.88,9.88
APAD,2025-09-16,9.8898,9.8898,9.88,9.88
APAD,2025-09-17,9.89,9.89,9.89,9.89
APAD,2025-09-18,9.89,9.89,9.89,9.89
APAD,2025-09-19,9.9,9.92,9.9,9.92
APAD,2025-09-22,9.9,9.9,9.9,9.9
APAD,2025-09-24,10.0,10.0,9.89,9.9
APAD,2025-09-25,9.88,9.898,9.88,9.898
APAD,2025-10-01,9.9,9.9,9.895,9.9
APAD,2025-10-06,9.92,9.92,9.91,9.92
APAD,2025-10-08,9.9158,9.9158,9.9158,9.9158
APAD,2025-10-09,9.91,9.92,9.91,9.92
APAD,2025-10-10,9.9316,9.9316,9.9316,9.9316
APAD,2025-10-14,9.94,9.95,9.94,9.95
APAD,2025-10-15,9.95,9.95,9.9427,9.9427
APAD,2025-10-16,9.92,9.9209,9.92,9.9209
APAD,2025-10-17,9.94,9.94,9.94,9.94
APAD,2025-10-20,9.95,9.95,9.9499,9.95
APAD,2025-10-21,9.9595,9.97,9.9595,9.97
APAD,2025-10-22,9.97,9.98,9.97,9.97
APAD,2025-10-23,9.97,9.98,9.97,9.98
APAD,2025-10-24,9.97,9.99,9.97,9.99
APAD,2025-10-27,9.98,9.985,9.97,9.98
APAD,2025-10-28,9.98,9.98,9.98,9.98
APAD,2025-10-29,9.97,9.97,9.97,9.97
APAD,2025-10-30,9.98,9.98,9.98,9.98
APAD,2025-10-31,9.97,9.97,9.97,9.97
APAD,2025-11-04,9.91,9.99,9.91,9.99
APAD,2025-11-05,9.98,9.98,9.98,9.98
APAD,2025-11-06,10.0,10.0,10.0,10.0
APAD,2025-11-07,9.98,9.98,9.97,9.97
APAD,2025-11-11,9.98,9.98,9.98,9.98
APAD,2025-11-12,9.99,10.0,9.99,9.9999
APAD,2025-11-13,10.0,10.0,10.0,10.0
APAD,2025-11-14,9.99,9.99,9.99,9.99
APAD,2025-11-17,9.99,9.9901,9.99,9.99
APAD,2025-11-18,9.99,9.99,9.99,9.99
APAD,2025-11-20,9.99,9.99,9.99,9.99
APAD,2025-11-21,10.0,10.005,10.0,10.005
APAD,2025-11-25,10.05,10.21,10.02,10.02
APAD,2025-11-26,10.07,10.12,10.05,10.07
APAD,2025-11-28,10.07,10.1,10.05,10.08
APAD,2025-12-01,10.07,10.09,10.05,10.08
APAD,2025-12-02,10.06,10.1,10.05,10.09
APAD,2025-12-03,10.08,10.1,10.06,10.1
APAD,2025-12-04,10.1,10.11,10.08,10.09
APAD,2025-12-05,10.1,10.12,10.09,10.09
APAD,2025-12-08,10.1,10.1,10.08,10.0999
APAD,2025-12-09,10.08,10.1,10.08,10.08
APAD,2025-12-10,10.11,10.11,10.0895,10.09
APAD,2025-12-11,10.1,10.1,10.08,10.08
APAD,2025-12-12,10.08,10.08,10.05,10.05
APAD,2025-12-15,10.06,10.06,10.05,10.05
APAD,2025-12-16,10.05,10.07,10.05,10.05
APAD,2025-12-17,10.06,10.06,10.04,10.04
APAD,2025-12-18,10.05,10.05,10.05,10.05
APAD,2025-12-19,10.05,10.07,10.05,10.06
APAD,2025-12-22,10.066,10.066,10.05,10.05
APAD,2025-12-23,10.0447,10.0447,10.04,10.04
APAD,2025-12-24,10.06,10.06,10.04,10.04
APAD,2025-12-26,10.05,10.05,10.05,10.05
APAD,2025-12-29,10.05,10.05,10.04,10.05
APAD,2025-12-30,10.05,10.05,10.04,10.04
APAD,2025-12-31,10.05,10.05,10.05,10.05
APAD,2026-01-02,10.0555,10.0555,10.05,10.05
APAD,2026-01-05,10.06,10.07,10.02,10.02
APAD,2026-01-06,10.02,10.02,10.02,10.02
APAD,2026-01-07,10.06,10.06,10.01,10.01
APAD,2026-01-09,10.0554,10.0554,10.05,10.05
APAD,2026-01-12,10.02,10.06,10.02,10.045
APAD,2026-01-13,10.06,10.07,10.05,10.07
APAD,2026-01-14,10.08,10.08,10.0201,10.08
APAD,2026-01-20,10.05,10.06,10.05,10.05
APAD,2026-01-23,10.06,10.06,10.06,10.06
APAD,2026-01-26,10.04,10.05,10.04,10.05
