ticker,date,open,high,low,close
APXT,2025-11-17,9.96,9.96,9.9,9.92
APXT,2025-11-18,9.9,9.94,9.9,9.92
APXT,2025-11-19,9.92,9.92,9.89,9.9
APXT,2025-11-20,9.91,9.91,9.89,9.89
APXT,2025-11-21,9.9,9.9,9.89,9.89
APXT,2025-11-24,9.9,9.9,9.89,9.89
APXT,2025-11-25,9.89,9.895,9.89,9.89
APXT,2025-11-26,9.88,9.88,9.87,9.88
APXT,2025-11-28,9.885,9.885,9.87,9.87
APXT,2025-12-01,9.88,9.8826,9.87,9.88
APXT,2025-12-02,9.8801,9.8907,9.87,9.89
APXT,2025-12-03,9.9,9.9,9.88,9.89
APXT,2025-12-04,9.89,9.89,9.88,9.8871
APXT,2025-12-05,9.89,9.89,9.88,9.88
APXT,2025-12-08,9.89,9.89,9.88,9.885
APXT,2025-12-09,9.89,9.89,9.88,9.89
APXT,2025-12-10,9.89,9.9,9.88,9.885
APXT,2025-12-11,9.88,9.89,9.88,9.89
APXT,2025-12-12,9.89,9.89,9.89,9.89
APXT,2025-12-15,9.89,9.89,9.88,9.88
APXT,2025-12-16,9.89,9.89,9.885,9.885
APXT,2025-12-17,9.89,9.89,9.8826,9.89
APXT,2025-12-18,9.89,9.89,9.88,9.88
APXT,2025-12-19,9.88,9.88,9.875,9.88
APXT,2025-12-22,9.885,9.885,9.88,9.88
APXT,2025-12-24,9.88,9.88,9.88,9.88
APXT,2025-12-29,9.9,9.9,9.88,9.88
APXT,2025-12-30,9.88,9.885,9.87,9.885
APXT,2025-12-31,9.89,9.89,9.89,9.89
APXT,2026-01-02,9.88,9.89,9.88,9.89
APXT,2026-01-05,9.88,9.88,9.87,9.88
APXT,2026-01-06,9.885,9.89,9.8846,9.89
APXT,2026-01-07,9.895,9.9,9.89,9.89
APXT,2026-01-08,9.89,9.9,9.89,9.89
APXT,2026-01-12,9.9,9.9,9.89,9.89
APXT,2026-01-13,9.89,9.9,9.89,9.9
APXT,2026-01-14,9.9,9.9,9.89,9.9
APXT,2026-01-15,9.9,9.91,9.89,9.9
APXT,2026-01-16,9.9,9.91,9.9,9.91
APXT,2026-01-20,9.9,9.91,9.89,9.9
APXT,2026-01-21,9.91,9.91,9.9,9.9
APXT,2026-01-22,9.91,9.94,9.905,9.935
APXT,2026-01-23,9.92,9.92,9.92,9.92
APXT,2026-01-26,9.92,9.92,9.92,9.92
APXT,2026-01-27,9.93,9.95,9.93,9.93
APXT,2026-01-28,9.93,9.95,9.925,9.945
APXT,2026-01-29,9.94,9.95,9.93,9.95
APXT,2026-01-30,9.95,9.97,9.94,9.97
APXT,2026-02-02,9.96,9.97,9.95,9.97
