ticker,date,open,high,low,close
ARAI,2025-05-15,40.0,40.0,11.1,13.25
ARAI,2025-05-16,13.0,13.45,9.6,10.21
ARAI,2025-05-19,10.67,10.875,9.66,10.0
ARAI,2025-05-20,10.2,10.43,9.5004,9.9
ARAI,2025-05-21,9.6,10.1899,9.375,9.43
ARAI,2025-05-22,9.45,10.0,7.008,7.55
ARAI,2025-05-23,7.25,7.6999,6.28,6.58
ARAI,2025-05-27,6.63,6.8899,5.3,5.39
ARAI,2025-05-28,5.3,8.4299,5.2801,6.15
ARAI,2025-05-29,6.06,6.29,5.2,5.25
ARAI,2025-05-30,5.34,6.08,4.61,5.95
ARAI,2025-06-02,6.69,7.19,6.11,6.19
ARAI,2025-06-03,6.1,7.15,5.995,6.49
ARAI,2025-06-04,6.49,6.5899,5.65,5.77
ARAI,2025-06-05,5.8,6.0442,5.09,5.27
ARAI,2025-06-06,5.425,5.81,5.15,5.5
ARAI,2025-06-09,5.82,6.36,5.3269,6.295
ARAI,2025-06-10,7.13,15.73,6.89,10.25
ARAI,2025-06-11,9.71,9.71,8.17,8.5
ARAI,2025-06-12,9.05,10.8999,8.21,9.32
ARAI,2025-06-13,9.05,9.94,7.75,7.75
ARAI,2025-06-16,8.045,8.045,6.83,7.25
ARAI,2025-06-17,7.25,7.95,6.55,6.72
ARAI,2025-06-18,6.71,7.68,6.5,7.61
ARAI,2025-06-20,7.848,7.85,6.77,6.97
ARAI,2025-06-23,6.998,7.3,6.56,6.76
ARAI,2025-06-24,7.2,8.2999,7.2,8.12
ARAI,2025-06-25,8.53,9.4,7.87,9.13
ARAI,2025-06-26,9.1,9.75,8.57,9.25
ARAI,2025-06-27,9.23,11.05,9.183,10.5899
ARAI,2025-06-30,11.07,12.0,10.5,11.58
ARAI,2025-07-01,11.79,11.79,9.93,10.57
ARAI,2025-07-02,10.64,10.6899,9.93,10.54
ARAI,2025-07-03,10.73,12.15,10.32,12.15
ARAI,2025-07-07,12.19,12.2499,10.91,10.98
ARAI,2025-07-08,11.14,11.4508,10.2,10.51
ARAI,2025-07-09,10.7,10.7,8.77,9.3
ARAI,2025-07-10,9.51,9.51,8.7,9.19
ARAI,2025-07-11,8.8968,9.55,8.8968,9.35
ARAI,2025-07-14,9.25,9.4365,8.3201,8.78
ARAI,2025-07-15,8.81,9.49,8.6,9.1
ARAI,2025-07-16,9.09,9.64,8.7105,9.36
ARAI,2025-07-17,9.36,9.59,8.94,9.19
ARAI,2025-07-18,9.27,9.525,8.96,9.25
ARAI,2025-07-21,9.15,10.9,8.92,10.48
ARAI,2025-07-22,10.06,10.38,9.38,9.82
ARAI,2025-07-23,9.83,10.3937,9.78,10.25
ARAI,2025-07-24,10.5,12.86,10.4175,11.92
ARAI,2025-07-25,11.6,11.93,10.46,10.46
ARAI,2025-07-28,10.34,11.45,9.8,10.145
ARAI,2025-07-29,10.2,10.58,8.905,8.905
ARAI,2025-07-30,9.1,9.25,8.81,8.91
ARAI,2025-07-31,8.95,9.2781,7.83,7.9
ARAI,2025-08-01,7.6,8.1331,7.4102,7.49
ARAI,2025-08-04,7.46,8.21,6.7242,6.78
ARAI,2025-08-05,6.91,7.25,6.8,7.05
ARAI,2025-08-06,7.19,7.34,6.34,6.47
ARAI,2025-08-07,6.65,7.5,6.5001,7.5
ARAI,2025-08-08,7.54,7.5776,6.92,7.07
ARAI,2025-08-11,7.08,7.24,6.66,6.78
ARAI,2025-08-12,6.83,7.15,6.65,6.93
ARAI,2025-08-13,7.14,7.1482,6.53,6.77
ARAI,2025-08-14,6.76,6.7949,6.0,6.4
ARAI,2025-08-15,6.3,6.3477,5.995,6.0
ARAI,2025-08-18,6.0,6.27,5.67,6.01
ARAI,2025-08-19,6.09,6.1992,5.62,5.72
ARAI,2025-08-20,5.73,5.73,5.27,5.56
ARAI,2025-08-21,5.55,6.1614,5.45,5.94
ARAI,2025-08-22,5.94,6.19,5.8473,5.99
ARAI,2025-08-25,6.11,6.15,5.26,5.27
ARAI,2025-08-26,5.35,5.6,5.34,5.47
ARAI,2025-08-27,5.45,5.6405,5.11,5.13
ARAI,2025-08-28,5.25,5.3272,5.01,5.07
ARAI,2025-08-29,5.05,5.5419,4.763,4.92
ARAI,2025-09-02,4.8,4.91,4.36,4.39
ARAI,2025-09-03,4.36,4.6,4.16,4.25
ARAI,2025-09-04,4.21,4.21,3.7516,4.13
ARAI,2025-09-05,4.18,4.35,3.85,4.11
ARAI,2025-09-08,4.11,4.34,3.74,3.77
ARAI,2025-09-09,3.73,3.73,3.25,3.48
ARAI,2025-09-10,3.42,3.74,3.4,3.61
ARAI,2025-09-11,3.54,4.0735,3.52,3.87
