ticker,date,open,high,low,close
ATON,2025-09-04,6.81,6.9,5.0,5.45
ATON,2025-09-05,5.75,5.75,5.03,5.09
ATON,2025-09-08,5.54,6.9799,5.2,6.08
ATON,2025-09-09,5.21,6.7,5.2,6.0
ATON,2025-09-10,5.58,6.5,5.43,5.81
ATON,2025-09-11,5.6753,6.39,5.44,5.44
ATON,2025-09-12,5.65,5.95,5.3837,5.86
ATON,2025-09-15,5.6867,5.755,5.4,5.67
ATON,2025-09-16,5.86,6.35,5.5,5.62
ATON,2025-09-17,5.8,5.8862,5.465,5.565
ATON,2025-09-18,5.9159,6.58,5.5318,6.28
ATON,2025-09-19,6.14,6.5133,5.81,6.03
ATON,2025-09-22,6.02,6.6834,5.975,6.3
ATON,2025-09-23,6.47,6.5119,6.01,6.21
ATON,2025-09-24,6.05,6.4091,6.0065,6.08
ATON,2025-09-25,6.1999,6.4,5.56,6.25
ATON,2025-09-26,5.84,6.0,5.54,5.77
ATON,2025-09-29,6.2,6.2645,5.5,5.53
ATON,2025-09-30,5.5,5.75,5.34,5.34
ATON,2025-10-01,5.56,5.8,5.28,5.665
ATON,2025-10-02,5.78,6.02,5.5,5.95
ATON,2025-10-03,5.88,5.9,5.625,5.75
ATON,2025-10-06,5.75,5.9597,5.5,5.7868
ATON,2025-10-07,5.67,5.78,5.485,5.58
ATON,2025-10-08,13.25,13.8,9.77,10.91
ATON,2025-10-09,7.92,8.7599,7.7,8.35
ATON,2025-10-10,7.9,7.9753,6.3,6.3
ATON,2025-10-13,7.54,7.78,6.31,6.54
ATON,2025-10-14,6.47,7.41,5.91,7.1299
ATON,2025-10-15,6.67,7.035,6.512,6.526
ATON,2025-10-16,6.52,6.6672,6.26,6.36
ATON,2025-10-17,6.03,6.165,5.75,5.82
ATON,2025-10-20,5.82,6.0,5.67,5.84
ATON,2025-10-21,5.75,5.84,5.21,5.31
ATON,2025-10-22,5.23,5.4912,4.97,5.12
ATON,2025-10-23,5.12,5.4,5.12,5.12
ATON,2025-10-24,5.31,5.31,5.07,5.13
ATON,2025-10-27,5.05,5.45,4.9,5.23
ATON,2025-10-28,5.15,5.45,5.0196,5.16
