ticker,date,open,high,low,close
AVX,2025-11-13,2.4,2.6499,1.75,1.8
AVX,2025-11-14,1.7106,2.0,1.7001,1.8
AVX,2025-11-17,1.83,1.87,1.63,1.68
AVX,2025-11-18,1.68,1.7954,1.57,1.62
AVX,2025-11-19,1.6,1.6605,1.445,1.49
AVX,2025-11-20,1.6447,1.84,1.56,1.69
AVX,2025-11-21,1.75,1.75,1.5505,1.72
AVX,2025-11-24,1.67,1.99,1.6511,1.89
AVX,2025-11-25,1.84,1.95,1.77,1.9
AVX,2025-11-26,1.88,1.93,1.79,1.92
AVX,2025-11-28,1.93,2.08,1.85,1.97
AVX,2025-12-01,1.93,1.95,1.8101,1.89
AVX,2025-12-02,1.91,1.99,1.88,1.92
AVX,2025-12-03,1.93,2.27,1.88,2.1
AVX,2025-12-04,2.09,2.145,1.95,2.04
AVX,2025-12-05,2.03,2.05,1.93,1.96
AVX,2025-12-08,1.96,1.9789,1.81,1.81
AVX,2025-12-09,1.8,1.845,1.58,1.64
AVX,2025-12-10,1.6,1.63,1.45,1.63
AVX,2025-12-11,1.7,1.73,1.555,1.63
AVX,2025-12-12,1.62,1.6692,1.5347,1.58
AVX,2025-12-15,1.6,1.61,1.5,1.55
AVX,2025-12-16,1.55,1.56,1.41,1.43
AVX,2025-12-17,1.43,1.45,1.28,1.32
AVX,2025-12-18,1.33,1.4158,1.26,1.26
AVX,2025-12-19,1.34,1.3718,1.13,1.23
AVX,2025-12-22,1.26,1.2692,1.145,1.17
AVX,2025-12-23,1.17,1.28,1.16,1.225
AVX,2025-12-24,1.22,1.505,1.21,1.28
AVX,2025-12-26,1.24,1.44,1.24,1.37
AVX,2025-12-29,1.37,1.43,1.29,1.29
AVX,2025-12-30,1.3,1.63,1.3,1.45
AVX,2025-12-31,1.47,1.74,1.47,1.51
AVX,2026-01-02,1.52,1.75,1.52,1.61
AVX,2026-01-05,1.68,1.78,1.54,1.55
AVX,2026-01-06,1.69,1.7,1.545,1.57
AVX,2026-01-07,1.6,1.865,1.6,1.75
AVX,2026-01-08,1.76,1.7982,1.63,1.67
AVX,2026-01-09,1.7,1.94,1.64,1.81
AVX,2026-01-12,1.85,2.115,1.83,1.83
AVX,2026-01-13,1.82,2.24,1.82,2.075
AVX,2026-01-14,2.13,2.2,2.05,2.085
AVX,2026-01-15,2.0,2.24,2.0,2.11
AVX,2026-01-16,2.11,2.26,1.51,1.59
AVX,2026-01-20,1.58,1.6529,1.5,1.545
AVX,2026-01-21,1.45,1.7243,1.395,1.53
AVX,2026-01-22,1.52,1.755,1.52,1.68
AVX,2026-01-23,1.7,1.9,1.68,1.87
AVX,2026-01-26,1.81,2.0544,1.73,1.73
AVX,2026-01-27,1.25,1.32,0.97,1.04
AVX,2026-01-28,1.08,1.14,1.0,1.02
AVX,2026-01-29,1.02,1.03,0.73,0.7711
AVX,2026-01-30,0.7711,0.84,0.7498,0.8108
AVX,2026-02-02,0.8,0.81,0.697,0.745
