ticker,date,open,high,low,close
AXG,2025-10-10,3.2,3.25,3.03,3.16
AXG,2025-10-13,3.17,3.31,2.905,3.31
AXG,2025-10-14,3.31,3.48,3.0795,3.415
AXG,2025-10-15,3.42,3.6,3.32,3.6
AXG,2025-10-16,3.59,3.7,3.45,3.68
AXG,2025-10-17,3.67,3.74,3.37,3.7
AXG,2025-10-20,3.7,3.74,3.44,3.47
AXG,2025-10-21,3.38,3.735,3.31,3.73
AXG,2025-10-22,3.76,3.765,3.485,3.63
AXG,2025-10-23,3.6,3.6,3.42,3.45
AXG,2025-10-24,3.71,3.9,3.69,3.78
AXG,2025-10-27,3.8,3.935,3.69,3.92
AXG,2025-10-28,3.91,4.1699,3.88,3.96
AXG,2025-10-29,3.93,3.95,3.635,3.71
AXG,2025-10-30,3.58,3.74,3.52,3.52
AXG,2025-10-31,3.5,3.745,3.5,3.54
AXG,2025-11-03,3.51,3.53,3.19,3.295
AXG,2025-11-04,3.24,3.68,3.24,3.63
AXG,2025-11-05,3.6,3.68,3.31,3.46
AXG,2025-11-06,3.46,3.46,3.32,3.4
AXG,2025-11-07,3.34,3.48,3.2,3.37
AXG,2025-11-10,3.35,3.65,3.33,3.63
AXG,2025-11-11,3.61,3.83,3.56,3.8
AXG,2025-11-12,3.81,3.88,3.37,3.51
AXG,2025-11-13,3.43,3.53,3.33,3.4
AXG,2025-11-14,3.36,3.695,3.36,3.58
AXG,2025-11-17,3.58,3.7,3.4886,3.66
AXG,2025-11-18,3.67,3.84,3.585,3.64
AXG,2025-11-19,3.58,3.715,3.5256,3.64
AXG,2025-11-20,3.67,3.67,3.42,3.55
AXG,2025-11-21,3.6,3.6,3.4,3.55
AXG,2025-11-24,3.57,3.62,3.475,3.58
AXG,2025-11-25,3.58,3.62,3.46,3.62
AXG,2025-11-26,3.66,3.9,3.585,3.8501
AXG,2025-11-28,3.86,3.98,3.6,3.65
AXG,2025-12-01,3.61,3.68,3.48,3.52
AXG,2025-12-02,3.55,3.65,3.43,3.51
AXG,2025-12-03,3.565,3.73,3.565,3.65
AXG,2025-12-04,3.69,3.9,3.14,3.58
AXG,2025-12-05,3.6,3.64,3.1,3.13
AXG,2025-12-08,3.24,3.39,3.14,3.38
AXG,2025-12-09,3.34,3.51,3.34,3.44
AXG,2025-12-10,3.47,3.54,3.32,3.37
AXG,2025-12-11,3.32,3.515,3.25,3.48
AXG,2025-12-12,3.48,3.505,3.35,3.4
AXG,2025-12-15,3.36,3.49,3.3,3.375
AXG,2025-12-16,3.34,3.75,3.3,3.685
AXG,2025-12-17,3.68,3.69,3.53,3.59
AXG,2025-12-18,3.64,4.315,3.61,4.25
AXG,2025-12-19,4.19,4.32,4.12,4.22
AXG,2025-12-22,4.24,4.54,4.16,4.41
AXG,2025-12-23,4.38,4.5194,4.24,4.25
AXG,2025-12-24,4.23,4.47,4.23,4.27
AXG,2025-12-26,4.28,4.34,4.2,4.27
AXG,2025-12-29,4.18,4.34,4.1212,4.16
AXG,2025-12-30,4.14,4.31,4.04,4.12
AXG,2025-12-31,4.14,4.19,3.985,4.11
AXG,2026-01-02,4.12,4.12,3.91,4.08
AXG,2026-01-05,4.1,4.2165,4.035,4.2
AXG,2026-01-06,4.2,4.235,3.96,4.03
AXG,2026-01-07,4.05,4.12,3.95,4.06
AXG,2026-01-08,4.11,4.41,4.11,4.31
AXG,2026-01-09,4.36,4.4,4.16,4.18
AXG,2026-01-12,4.11,4.215,3.91,4.0
AXG,2026-01-13,4.02,4.16,3.9,4.1
AXG,2026-01-14,4.11,4.75,4.06,4.73
AXG,2026-01-15,4.63,4.73,4.5,4.63
AXG,2026-01-16,4.64,4.64,4.26,4.28
AXG,2026-01-20,4.28,4.43,4.14,4.21
AXG,2026-01-21,4.21,4.29,4.08,4.25
AXG,2026-01-22,4.29,4.35,4.2,4.27
AXG,2026-01-23,4.31,4.31,4.0,4.11
AXG,2026-01-26,4.165,4.165,4.04,4.15
AXG,2026-01-27,4.13,4.185,4.0,4.1
AXG,2026-01-28,4.12,4.12,3.91,4.09
AXG,2026-01-29,3.41,3.41,3.39,3.41
AXG,2026-01-30,3.45,3.68,2.76,2.88
AXG,2026-02-02,2.86,3.27,2.74,2.835
