ticker,date,open,high,low,close
BCAR,2025-08-20,9.92,9.92,9.88,9.92
BCAR,2025-08-21,9.91,9.915,9.91,9.91
BCAR,2025-08-22,9.91,9.91,9.91,9.91
BCAR,2025-08-25,9.91,9.91,9.91,9.91
BCAR,2025-08-26,9.9,9.92,9.9,9.91
BCAR,2025-08-27,9.9,9.9,9.89,9.895
BCAR,2025-08-28,9.9,9.9,9.9,9.9
BCAR,2025-08-29,9.91,9.91,9.895,9.9
BCAR,2025-09-02,9.9,9.9,9.9,9.9
BCAR,2025-09-03,9.8922,9.905,9.8922,9.9
BCAR,2025-09-04,9.895,9.9,9.89,9.9
BCAR,2025-09-05,9.9,9.9,9.9,9.9
BCAR,2025-09-08,9.91,9.91,9.8935,9.8935
BCAR,2025-09-09,9.9,9.905,9.89,9.9
BCAR,2025-09-10,9.905,9.91,9.905,9.905
BCAR,2025-09-11,9.905,9.91,9.9,9.91
BCAR,2025-09-12,9.91,9.91,9.9,9.9
BCAR,2025-09-15,9.91,9.91,9.9,9.905
BCAR,2025-09-16,9.91,9.91,9.905,9.905
BCAR,2025-09-17,9.91,9.91,9.905,9.91
BCAR,2025-09-18,9.91,9.91,9.905,9.91
BCAR,2025-09-19,9.9,9.91,9.9,9.9
BCAR,2025-09-22,9.9,9.9,9.9,9.9
BCAR,2025-09-23,9.91,9.91,9.91,9.91
BCAR,2025-09-24,9.915,9.92,9.915,9.92
BCAR,2025-09-25,9.95,9.95,9.92,9.92
BCAR,2025-09-26,9.925,9.93,9.92,9.93
BCAR,2025-09-29,9.93,9.93,9.92,9.92
BCAR,2025-09-30,9.93,9.93,9.92,9.93
BCAR,2025-10-01,9.925,9.93,9.925,9.93
BCAR,2025-10-02,9.93,9.96,9.92,9.96
BCAR,2025-10-03,9.95,9.96,9.95,9.955
BCAR,2025-10-06,9.95,9.96,9.95,9.95
BCAR,2025-10-07,9.95,9.96,9.95,9.955
BCAR,2025-10-08,9.955,9.96,9.955,9.96
BCAR,2025-10-09,9.96,10.0,9.96,10.0
BCAR,2025-10-10,9.969,9.97,9.96,9.965
BCAR,2025-10-13,9.97,10.04,9.97,9.99
BCAR,2025-10-14,10.0,10.0,10.0,10.0
BCAR,2025-10-15,10.01,10.02,10.01,10.01
BCAR,2025-10-16,10.01,10.02,10.005,10.005
BCAR,2025-10-17,10.015,10.015,10.01,10.01
BCAR,2025-10-20,10.0101,10.015,10.01,10.01
BCAR,2025-10-21,10.01,10.02,10.01,10.02
BCAR,2025-10-22,10.02,10.025,10.01,10.025
BCAR,2025-10-23,10.02,10.025,10.02,10.02
BCAR,2025-10-24,10.03,10.035,10.03,10.035
BCAR,2025-10-27,10.02,10.03,10.02,10.025
BCAR,2025-10-28,10.0064,10.04,10.0064,10.04
BCAR,2025-10-29,10.05,10.06,10.0472,10.055
BCAR,2025-10-30,10.05,10.05,10.05,10.05
BCAR,2025-10-31,10.06,10.06,10.035,10.05
BCAR,2025-11-03,10.0504,10.0504,10.05,10.05
BCAR,2025-11-04,10.05,10.055,10.05,10.055
BCAR,2025-11-05,10.06,10.07,10.05,10.06
BCAR,2025-11-06,10.06,10.06,10.06,10.06
BCAR,2025-11-07,10.06,10.0603,10.06,10.06
BCAR,2025-11-10,10.065,10.065,10.06,10.06
BCAR,2025-11-11,10.07,10.08,10.07,10.08
BCAR,2025-11-12,10.06,10.07,10.06,10.07
BCAR,2025-11-13,10.03,10.065,10.03,10.05
BCAR,2025-11-14,10.08,10.08,10.05,10.06
BCAR,2025-11-17,10.08,10.08,10.035,10.055
BCAR,2025-11-18,10.06,10.08,10.055,10.08
BCAR,2025-11-19,10.05,10.08,10.05,10.08
BCAR,2025-11-20,10.05,10.06,10.03,10.05
BCAR,2025-11-21,10.06,10.06,10.0,10.03
BCAR,2025-11-24,10.07,10.07,10.03,10.05
BCAR,2025-11-25,10.05,10.06,10.03,10.05
BCAR,2025-11-26,10.06,10.06,10.03,10.05
BCAR,2025-11-28,10.06,10.06,10.02,10.03
BCAR,2025-12-01,10.03,10.04,10.01,10.025
BCAR,2025-12-02,10.06,10.06,10.02,10.03
BCAR,2025-12-03,10.02,10.04,10.02,10.03
BCAR,2025-12-04,10.025,10.035,10.02,10.03
BCAR,2025-12-05,10.04,10.04,10.01,10.015
BCAR,2025-12-08,10.04,10.04,10.02,10.03
BCAR,2025-12-09,10.03,10.035,10.02,10.02
