ticker,date,open,high,low,close
BGMS,2025-09-12,6.0,6.7,5.84,6.02
BGMS,2025-09-15,5.75,5.75,5.1982,5.24
BGMS,2025-09-16,5.34,5.4,4.76,5.08
BGMS,2025-09-17,4.85,5.0325,4.0408,4.56
BGMS,2025-09-18,4.4301,4.66,4.27,4.51
BGMS,2025-09-19,4.5,4.7,4.42,4.65
BGMS,2025-09-22,4.55,4.95,4.4575,4.63
BGMS,2025-09-23,4.63,4.85,4.6163,4.75
BGMS,2025-09-24,4.64,5.11,4.59,4.84
BGMS,2025-09-25,4.795,4.9903,4.7,4.74
BGMS,2025-09-26,4.65,5.15,4.65,5.15
BGMS,2025-09-29,4.99,5.1096,4.81,4.88
BGMS,2025-09-30,4.75,5.0,4.75,4.94
BGMS,2025-10-01,4.83,5.0,4.81,4.93
BGMS,2025-10-02,4.81,4.9,4.49,4.54
BGMS,2025-10-03,4.65,4.88,4.6,4.78
BGMS,2025-10-06,4.64,4.76,4.54,4.57
BGMS,2025-10-07,4.57,4.7624,4.31,4.72
BGMS,2025-10-08,5.18,5.68,4.8108,5.29
BGMS,2025-10-09,4.8,5.6486,4.55,5.165
BGMS,2025-10-10,5.33,5.5885,4.55,5.13
BGMS,2025-10-13,4.72,6.15,4.71,5.95
BGMS,2025-10-14,5.44,6.7,5.33,5.8
BGMS,2025-10-15,5.63,6.1123,5.05,5.06
BGMS,2025-10-16,5.37,5.79,3.77,3.81
BGMS,2025-10-17,3.86,4.1088,3.65,4.04
BGMS,2025-10-20,3.84,3.901,2.8,2.97
BGMS,2025-10-21,2.96,3.09,2.861,2.88
BGMS,2025-10-22,2.87,2.9508,2.48,2.5
BGMS,2025-10-23,2.47,2.6345,1.73,1.94
BGMS,2025-10-24,1.99,2.0521,1.8,1.84
BGMS,2025-10-27,1.9,2.3,1.85,1.95
BGMS,2025-10-28,1.78,1.87,1.74,1.81
BGMS,2025-10-29,1.72,1.88,1.7,1.82
BGMS,2025-10-30,1.73,1.91,1.72,1.82
BGMS,2025-10-31,1.79,1.85,1.61,1.78
BGMS,2025-11-03,1.73,1.96,1.73,1.858
BGMS,2025-11-04,1.75,1.96,1.56,1.59
BGMS,2025-11-05,1.54,1.805,1.54,1.65
BGMS,2025-11-06,1.59,1.69,1.33,1.48
BGMS,2025-11-07,1.5,1.6259,1.38,1.52
BGMS,2025-11-10,1.52,1.56,1.42,1.48
BGMS,2025-11-11,1.47,1.47,1.35,1.395
BGMS,2025-11-12,1.36,1.495,1.36,1.43
BGMS,2025-11-13,1.4,1.48,1.2601,1.33
BGMS,2025-11-14,1.34,1.35,1.299,1.31
BGMS,2025-11-17,1.32,1.35,1.23,1.23
BGMS,2025-11-18,1.19,1.63,1.19,1.345
BGMS,2025-11-19,1.34,1.34,1.2601,1.29
BGMS,2025-11-20,1.2901,1.33,1.22,1.25
BGMS,2025-11-21,1.25,1.41,1.16,1.27
BGMS,2025-11-24,1.28,1.4,1.26,1.4
BGMS,2025-11-25,1.4,1.44,1.32,1.35
BGMS,2025-11-26,1.39,1.513,1.3587,1.51
BGMS,2025-11-28,1.46,1.55,1.46,1.51
BGMS,2025-12-01,1.5,1.71,1.5,1.66
BGMS,2025-12-02,1.71,1.71,1.45,1.45
BGMS,2025-12-03,1.4111,1.69,1.4111,1.69
BGMS,2025-12-04,1.69,1.84,1.61,1.82
BGMS,2025-12-05,1.8,1.81,1.65,1.66
BGMS,2025-12-08,1.7,1.77,1.67,1.715
BGMS,2025-12-09,1.66,1.69,1.63,1.63
BGMS,2025-12-10,1.59,1.63,1.49,1.49
BGMS,2025-12-11,1.5,1.56,1.45,1.5
BGMS,2025-12-12,1.5121,1.565,1.44,1.44
BGMS,2025-12-15,1.43,1.49,1.34,1.35
BGMS,2025-12-16,1.37,1.37,1.29,1.34
BGMS,2025-12-17,1.32,1.45,1.31,1.36
BGMS,2025-12-18,1.36,1.3899,1.3,1.3899
BGMS,2025-12-19,1.37,1.457,1.31,1.38
BGMS,2025-12-22,1.39,1.65,1.38,1.6
BGMS,2025-12-23,1.48,1.56,1.4405,1.46
BGMS,2025-12-24,1.43,1.46,1.42,1.42
BGMS,2025-12-26,1.398,1.57,1.39,1.48
BGMS,2025-12-29,1.48,1.57,1.45,1.45
BGMS,2025-12-30,1.52,1.7,1.494,1.56
BGMS,2025-12-31,1.605,1.61,1.48,1.48
BGMS,2026-01-02,1.5,1.5986,1.4,1.41
BGMS,2026-01-05,1.48,1.48,1.39,1.41
BGMS,2026-01-06,1.37,1.4187,1.35,1.37
BGMS,2026-01-07,1.38,1.3801,1.32,1.35
BGMS,2026-01-08,1.3101,1.405,1.3101,1.36
BGMS,2026-01-09,1.39,1.44,1.37,1.37
BGMS,2026-01-12,1.37,1.37,1.28,1.3
BGMS,2026-01-13,1.31,1.41,1.3,1.39
BGMS,2026-01-14,1.34,1.63,1.34,1.435
BGMS,2026-01-15,1.39,1.5,1.39,1.43
BGMS,2026-01-16,1.43,1.6613,1.41,1.6
BGMS,2026-01-20,1.58,1.62,1.46,1.463
BGMS,2026-01-21,1.41,1.535,1.39,1.405
BGMS,2026-01-22,1.3699,1.48,1.3699,1.4
BGMS,2026-01-23,1.43,1.48,1.32,1.32
BGMS,2026-01-26,1.34,1.34,1.28,1.3
BGMS,2026-01-27,1.28,1.3,1.28,1.29
BGMS,2026-01-28,1.28,1.36,1.24,1.24
BGMS,2026-01-29,1.25,1.251,1.23,1.23
BGMS,2026-01-30,1.25,1.25,1.18,1.22
BGMS,2026-02-02,1.22,1.22,1.1202,1.13
