ticker,date,open,high,low,close
BHST,2024-11-13,5.76,6.67,5.76,5.96
BHST,2024-11-14,6.49,6.72,5.85,5.85
BHST,2024-11-15,6.38,6.4,5.915,6.0
BHST,2024-11-18,6.01,6.7,6.01,6.3
BHST,2024-11-19,6.3,6.38,6.18,6.22
BHST,2024-11-20,5.85,6.45,5.85,6.4499
BHST,2024-11-21,6.4,6.4,6.18,6.18
BHST,2024-11-22,6.24,6.26,6.22,6.22
BHST,2024-11-25,6.21,6.4,6.15,6.3
BHST,2024-11-26,6.09,6.29,5.945,6.1818
BHST,2024-11-27,6.5,6.5,6.0001,6.1756
BHST,2024-11-29,6.15,6.15,6.15,6.15
BHST,2024-12-02,6.8,6.8,6.0182,6.085
BHST,2024-12-03,6.1,6.335,6.1,6.3
BHST,2024-12-04,6.15,6.2487,6.07,6.13
BHST,2024-12-05,6.35,6.35,5.91,5.97
BHST,2024-12-06,6.06,6.2,6.0391,6.0488
BHST,2024-12-09,6.06,6.45,6.0099,6.2269
BHST,2025-01-27,5.5,5.5,5.25,5.3851
BHST,2025-01-28,5.2,5.2,5.0665,5.1288
BHST,2025-01-29,5.05,5.0999,4.865,4.9515
BHST,2025-01-30,5.05,5.19,5.05,5.19
BHST,2025-01-31,5.19,5.19,4.7237,4.9613
BHST,2025-02-03,4.97,4.9895,4.7287,4.9892
BHST,2025-02-04,4.9767,5.6443,4.9767,5.6443
BHST,2025-02-05,4.99,5.72,4.99,5.6988
BHST,2025-02-06,5.71,5.71,5.4001,5.6783
BHST,2025-02-07,5.51,5.9,5.51,5.7685
BHST,2025-02-10,5.9,5.95,5.85,5.95
BHST,2025-02-11,5.8,5.92,5.67,5.67
BHST,2025-02-12,5.8356,5.8356,5.8208,5.8208
BHST,2025-02-13,5.82,5.82,5.58,5.6
BHST,2025-02-14,5.8,5.8,5.22,5.78
BHST,2025-02-18,6.06,6.135,5.5001,6.135
BHST,2025-02-19,5.87,6.0734,5.6043,5.6925
BHST,2025-02-20,5.57,5.57,5.31,5.3101
BHST,2025-02-21,6.007,6.007,5.46,5.9459
BHST,2025-02-24,6.01,6.01,5.11,5.5
BHST,2025-02-25,5.22,5.5688,5.0763,5.0763
BHST,2025-02-26,5.78,5.78,5.65,5.65
BHST,2025-02-27,5.21,5.21,5.1,5.1915
BHST,2025-02-28,5.21,5.2434,5.21,5.2434
BHST,2025-03-03,5.35,5.35,5.03,5.03
BHST,2025-03-04,5.1899,5.399,5.1899,5.3008
BHST,2025-03-05,5.24,5.2812,5.1671,5.2812
BHST,2025-03-06,5.2032,5.2388,5.15,5.1927
BHST,2025-03-07,5.3218,5.3218,5.2,5.3218
BHST,2025-03-10,5.01,5.46,5.01,5.33
BHST,2025-03-11,5.32,5.32,5.0987,5.17
BHST,2025-03-12,5.25,5.5,5.225,5.3895
BHST,2025-03-13,5.19,5.19,5.165,5.19
BHST,2025-03-14,5.49,5.9,5.49,5.85
BHST,2025-03-17,5.85,5.9797,5.8499,5.94
BHST,2025-03-18,5.97,6.12,5.956,6.12
BHST,2025-03-19,6.1735,6.24,6.1312,6.15
BHST,2025-03-20,6.19,6.5,6.19,6.3887
BHST,2025-03-21,6.48,6.48,6.0411,6.21
BHST,2025-03-24,6.39,6.7114,6.3,6.7114
BHST,2025-03-25,6.89,6.89,6.71,6.75
BHST,2025-03-26,6.8,6.82,6.75,6.7501
BHST,2025-03-27,6.45,6.45,6.4,6.45
BHST,2025-03-28,6.583,6.583,6.5331,6.555
BHST,2025-03-31,6.5,6.5,6.19,6.19
BHST,2025-04-01,6.3268,6.5,6.1501,6.49
BHST,2025-04-02,6.35,6.3755,6.15,6.15
