ticker,date,open,high,low,close
BNKK,2025-10-10,0.378,0.39,0.272,0.35
BNKK,2025-10-13,0.3304,0.3304,0.2621,0.2734
BNKK,2025-10-14,0.29,0.3105,0.282,0.2981
BNKK,2025-10-15,0.3,0.3144,0.2801,0.2808
BNKK,2025-10-16,0.28,0.289,0.2526,0.2667
BNKK,2025-10-17,0.256,0.2612,0.235,0.2439
BNKK,2025-10-20,0.2411,0.2636,0.2403,0.2453
BNKK,2025-10-21,0.24,0.2448,0.215,0.2231
BNKK,2025-10-22,0.2139,0.2519,0.2139,0.2217
BNKK,2025-10-23,0.2084,0.2283,0.205,0.227
BNKK,2025-10-24,0.2373,0.2595,0.2241,0.2335
BNKK,2025-10-27,0.2375,0.2593,0.2338,0.2519
BNKK,2025-10-28,0.258,0.258,0.2267,0.2303
BNKK,2025-10-29,0.2323,0.237,0.216,0.23475
BNKK,2025-10-30,0.2278,0.234,0.216,0.2183
BNKK,2025-10-31,0.2151,0.2296,0.21,0.2171
BNKK,2025-11-03,0.21,0.2199,0.2005,0.2076
BNKK,2025-11-04,0.2051,0.2079,0.18,0.1835
BNKK,2025-11-05,0.18,0.2079,0.18,0.2079
BNKK,2025-11-06,0.2083,0.2198,0.19,0.1919
BNKK,2025-11-07,0.1813,0.1969,0.18,0.1932
BNKK,2025-11-10,0.1976,0.2035,0.1871,0.1987
BNKK,2025-11-11,0.1975,0.2,0.191,0.1945
BNKK,2025-11-12,0.1995,0.208,0.1836,0.1871
BNKK,2025-11-13,0.185,0.1895,0.165,0.1741
BNKK,2025-11-14,0.17,0.173,0.16,0.1677
BNKK,2025-11-17,0.1655,0.166,0.1365,0.14
BNKK,2025-11-18,0.1331,0.1495,0.1331,0.1431
BNKK,2025-11-19,0.137,0.1581,0.137,0.1421
BNKK,2025-11-20,0.2234,0.25419,0.1571,0.1701
BNKK,2025-11-21,0.1526,0.171732,0.1401,0.147
BNKK,2025-11-24,0.1536,0.1743,0.14755,0.1655
BNKK,2025-11-25,0.16,0.172,0.16,0.1632
BNKK,2025-11-26,0.1667,0.1735,0.1611,0.167099
BNKK,2025-11-28,0.17,0.1892,0.16,0.18
BNKK,2025-12-01,0.1713,0.1795,0.157,0.1657
BNKK,2025-12-02,0.165,0.1733,0.1625,0.165
BNKK,2025-12-03,0.17,0.197,0.17,0.1922
BNKK,2025-12-04,0.186,0.2057,0.1819,0.1998
BNKK,2025-12-05,0.2096,0.2165,0.1917,0.1974
BNKK,2025-12-08,0.2059,0.2358,0.2018,0.2239
BNKK,2025-12-09,0.18125,0.1825,0.1354,0.147
BNKK,2025-12-10,0.1512,0.1599,0.1115,0.116
BNKK,2025-12-11,3.69,4.43,3.05,3.22
BNKK,2025-12-12,3.22,4.06,3.2,4.06
BNKK,2025-12-15,4.0,4.3,3.585,3.8
BNKK,2025-12-16,3.75,3.97,3.6,3.7
BNKK,2025-12-17,3.67,4.0413,3.58,3.595
BNKK,2025-12-18,3.65,4.2,3.55,3.795
BNKK,2025-12-19,3.79,3.98,3.6596,3.91
BNKK,2025-12-22,3.94,4.14,3.55,3.63
BNKK,2025-12-23,3.6,3.64,3.26,3.64
BNKK,2025-12-24,3.57,3.5926,3.245,3.3
BNKK,2025-12-26,3.24,3.3491,2.75,2.99
BNKK,2025-12-29,2.91,2.94,2.3601,2.42
BNKK,2025-12-30,2.4,2.775,2.33,2.6
BNKK,2025-12-31,2.58,2.7506,2.5074,2.58
BNKK,2026-01-02,2.64,3.07,2.61,2.94
BNKK,2026-01-05,2.97,3.5,2.97,3.08
BNKK,2026-01-06,3.12,3.225,2.8029,2.99
BNKK,2026-01-07,2.96,3.0083,2.77,2.98
BNKK,2026-01-08,2.91,3.08,2.77,2.77
BNKK,2026-01-09,2.85,2.97,2.685,2.76
BNKK,2026-01-12,2.76,2.9454,2.69,2.84
BNKK,2026-01-13,2.86,2.9,2.64,2.68
BNKK,2026-01-14,2.66,3.06,2.66,2.79
BNKK,2026-01-15,4.15,5.05,3.62,3.96
BNKK,2026-01-16,3.64,3.69,3.2,3.51
BNKK,2026-01-20,3.44,4.08,3.33,3.98
BNKK,2026-01-21,3.83,4.89,3.83,4.825
BNKK,2026-01-22,4.6306,6.5927,4.6306,6.4
BNKK,2026-01-23,6.13,7.1881,5.14,6.06
BNKK,2026-01-26,6.15,6.23,4.82,4.82
BNKK,2026-01-27,4.85,4.8685,4.09,4.65
BNKK,2026-01-28,4.7,4.94,4.4501,4.72
BNKK,2026-01-29,4.64,4.662,4.01,4.31
BNKK,2026-01-30,4.13,4.347,3.76,3.86
BNKK,2026-02-02,3.54,4.2051,3.54,4.03
