ticker,date,open,high,low,close
BSAA,2025-08-07,10.32,10.32,9.82,10.005
BSAA,2025-08-08,10.0,10.01,10.0,10.01
BSAA,2025-08-11,10.01,10.01,10.01,10.01
BSAA,2025-08-13,10.0092,10.01,10.0014,10.01
BSAA,2025-08-15,10.015,10.015,10.01,10.01
BSAA,2025-08-18,10.0,10.01,10.0,10.01
BSAA,2025-08-19,10.01,10.01,10.01,10.01
BSAA,2025-08-20,10.0,10.005,9.99,10.0
BSAA,2025-08-21,10.01,10.01,10.005,10.01
BSAA,2025-08-22,10.02,10.02,10.0,10.0
BSAA,2025-08-25,10.01,10.01,10.0,10.0
BSAA,2025-08-26,10.01,10.01,10.0,10.0
BSAA,2025-08-27,10.02,10.02,10.0,10.0
BSAA,2025-08-28,10.03,10.03,10.02,10.02
BSAA,2025-08-29,10.03,10.03,10.03,10.03
BSAA,2025-09-02,10.03,10.03,10.03,10.03
BSAA,2025-09-03,10.0,10.03,10.0,10.03
BSAA,2025-09-05,10.02,10.02,10.02,10.02
BSAA,2025-09-08,10.03,10.03,10.0251,10.0251
BSAA,2025-09-10,10.02,10.03,10.02,10.03
BSAA,2025-09-15,10.0376,10.0376,10.0376,10.0376
BSAA,2025-09-18,10.035,10.04,10.035,10.04
BSAA,2025-09-19,10.04,10.04,10.04,10.04
BSAA,2025-09-22,10.035,10.05,10.035,10.045
BSAA,2025-09-23,10.035,10.04,10.035,10.04
BSAA,2025-09-24,10.04,10.04,10.04,10.04
BSAA,2025-09-25,10.04,10.04,10.04,10.04
BSAA,2025-09-26,10.05,10.05,10.04,10.05
BSAA,2025-09-29,10.05,10.05,10.05,10.05
BSAA,2025-10-02,10.25,10.25,10.0481,10.0481
BSAA,2025-10-03,10.05,10.06,10.05,10.05
BSAA,2025-10-06,10.05,10.06,10.05,10.06
BSAA,2025-10-07,10.06,10.06,10.06,10.06
BSAA,2025-10-08,10.06,10.11,10.0592,10.11
BSAA,2025-10-09,10.07,10.1,10.07,10.1
BSAA,2025-10-16,10.1,10.1,10.1,10.1
BSAA,2025-10-23,10.11,10.11,10.11,10.11
BSAA,2025-10-24,10.11,10.11,10.11,10.11
BSAA,2025-10-27,10.11,10.11,10.11,10.11
BSAA,2025-10-29,10.1,10.1,10.1,10.1
BSAA,2025-10-30,10.11,10.11,10.11,10.11
BSAA,2025-10-31,10.11,10.13,10.11,10.13
BSAA,2025-11-03,10.14,10.14,10.14,10.14
BSAA,2025-11-06,10.09,10.1,10.09,10.1
BSAA,2025-11-10,10.1,10.1,10.1,10.1
BSAA,2025-11-12,10.1,10.1,10.1,10.1
BSAA,2025-11-13,10.1,10.1,10.1,10.1
BSAA,2025-11-25,10.1087,10.1087,10.1,10.1
BSAA,2025-11-26,10.1,10.1012,10.0999,10.1
BSAA,2025-11-28,10.1198,10.15,10.1198,10.15
BSAA,2025-12-02,10.12,10.14,10.1,10.11
BSAA,2025-12-03,10.09,10.09,10.09,10.09
BSAA,2025-12-04,10.1,10.118,10.1,10.118
BSAA,2025-12-05,10.11,10.11,10.09,10.11
BSAA,2025-12-09,10.11,10.11,10.11,10.11
BSAA,2025-12-11,10.121,10.13,10.11,10.11
BSAA,2025-12-12,10.11,10.12,10.1,10.12
BSAA,2025-12-15,10.11,10.11,10.095,10.095
BSAA,2025-12-22,10.1,10.1,10.1,10.1
BSAA,2025-12-23,10.1,10.1,10.1,10.1
BSAA,2025-12-29,10.1,10.1,10.1,10.1
BSAA,2025-12-30,10.13,10.13,10.13,10.13
BSAA,2026-01-05,10.12,10.12,10.12,10.12
BSAA,2026-01-06,10.12,10.16,10.12,10.16
BSAA,2026-01-07,10.17,10.19,10.17,10.19
BSAA,2026-01-15,10.17,10.17,10.17,10.17
BSAA,2026-01-16,10.19,10.19,10.17,10.17
BSAA,2026-01-20,10.18,10.18,10.18,10.18
BSAA,2026-01-21,10.18,10.19,10.18,10.18
BSAA,2026-01-22,10.19,10.19,10.18,10.18
BSAA,2026-01-23,10.19,10.19,10.18,10.18
BSAA,2026-01-26,10.18,10.18,10.18,10.18
BSAA,2026-01-27,10.19,10.19,10.18,10.18
BSAA,2026-01-28,10.2,10.2,10.2,10.2
BSAA,2026-01-29,10.18,10.18,10.18,10.18
BSAA,2026-01-30,10.19,10.1901,10.19,10.1901
BSAA,2026-02-02,10.195,10.2,10.195,10.2
