ticker,date,open,high,low,close
BTTC,2025-10-02,6.0,39.0,5.48,23.98
BTTC,2025-10-03,17.5,23.48,8.8015,9.25
BTTC,2025-10-06,11.0,11.3,9.83,10.05
BTTC,2025-10-07,9.0,9.31,8.2,8.55
BTTC,2025-10-08,8.1,8.8902,7.746,8.0
BTTC,2025-10-09,7.63,7.8392,6.19,6.91
BTTC,2025-10-10,6.37,7.3,6.37,6.62
BTTC,2025-10-13,6.62,6.93,6.5603,6.7
BTTC,2025-10-14,6.555,6.65,5.83,6.01
BTTC,2025-10-15,6.02,6.1023,5.6,5.63
BTTC,2025-10-16,5.61,5.7853,4.88,4.89
BTTC,2025-10-17,4.62,5.85,4.57,5.01
BTTC,2025-10-20,5.1,5.63,4.5601,4.67
BTTC,2025-10-21,4.75,4.8083,4.25,4.36
BTTC,2025-10-22,4.28,4.33,4.0,4.15
BTTC,2025-10-23,4.04,4.405,4.03,4.21
BTTC,2025-10-24,4.25,5.0911,4.11,4.39
BTTC,2025-10-27,4.46,4.54,4.13,4.18
BTTC,2025-10-28,4.1308,4.34,4.02,4.03
BTTC,2025-10-29,4.02,4.075,3.9,3.91
BTTC,2025-10-30,3.79,3.855,3.74,3.77
BTTC,2025-10-31,3.8,3.85,3.64,3.72
BTTC,2025-11-03,3.77,3.8001,3.47,3.48
BTTC,2025-11-04,3.59,3.7099,3.1473,3.19
BTTC,2025-11-05,3.15,3.4,3.14,3.26
BTTC,2025-11-06,3.27,3.38,3.15,3.23
BTTC,2025-11-07,3.21,3.3193,3.02,3.26
BTTC,2025-11-10,3.22,3.445,3.09,3.445
BTTC,2025-11-11,3.43,3.53,3.36,3.4826
BTTC,2025-11-12,3.5,3.715,3.4,3.4
BTTC,2025-11-13,3.52,3.67,3.1901,3.4
BTTC,2025-11-14,3.28,3.4,3.28,3.3
BTTC,2025-11-17,3.3,3.31,3.01,3.06
BTTC,2025-11-18,3.11,3.21,3.0322,3.12
BTTC,2025-11-19,3.0602,3.2,3.0602,3.2
BTTC,2025-11-20,3.22,3.2287,2.95,2.95
BTTC,2025-11-21,2.95,2.99,2.81,2.96
BTTC,2025-11-24,3.0,3.03,2.915,3.03
BTTC,2025-11-25,2.98,3.0898,2.9763,3.06
BTTC,2025-11-26,2.96,3.15,2.9501,3.15
BTTC,2025-11-28,3.04,3.095,3.04,3.0836
BTTC,2025-12-01,3.05,3.11,2.9,2.9
BTTC,2025-12-02,3.02,3.19,3.02,3.13
BTTC,2025-12-03,3.23,3.59,3.145,3.42
BTTC,2025-12-04,3.45,3.49,3.33,3.34
BTTC,2025-12-05,3.36,3.72,3.18,3.18
BTTC,2025-12-08,3.29,3.29,3.01,3.08
BTTC,2025-12-09,3.1999,3.39,2.9788,3.27
BTTC,2025-12-10,3.17,3.385,3.01,3.36
BTTC,2025-12-11,8.95,10.0499,4.0,4.12
BTTC,2025-12-12,3.71,3.71,2.65,2.75
BTTC,2025-12-15,2.9,2.9,2.51,2.5606
BTTC,2025-12-16,2.55,2.689,2.2901,2.34
BTTC,2025-12-17,2.26,2.355,2.2,2.21
BTTC,2025-12-18,2.22,2.39,2.05,2.06
BTTC,2025-12-19,2.06,2.3,2.06,2.11
BTTC,2025-12-22,2.19,2.44,2.15,2.19
BTTC,2025-12-23,2.19,2.2394,2.0,2.06
BTTC,2025-12-24,2.03,2.07,1.91,1.97
BTTC,2025-12-26,1.99,2.01,1.77,1.77
BTTC,2025-12-29,1.84,1.85,1.615,1.62
BTTC,2025-12-30,1.69,1.75,1.6482,1.67
BTTC,2025-12-31,1.72,1.72,1.6375,1.67
BTTC,2026-01-02,1.67,1.85,1.67,1.83
BTTC,2026-01-05,1.95,1.95,1.7,1.72
BTTC,2026-01-06,1.72,1.7442,1.64,1.73
BTTC,2026-01-07,1.6927,1.855,1.6927,1.81
BTTC,2026-01-08,1.77,1.79,1.72,1.73
BTTC,2026-01-09,1.73,1.75,1.7,1.7
BTTC,2026-01-12,1.6926,1.6926,1.55,1.55
BTTC,2026-01-13,1.5606,1.6,1.51,1.51
BTTC,2026-01-14,1.56,1.7358,1.54,1.71
BTTC,2026-01-15,1.7,1.725,1.65,1.65
BTTC,2026-01-16,1.73,1.78,1.6835,1.7
BTTC,2026-01-20,2.75,3.32,2.25,2.41
BTTC,2026-01-21,2.17,2.37,1.82,2.33
BTTC,2026-01-22,2.08,2.5,2.08,2.46
BTTC,2026-01-23,2.33,2.61,2.3,2.3
BTTC,2026-01-26,2.22,2.3999,2.162,2.26
BTTC,2026-01-27,2.13,2.3,2.1,2.11
BTTC,2026-01-28,2.11,2.1309,1.94,1.96
BTTC,2026-01-29,1.9,1.97,1.862,1.93
BTTC,2026-01-30,1.86,2.0,1.8007,1.93
BTTC,2026-02-02,1.83,1.94,1.8201,1.83
