ticker,date,open,high,low,close
BZAI,2025-01-27,6.0,6.5,5.09,5.15
BZAI,2025-01-28,5.65,5.9,5.1,5.61
BZAI,2025-01-29,5.9,6.0,5.62,5.99
BZAI,2025-01-30,6.25,6.4,5.6,5.72
BZAI,2025-01-31,5.81,6.0695,5.81,6.0
BZAI,2025-02-03,5.6,6.03,5.6,5.93
BZAI,2025-02-04,5.95,6.0494,5.7,5.86
BZAI,2025-02-05,5.83,6.0,5.6,5.675
BZAI,2025-02-06,5.6,5.855,5.09,5.3
BZAI,2025-02-07,5.31,5.31,4.4,4.67
BZAI,2025-02-10,5.0,5.25,3.25,3.44
BZAI,2025-02-11,3.6,3.9,3.21,3.21
BZAI,2025-02-12,3.74,3.74,2.85,3.05
BZAI,2025-02-13,3.2,4.54,3.14,4.0
BZAI,2025-02-14,4.31,5.49,3.9,5.15
BZAI,2025-02-18,5.23,5.6499,4.28,4.31
BZAI,2025-02-19,4.5,4.63,4.12,4.49
BZAI,2025-02-20,4.5,4.51,4.02,4.21
BZAI,2025-02-21,4.26,4.445,4.0,4.09
BZAI,2025-02-24,4.05,4.19,3.6,3.715
BZAI,2025-02-25,3.68,3.875,3.6,3.715
BZAI,2025-02-26,3.83,3.875,3.57,3.63
BZAI,2025-02-27,3.65,3.7399,3.4501,3.56
BZAI,2025-02-28,3.51,3.51,2.96,3.07
BZAI,2025-03-03,3.09,3.48,2.8,2.94
BZAI,2025-03-04,2.9001,3.58,2.77,3.34
BZAI,2025-03-05,3.5,3.5,3.1537,3.23
BZAI,2025-03-06,3.11,3.11,3.06,3.11
BZAI,2025-03-07,3.06,3.4899,3.06,3.33
BZAI,2025-03-10,3.415,3.5,3.01,3.12
BZAI,2025-03-11,3.06,3.47,3.06,3.38
BZAI,2025-03-12,3.46,3.7578,3.29,3.31
BZAI,2025-03-13,3.27,3.64,3.2096,3.49
BZAI,2025-03-14,3.57,3.96,3.35,3.52
BZAI,2025-03-17,3.5,3.68,3.31,3.36
BZAI,2025-03-18,3.33,3.45,3.18,3.24
BZAI,2025-03-19,3.43,3.45,3.2,3.34
BZAI,2025-03-20,3.29,3.5196,3.205,3.27
