ticker,date,open,high,low,close
CABR,2025-11-13,3.01,3.2,1.36,1.4
CABR,2025-11-14,1.13,1.13,0.7505,0.98
CABR,2025-11-17,0.9828,1.0056,0.8155,0.8302
CABR,2025-11-18,0.87,0.87,0.7102,0.7788
CABR,2025-11-19,0.75,1.3458,0.72026,1.09
CABR,2025-11-20,1.06,1.08,0.8301,0.8644
CABR,2025-11-21,0.8195,0.97,0.73,0.9598
CABR,2025-11-24,0.9007,1.08,0.870101,1.01
CABR,2025-11-25,1.02,1.15,0.9999,1.08
CABR,2025-11-26,1.08,1.09,0.99,1.04
CABR,2025-11-28,1.05,1.05,0.9611,1.03
CABR,2025-12-01,1.03,1.09,1.005,1.01
CABR,2025-12-02,1.01,1.1,1.0,1.06
CABR,2025-12-03,1.09,1.17,1.04,1.11
CABR,2025-12-04,1.16,1.47,1.12,1.35
CABR,2025-12-05,1.42,1.44,1.09,1.3
CABR,2025-12-08,1.44,1.65,1.39,1.52
CABR,2025-12-09,1.52,1.55,1.26,1.38
CABR,2025-12-10,1.34,1.3999,1.2255,1.26
CABR,2025-12-11,1.25,1.26,1.1,1.13
CABR,2025-12-12,1.14,1.279,1.14,1.15
CABR,2025-12-15,1.19,1.22,1.01,1.05
CABR,2025-12-16,1.011,1.066,0.8656,0.9319
CABR,2025-12-17,0.93,0.9799,0.8002,0.8002
CABR,2025-12-18,0.81,0.99,0.7782,0.8901
CABR,2025-12-19,0.89,1.0699,0.8898,0.98
CABR,2025-12-22,1.0295,1.04,0.9144,0.9144
CABR,2025-12-23,0.92,0.9625,0.8626,0.8626
CABR,2025-12-24,0.85,0.92848,0.78,0.8602
CABR,2025-12-26,0.86,0.88,0.78,0.8
CABR,2025-12-29,0.78,1.03,0.78,0.8625
CABR,2025-12-30,0.8205,0.9341,0.8205,0.85
CABR,2025-12-31,0.894,0.9084,0.81,0.8578
CABR,2026-01-02,0.91,1.0499,0.8686,1.0
CABR,2026-01-05,1.07,1.3,1.0495,1.2175
CABR,2026-01-06,1.325,1.4499,1.15,1.17
CABR,2026-01-07,1.23,1.31,1.11,1.16
CABR,2026-01-08,1.18,1.23,1.1397,1.14
CABR,2026-01-09,1.22,1.22,1.07,1.11
CABR,2026-01-12,1.08,1.1096,0.9039,1.01
CABR,2026-01-13,0.99,0.99,0.8505,0.9301
CABR,2026-01-14,0.9341,0.9341,0.864684,0.895
CABR,2026-01-15,0.8973,0.98,0.895,0.9
CABR,2026-01-16,0.9633,0.9633,0.896,0.896
CABR,2026-01-20,0.855,0.979999,0.855,0.88
CABR,2026-01-21,0.98,1.22,0.9134,1.04
CABR,2026-01-22,1.03,1.1,0.96,1.01
CABR,2026-01-23,1.12,1.28,0.85,0.9684
CABR,2026-01-26,0.9297,0.96,0.8513,0.896
CABR,2026-01-27,0.87,0.9344,0.8101,0.83
CABR,2026-01-28,0.8051,0.89,0.8,0.8003
CABR,2026-01-29,0.8013,0.8531,0.75,0.7801
CABR,2026-01-30,0.7815,0.859317,0.78,0.8356
CABR,2026-02-02,0.82,1.015,0.82,0.9096
