ticker,date,open,high,low,close
CAPS,2025-03-06,3.5,4.0,3.41,3.9
CAPS,2025-03-07,3.8,3.8,3.25,3.5
CAPS,2025-03-10,3.9,3.9,3.05,3.3
CAPS,2025-03-11,2.92,3.4832,2.92,3.01
CAPS,2025-03-12,3.15,3.25,2.42,3.0
CAPS,2025-03-13,3.07,3.151,2.5,2.52
CAPS,2025-03-14,3.1,3.18,2.2,2.5
CAPS,2025-03-17,2.8,3.63,2.55,2.98
CAPS,2025-03-18,2.83,2.865,2.08,2.22
CAPS,2025-03-19,2.09,2.4294,1.8,2.19
CAPS,2025-03-20,2.1,2.2486,2.1,2.13
CAPS,2025-03-21,2.0017,2.2,1.8637,2.08
CAPS,2025-03-24,1.97,4.18,1.9495,2.77
CAPS,2025-03-25,2.6,2.98,2.51,2.92
CAPS,2025-03-26,3.2,3.2663,2.6501,2.8
CAPS,2025-03-27,2.7,2.8,2.46,2.5
CAPS,2025-03-28,2.42,2.42,2.36,2.4
CAPS,2025-03-31,2.3,2.63,2.05,2.28
CAPS,2025-04-01,2.32,2.7799,2.25,2.34
CAPS,2025-04-02,2.45,2.49,2.0015,2.36
CAPS,2025-04-03,2.1,2.24,2.0,2.08
CAPS,2025-04-04,1.95,2.01,1.92,1.92
CAPS,2025-04-07,1.82,1.82,1.77,1.82
CAPS,2025-04-08,2.1,2.77,2.1,2.5
CAPS,2025-04-09,2.48,2.52,2.41,2.52
CAPS,2025-04-10,2.575,2.6499,2.39,2.4184
CAPS,2025-04-11,2.41,2.6,2.37,2.48
CAPS,2025-04-14,2.42,3.0,2.42,2.9
CAPS,2025-04-15,2.853,2.9976,2.7172,2.75
CAPS,2025-04-16,2.75,2.97,2.12,2.19
CAPS,2025-04-17,2.19,2.25,1.9257,2.02
CAPS,2025-04-21,2.03,2.25,2.0,2.03
CAPS,2025-04-22,2.08,2.08,1.95,2.03
CAPS,2025-04-23,2.02,2.02,1.98,2.02
CAPS,2025-04-24,2.03,2.15,1.99,2.05
CAPS,2025-04-25,2.19,2.21,2.0,2.01
CAPS,2025-04-28,2.04,2.04,2.02,2.03
CAPS,2025-04-29,2.0,2.06,1.9855,2.0
CAPS,2025-04-30,1.76,1.76,1.729,1.76
CAPS,2025-05-01,1.82,1.95,1.82,1.9
CAPS,2025-05-02,1.9,1.9,1.76,1.88
CAPS,2025-05-05,1.83,1.9,1.745,1.78
CAPS,2025-05-06,1.7484,1.8292,1.71,1.8292
CAPS,2025-05-07,1.79,1.79,1.7,1.7
CAPS,2025-05-08,1.7201,1.81,1.68,1.76
CAPS,2025-05-09,1.58,1.77,1.58,1.75
CAPS,2025-05-12,1.7136,2.21,1.59,1.92
CAPS,2025-05-13,1.87,1.94,1.7356,1.77
CAPS,2025-05-14,1.76,2.05,1.75,1.75
CAPS,2025-05-15,1.84,1.92,1.65,1.66
CAPS,2025-05-16,2.77,3.29,2.16,2.45
CAPS,2025-05-19,2.1202,2.2699,1.89,2.09
CAPS,2025-05-20,2.0,2.1,1.9401,1.97
CAPS,2025-05-21,2.0,2.14,1.9,1.95
CAPS,2025-05-22,2.05,2.065,1.9,1.91
CAPS,2025-05-23,1.93,2.0,1.9,1.94
CAPS,2025-05-27,1.91,1.98,1.9,1.92
CAPS,2025-05-28,1.95,1.9599,1.82,1.84
CAPS,2025-05-29,1.9,2.0299,1.7401,1.8
CAPS,2025-05-30,1.9,1.9,1.7506,1.82
CAPS,2025-06-02,1.87,2.04,1.81,1.92
CAPS,2025-06-03,1.91,1.9985,1.8518,1.93
CAPS,2025-06-04,1.88,1.94,1.85,1.9
CAPS,2025-06-05,1.94,1.95,1.804,1.915
CAPS,2025-06-06,1.84,1.93,1.8109,1.86
CAPS,2025-06-09,1.94,1.94,1.82,1.88
CAPS,2025-06-10,1.95,1.95,1.89,1.89
CAPS,2025-06-11,1.86,1.97,1.81,1.92
CAPS,2025-06-12,1.97,1.97,1.826,1.86
CAPS,2025-06-13,1.87,1.94,1.79,1.79
CAPS,2025-06-16,1.89,1.92,1.77,1.89
CAPS,2025-06-17,1.92,1.97,1.86,1.88
CAPS,2025-06-18,1.905,1.905,1.85,1.88
CAPS,2025-06-20,1.95,1.95,1.76,1.76
CAPS,2025-06-23,1.77,1.933,1.73,1.77
CAPS,2025-06-24,1.75,1.83,1.6702,1.7
CAPS,2025-06-25,1.67,1.74,1.67,1.74
CAPS,2025-06-26,1.73,1.8,1.7,1.7
CAPS,2025-06-27,1.7,1.72,1.67,1.67
CAPS,2025-06-30,1.85,1.94,1.75,1.77
CAPS,2025-07-01,1.54,1.65,1.4,1.42
CAPS,2025-07-02,1.41,1.52,1.41,1.47
CAPS,2025-07-03,1.5,1.5991,1.5,1.51
CAPS,2025-07-07,1.52,1.55,1.3,1.42
CAPS,2025-07-08,1.4,1.4,1.31,1.36
CAPS,2025-07-09,1.4,1.51,1.36,1.48
CAPS,2025-07-10,1.5,1.52,1.43,1.43
CAPS,2025-07-11,1.53,1.67,1.53,1.61
CAPS,2025-07-14,1.53,1.61,1.53,1.59
CAPS,2025-07-15,1.61,1.64,1.51,1.51
CAPS,2025-07-16,1.55,1.6737,1.49,1.49
CAPS,2025-07-17,1.55,1.62,1.51,1.62
CAPS,2025-07-18,1.63,1.66,1.5524,1.62
CAPS,2025-07-21,1.6,1.63,1.56,1.62
CAPS,2025-07-22,1.5705,1.6152,1.5705,1.6
CAPS,2025-07-23,1.6,1.7389,1.59,1.68
CAPS,2025-07-24,1.67,1.68,1.6,1.6
CAPS,2025-07-25,1.63,1.6396,1.58,1.595
CAPS,2025-07-28,1.62,1.6285,1.52,1.56
CAPS,2025-07-29,1.59,1.7808,1.56,1.78
CAPS,2025-07-30,1.74,2.0,1.6,1.67
CAPS,2025-07-31,1.61,1.9395,1.6,1.675
CAPS,2025-08-01,1.62,1.69,1.29,1.44
CAPS,2025-08-04,1.44,1.59,1.32,1.485
CAPS,2025-08-05,1.41,1.5,1.3,1.4
CAPS,2025-08-06,1.44,1.54,1.36,1.36
CAPS,2025-08-07,1.49,1.49,1.29,1.31
CAPS,2025-08-08,1.3,1.385,1.29,1.32
CAPS,2025-08-11,1.3,1.34,1.2212,1.2781
CAPS,2025-08-12,1.24,1.3,1.2,1.25
CAPS,2025-08-13,1.25,1.2897,1.24,1.25
CAPS,2025-08-14,1.27,1.3,1.22,1.29
CAPS,2025-08-15,1.28,1.46,1.22,1.24
CAPS,2025-08-18,1.24,1.24,1.11,1.14
CAPS,2025-08-19,1.07,1.16,1.03,1.09
CAPS,2025-08-20,1.15,1.15,0.98,1.02
CAPS,2025-08-21,1.03,1.03,0.9609,1.01
CAPS,2025-08-22,1.0,1.14,1.0,1.1
CAPS,2025-08-25,1.87,2.07,1.58,1.71
CAPS,2025-08-26,1.35,1.54,1.27,1.42
CAPS,2025-08-27,1.3,1.38,1.23,1.23
CAPS,2025-08-28,1.22,1.28,1.2,1.22
CAPS,2025-08-29,1.28,1.3,1.21,1.22
CAPS,2025-09-02,1.16,1.25,1.15,1.18
