ticker,date,open,high,low,close
CBC,2025-11-20,22.06,23.42,21.99,22.97
CBC,2025-11-21,22.8,24.47,22.55,23.57
CBC,2025-11-24,23.68,24.68,23.2,24.43
CBC,2025-11-25,24.21,25.0,23.36,24.16
CBC,2025-11-26,24.22,24.5,23.0,23.45
CBC,2025-11-28,23.53,23.99,23.01,23.56
CBC,2025-12-01,23.6,24.0,23.07,23.34
CBC,2025-12-02,23.92,23.92,22.8,23.015
CBC,2025-12-03,23.01,24.125,23.01,23.71
CBC,2025-12-04,23.81,23.9,23.12,23.75
CBC,2025-12-05,23.75,23.9,22.86,23.25
CBC,2025-12-08,23.5,23.9,22.75,23.455
CBC,2025-12-09,23.6,23.75,22.9001,23.43
CBC,2025-12-10,23.41,23.695,22.8,23.16
CBC,2025-12-11,23.09,23.375,22.5,23.12
CBC,2025-12-12,23.31,23.39,22.81,23.03
CBC,2025-12-15,23.34,23.5,22.564,22.78
CBC,2025-12-16,22.81,23.385,22.76,23.06
CBC,2025-12-17,23.07,23.43,22.875,23.28
CBC,2025-12-18,23.32,23.49,22.75,23.14
CBC,2025-12-19,23.4,23.9,23.01,23.4
CBC,2025-12-22,23.35,24.25,23.25,23.78
CBC,2025-12-23,23.8,24.875,23.45,24.28
CBC,2025-12-24,24.37,24.72,23.8,24.0
CBC,2025-12-26,24.11,24.26,23.3,23.72
CBC,2025-12-29,23.91,24.045,23.005,23.28
CBC,2025-12-30,23.24,24.43,23.01,23.97
CBC,2025-12-31,23.71,24.4,23.44,24.12
CBC,2026-01-02,23.98,24.22,23.565,23.85
CBC,2026-01-05,23.85,24.49,23.3501,23.93
CBC,2026-01-06,23.76,24.5,23.76,24.24
CBC,2026-01-07,24.35,24.497,23.785,23.98
CBC,2026-01-08,23.96,24.415,23.9,24.04
CBC,2026-01-09,24.05,24.27,23.81,24.05
CBC,2026-01-12,23.98,24.2,23.67,23.67
CBC,2026-01-13,24.0,24.2,23.67,24.02
CBC,2026-01-14,23.825,24.39,23.825,24.18
CBC,2026-01-15,24.4,24.4,23.945,24.13
CBC,2026-01-16,23.98,24.21,23.815,23.89
CBC,2026-01-20,23.7,24.09,23.7,23.94
CBC,2026-01-21,24.13,24.83,23.745,24.66
CBC,2026-01-22,24.54,25.205,24.54,25.03
CBC,2026-01-23,24.86,25.425,24.2,24.335
CBC,2026-01-26,24.38,24.7561,24.05,24.58
CBC,2026-01-27,24.95,25.33,24.18,24.5
CBC,2026-01-28,24.9,25.13,24.001,24.06
CBC,2026-01-29,24.18,24.39,23.87,23.95
CBC,2026-01-30,23.96,24.17,23.65,24.05
CBC,2026-02-02,24.16,25.309,24.02,24.86
