ticker,date,open,high,low,close
CBK,2025-10-02,25.25,25.25,23.36,24.0
CBK,2025-10-03,23.8,24.5,23.8,24.29
CBK,2025-10-06,24.37,24.75,24.2,24.75
CBK,2025-10-07,24.8,24.8,24.46,24.7
CBK,2025-10-08,24.75,24.9,24.65,24.65
CBK,2025-10-09,24.15,25.89,24.15,24.55
CBK,2025-10-10,24.74,24.785,24.0,24.35
CBK,2025-10-13,24.65,24.8,24.21,24.75
CBK,2025-10-14,24.6,24.74,24.54,24.68
CBK,2025-10-15,24.75,24.75,24.2899,24.5
CBK,2025-10-16,24.7,24.77,23.8,24.27
CBK,2025-10-17,23.81,24.41,23.7,24.19
CBK,2025-10-20,24.4,24.54,23.86,24.54
CBK,2025-10-21,24.265,25.25,24.265,25.16
CBK,2025-10-22,24.86,24.86,24.58,24.86
CBK,2025-10-23,25.02,25.2,24.68,24.99
CBK,2025-10-24,24.98,25.46,24.725,25.345
CBK,2025-10-27,24.93,25.55,24.93,25.2
CBK,2025-10-28,25.1,25.32,24.73,24.79
CBK,2025-10-29,24.93,24.93,24.33,24.52
CBK,2025-10-30,24.275,24.5,24.105,24.17
CBK,2025-10-31,24.14,24.5,24.14,24.45
CBK,2025-11-03,24.4062,24.5,24.305,24.5
CBK,2025-11-04,24.49,24.51,24.44,24.5
CBK,2025-11-05,24.44,24.63,24.05,24.38
CBK,2025-11-06,24.16,24.38,23.83,24.01
CBK,2025-11-07,23.81,24.2,23.81,24.2
CBK,2025-11-10,24.14,24.36,23.97,24.29
CBK,2025-11-11,24.37,24.44,24.285,24.43
CBK,2025-11-12,24.15,24.439,24.15,24.4
CBK,2025-11-13,24.23,24.4,23.9,24.24
CBK,2025-11-14,24.2,24.26,24.01,24.11
CBK,2025-11-17,24.025,24.28,23.6,23.75
CBK,2025-11-18,23.5,24.0,23.48,23.95
CBK,2025-11-19,24.11,24.185,23.9,24.01
CBK,2025-11-20,24.245,24.34,23.85,23.87
CBK,2025-11-21,24.164,24.43,23.8,24.42
CBK,2025-11-24,24.3,24.51,24.06,24.375
CBK,2025-11-25,24.48,24.63,24.1501,24.34
CBK,2025-11-26,24.64,25.7,24.43,24.7
CBK,2025-11-28,24.5,25.29,24.38,24.73
CBK,2025-12-01,24.72,24.75,24.48,24.705
CBK,2025-12-02,24.85,24.85,24.15,24.15
CBK,2025-12-03,24.31,24.33,24.02,24.125
CBK,2025-12-04,24.25,24.405,24.03,24.05
CBK,2025-12-05,24.18,24.68,23.65,24.6
CBK,2025-12-08,24.69,25.32,24.45,24.75
CBK,2025-12-09,24.87,24.94,24.56,24.57
CBK,2025-12-10,24.11,24.94,24.11,24.76
CBK,2025-12-11,24.6,25.17,24.5,24.75
CBK,2025-12-12,24.8,25.535,24.8,24.91
CBK,2025-12-15,24.98,25.22,24.765,25.22
CBK,2025-12-16,25.16,25.55,25.16,25.25
CBK,2025-12-17,25.29,25.55,25.29,25.45
CBK,2025-12-18,25.51,25.52,25.065,25.15
CBK,2025-12-19,25.41,25.445,24.885,25.26
CBK,2025-12-22,25.29,25.425,24.81,24.9
CBK,2025-12-23,24.76,25.055,24.71,24.88
CBK,2025-12-24,24.725,24.725,24.4,24.495
CBK,2025-12-26,24.46,24.46,24.3,24.35
CBK,2025-12-29,24.25,24.47,23.235,24.41
CBK,2025-12-30,24.25,24.35,24.11,24.15
CBK,2025-12-31,24.23,24.57,24.13,24.56
CBK,2026-01-02,24.3,24.48,24.12,24.12
CBK,2026-01-05,24.3,24.45,24.09,24.35
CBK,2026-01-06,24.19,24.53,24.09,24.45
CBK,2026-01-07,24.61,24.75,24.06,24.25
CBK,2026-01-08,24.305,24.5,24.305,24.42
CBK,2026-01-09,24.35,24.42,24.12,24.2
CBK,2026-01-12,24.08,24.25,24.05,24.16
CBK,2026-01-13,24.1,24.25,24.03,24.25
CBK,2026-01-14,24.24,25.27,24.24,25.25
CBK,2026-01-15,25.2,25.75,25.02,25.53
CBK,2026-01-16,25.48,25.597,25.195,25.56
CBK,2026-01-20,25.3,25.59,25.125,25.39
CBK,2026-01-21,25.54,25.74,24.6,25.6
CBK,2026-01-22,25.53,26.05,25.32,25.505
CBK,2026-01-23,25.56,26.3124,24.51,24.59
CBK,2026-01-26,24.52,25.43,24.32,25.37
CBK,2026-01-27,25.145,25.83,25.145,25.33
CBK,2026-01-28,24.955,25.48,24.905,25.41
CBK,2026-01-29,25.64,26.5,25.06,26.41
CBK,2026-01-30,26.23,26.43,25.62,26.29
CBK,2026-02-02,26.38,27.725,25.12,26.94
