ticker,date,open,high,low,close
CCC,2025-11-03,8.63,8.693,8.3,8.37
CCC,2025-11-04,8.28,8.315,8.035,8.13
CCC,2025-11-05,8.09,8.16,7.82,7.84
CCC,2025-11-06,7.74,7.74,7.495,7.62
CCC,2025-11-07,7.56,7.72,7.56,7.62
CCC,2025-11-10,7.61,7.72,7.4,7.48
CCC,2025-11-11,7.52,7.72,7.4,7.44
CCC,2025-11-12,7.42,7.585,7.42,7.46
CCC,2025-11-13,7.4,7.475,7.23,7.35
CCC,2025-11-14,7.28,7.38,7.22,7.37
CCC,2025-11-17,7.44,7.44,7.0,7.015
CCC,2025-11-18,6.97,7.23,6.96,7.18
CCC,2025-11-19,7.14,7.275,7.105,7.21
CCC,2025-11-20,7.28,7.33,7.095,7.119
CCC,2025-11-21,7.07,7.285,7.06,7.22
CCC,2025-11-24,7.13,7.13,6.97,7.13
CCC,2025-11-25,7.11,7.27,7.08,7.25
CCC,2025-11-26,7.24,7.38,7.15,7.33
CCC,2025-11-28,7.33,7.49,7.33,7.45
CCC,2025-12-01,7.35,7.475,7.245,7.31
CCC,2025-12-02,7.3,7.39,7.26,7.3
CCC,2025-12-03,7.3,7.58,7.19,7.56
CCC,2025-12-04,7.59,7.6,7.44,7.51
CCC,2025-12-05,7.5,7.65,7.34,7.42
CCC,2025-12-08,7.42,7.46,7.24,7.29
CCC,2025-12-09,7.26,7.38,7.14,7.2
CCC,2025-12-10,7.21,7.265,7.15,7.22
CCC,2025-12-11,7.2,7.29,7.165,7.22
CCC,2025-12-12,7.535,7.95,7.3,7.68
CCC,2025-12-15,7.62,7.71,7.46,7.56
CCC,2025-12-16,7.59,7.85,7.52,7.84
CCC,2025-12-17,7.78,8.0,7.7222,7.835
CCC,2025-12-18,7.84,8.03,7.84,7.98
CCC,2025-12-19,7.9,7.99,7.8154,7.9
CCC,2025-12-22,7.92,8.145,7.9,8.06
CCC,2025-12-23,8.01,8.07,7.9,8.01
CCC,2025-12-24,7.99,8.03,7.92,8.01
CCC,2025-12-26,8.02,8.1,7.955,8.09
CCC,2025-12-29,8.04,8.14,8.02,8.12
CCC,2025-12-30,8.12,8.145,8.01,8.01
CCC,2025-12-31,8.05,8.05,7.93,7.95
CCC,2026-01-02,7.97,8.0127,7.74,7.87
CCC,2026-01-05,7.89,8.17,7.81,8.1
CCC,2026-01-06,8.17,8.36,8.155,8.3
CCC,2026-01-07,8.3,8.515,8.3,8.44
CCC,2026-01-08,8.35,8.64,8.325,8.55
CCC,2026-01-09,8.55,8.676,8.425,8.45
CCC,2026-01-12,8.46,8.59,8.315,8.5
CCC,2026-01-13,8.48,8.536,8.19,8.19
CCC,2026-01-14,8.18,8.29,8.11,8.145
CCC,2026-01-15,8.12,8.24,7.9625,8.07
CCC,2026-01-16,8.02,8.09,7.91,8.0
CCC,2026-01-20,7.82,8.045,7.82,7.84
CCC,2026-01-21,7.89,7.93,7.73,7.84
CCC,2026-01-22,7.91,8.0,7.88,7.92
CCC,2026-01-23,7.94,8.02,7.86,7.875
CCC,2026-01-26,7.89,7.97,7.84,7.89
CCC,2026-01-27,7.84,7.9,7.72,7.795
CCC,2026-01-28,7.83,8.03,7.79,7.91
CCC,2026-01-29,7.72,7.85,7.485,7.535
CCC,2026-01-30,7.51,7.63,7.45,7.58
CCC,2026-02-02,7.56,7.635,7.43,7.49
