ticker,date,open,high,low,close
CCXI,2020-12-17,10.2,10.3,10.2,10.3
CCXI,2020-12-18,10.34,10.44,10.27,10.4
CCXI,2020-12-21,10.4,10.55,10.35,10.45
CCXI,2020-12-22,10.42,10.55,10.4,10.55
CCXI,2020-12-23,10.55,10.55,10.45,10.47
CCXI,2020-12-24,10.55,10.55,10.46,10.5
CCXI,2020-12-28,10.5,10.7,10.5,10.6
CCXI,2020-12-29,10.69,10.7,10.41,10.54
CCXI,2020-12-30,10.38,10.65,10.11,10.65
CCXI,2020-12-31,10.7,10.7,10.5,10.5
CCXI,2021-01-04,10.6,10.6998,10.5,10.5
CCXI,2021-01-05,10.51,10.5998,10.5,10.5
CCXI,2021-01-06,10.5,10.67,10.5,10.564
CCXI,2021-01-07,10.5102,10.62,10.51,10.55
CCXI,2021-01-08,10.61,10.7,10.52,10.58
CCXI,2021-01-11,10.6,11.66,10.44,10.9
CCXI,2021-01-12,11.02,11.25,11.02,11.13
CCXI,2021-01-13,11.2,11.25,10.8,11.22
CCXI,2021-01-14,11.3,11.775,11.09,11.09
CCXI,2021-01-15,11.5,11.77,11.0,11.25
CCXI,2021-01-19,11.47,11.47,11.19,11.19
CCXI,2021-01-20,11.39,11.39,11.19,11.22
CCXI,2021-01-21,11.41,11.5,11.25,11.27
CCXI,2021-01-22,11.4,11.47,11.22,11.3
CCXI,2021-01-25,11.61,11.61,11.22,11.22
CCXI,2021-01-26,11.38,11.49,11.17,11.2
CCXI,2021-01-27,11.0,11.14,10.65,10.7
CCXI,2021-01-28,10.76,11.0,10.76,10.94
CCXI,2021-01-29,10.9406,10.96,10.72,10.84
CCXI,2021-02-01,11.0,11.01,10.845,10.99
CCXI,2021-02-02,11.04,11.17,11.04,11.11
CCXI,2021-02-03,11.24,11.52,11.11,11.52
CCXI,2021-02-04,11.55,11.55,11.04,11.19
CCXI,2021-02-05,12.11,13.37,11.81,12.58
CCXI,2021-02-08,13.1,13.75,12.71,12.77
CCXI,2021-02-09,12.92,13.0,12.47,12.55
CCXI,2021-02-10,12.55,12.55,12.26,12.41
CCXI,2021-02-11,12.5,12.83,12.16,12.31
CCXI,2021-02-12,12.72,12.72,12.22,12.22
CCXI,2021-02-16,12.5,13.25,12.3,12.95
CCXI,2021-02-17,13.0,13.41,12.85,13.0
CCXI,2021-02-18,13.0,13.0,12.5,12.85
CCXI,2021-02-19,12.68,12.84,12.56,12.67
CCXI,2021-02-22,12.58,12.75,12.39,12.55
CCXI,2021-02-23,12.0,12.39,11.3,12.29
CCXI,2021-02-24,12.22,12.28,11.93,11.93
CCXI,2021-02-25,11.57,12.09,11.47,11.47
CCXI,2021-02-26,11.54,11.55,11.02,11.07
CCXI,2021-03-01,11.25,11.4,11.19,11.34
CCXI,2021-03-02,11.2,11.4,10.94,11.07
CCXI,2021-03-03,11.07,11.11,10.71,10.82
CCXI,2021-03-04,10.7,10.82,10.49,10.62
CCXI,2021-03-05,10.5,10.74,10.18,10.66
CCXI,2021-03-08,10.75,11.0,10.74,10.81
CCXI,2021-03-09,10.72,10.93,10.54,10.63
CCXI,2021-03-10,10.65,10.74,10.63,10.71
CCXI,2021-03-11,10.64,10.93,10.64,10.93
CCXI,2021-03-12,10.8,10.99,10.77,10.99
CCXI,2021-03-15,11.0,11.0,10.93,10.95
CCXI,2021-03-16,10.955,10.9793,10.86,10.86
CCXI,2021-03-17,10.85,10.85,10.73,10.83
CCXI,2021-03-18,10.95,10.95,10.69,10.7
CCXI,2021-03-19,10.73,10.76,10.65,10.73
CCXI,2021-03-22,10.69,10.725,10.65,10.66
CCXI,2021-03-23,10.65,10.6775,10.34,10.43
CCXI,2021-03-24,10.4,10.4317,10.3,10.34
CCXI,2021-03-25,10.19,10.43,10.19,10.22
CCXI,2021-03-26,10.26,10.29,10.06,10.07
CCXI,2021-03-29,10.07,10.17,10.07,10.1
CCXI,2021-03-30,10.1,10.17,10.0662,10.15
CCXI,2021-03-31,10.19,10.23,10.13,10.2
CCXI,2021-04-01,10.15,10.3,10.15,10.2
CCXI,2021-04-05,10.5,10.5,10.22,10.26
CCXI,2021-04-06,10.2,10.5,10.2,10.4
CCXI,2021-04-07,10.38,10.56,10.38,10.56
CCXI,2021-04-08,10.56,10.6,10.55,10.56
CCXI,2021-04-09,10.5,10.533,10.46,10.53
CCXI,2021-04-12,10.55,10.55,10.4,10.42
CCXI,2021-04-13,10.44,10.47,10.39,10.46
CCXI,2021-04-14,10.38,10.45,10.38,10.43
CCXI,2021-04-15,10.38,10.55,10.36,10.3602
CCXI,2021-04-16,10.35,10.35,10.2805,10.33
CCXI,2021-04-19,10.25,10.36,10.25,10.36
CCXI,2021-04-20,10.3001,10.31,10.29,10.3
CCXI,2021-04-21,10.25,10.59,10.25,10.48
CCXI,2021-04-22,10.43,10.63,10.34,10.4
CCXI,2021-04-23,10.34,10.62,10.34,10.35
CCXI,2021-04-26,10.25,10.5,10.25,10.5
CCXI,2021-04-27,10.4001,10.5,10.38,10.38
CCXI,2021-04-28,10.32,10.49,10.32,10.35
CCXI,2021-04-29,10.3,10.4,10.3,10.38
CCXI,2021-04-30,10.52,10.52,10.52,10.52
CCXI,2021-05-03,10.33,10.379,10.31,10.31
CCXI,2021-05-04,10.29,10.35,10.25,10.33
CCXI,2021-05-05,10.39,10.39,10.32,10.33
CCXI,2021-05-06,10.31,10.36,10.3,10.34
CCXI,2021-05-07,10.25,10.34,10.25,10.33
CCXI,2021-05-10,10.25,10.35,10.25,10.26
CCXI,2021-05-11,10.25,10.25,10.15,10.2101
CCXI,2021-05-12,10.18,10.28,10.17,10.23
CCXI,2021-05-13,10.2,10.28,10.2,10.2
CCXI,2021-05-14,10.339,10.339,10.19,10.25
CCXI,2021-05-17,10.19,10.28,10.18,10.26
CCXI,2021-05-18,10.225,10.225,10.2,10.2
CCXI,2021-05-19,10.15,10.19,10.15,10.16
CCXI,2021-05-20,10.16,10.255,10.15,10.255
CCXI,2021-05-21,10.12,10.26,10.12,10.26
CCXI,2021-05-24,10.26,10.26,10.16,10.16
CCXI,2021-05-25,10.1501,10.2344,10.15,10.2
CCXI,2021-05-26,10.1,10.22,10.1,10.21
CCXI,2021-05-27,10.19,10.195,10.11,10.11
CCXI,2021-05-28,10.11,10.19,10.11,10.12
CCXI,2021-06-01,10.15,10.23,10.11,10.12
CCXI,2021-06-02,10.175,10.175,10.1212,10.15
