ticker,date,open,high,low,close
CGCT,2025-06-24,10.0,10.01,10.0,10.01
CGCT,2025-06-25,10.01,10.03,10.005,10.01
CGCT,2025-06-26,10.02,10.02,10.0,10.0
CGCT,2025-06-27,10.0,10.0,10.0,10.0
CGCT,2025-06-30,10.02,10.02,10.02,10.02
CGCT,2025-07-01,10.0028,10.01,10.0,10.0
CGCT,2025-07-02,10.0,10.0065,10.0,10.0
CGCT,2025-07-03,10.0,10.0,10.0,10.0
CGCT,2025-07-07,10.01,10.02,10.005,10.02
CGCT,2025-07-08,10.01,10.02,10.01,10.015
CGCT,2025-07-09,10.02,10.02,10.02,10.02
CGCT,2025-07-10,10.02,10.02,10.02,10.02
CGCT,2025-07-11,10.03,10.03,10.03,10.03
CGCT,2025-07-14,10.03,10.03,10.03,10.03
CGCT,2025-07-15,10.01,10.02,10.01,10.02
CGCT,2025-07-16,10.011,10.011,10.0104,10.0104
CGCT,2025-07-21,10.02,10.02,10.02,10.02
CGCT,2025-07-23,10.03,10.06,10.03,10.045
CGCT,2025-07-24,10.0498,10.05,10.045,10.045
CGCT,2025-07-30,10.04,10.055,10.04,10.055
CGCT,2025-08-04,10.06,10.06,10.04,10.04
CGCT,2025-08-05,10.03,10.03,10.03,10.03
CGCT,2025-08-06,10.04,10.05,10.04,10.04
CGCT,2025-08-07,10.07,10.08,10.0528,10.0528
CGCT,2025-08-08,10.05,10.05,10.05,10.05
CGCT,2025-08-11,10.03,10.03,10.03,10.03
CGCT,2025-08-12,10.03,10.0333,10.01,10.01
CGCT,2025-08-13,10.025,10.025,10.025,10.025
CGCT,2025-08-14,10.03,10.035,10.03,10.03
CGCT,2025-08-15,10.027,10.027,10.027,10.027
CGCT,2025-08-19,10.03,10.03,10.02,10.02
CGCT,2025-08-20,10.02,10.02,10.02,10.02
CGCT,2025-08-21,10.04,10.04,10.03,10.03
CGCT,2025-08-25,10.01,10.05,10.01,10.05
CGCT,2025-08-26,10.02,10.02,10.02,10.02
CGCT,2025-08-28,10.02,10.025,10.0194,10.0194
CGCT,2025-08-29,10.01,10.01,10.01,10.01
CGCT,2025-09-03,10.02,10.02,10.02,10.02
CGCT,2025-09-04,10.02,10.025,10.02,10.0246
CGCT,2025-09-05,10.02,10.03,10.02,10.03
CGCT,2025-09-08,10.03,10.035,10.03,10.03
CGCT,2025-09-09,10.03,10.04,10.03,10.04
CGCT,2025-09-10,10.035,10.035,10.035,10.035
CGCT,2025-09-11,10.04,10.04,10.04,10.04
CGCT,2025-09-12,10.0368,10.04,10.0176,10.04
CGCT,2025-09-16,10.03,10.03,10.03,10.03
CGCT,2025-09-22,10.04,10.04,10.0399,10.0399
CGCT,2025-09-24,10.0399,10.04,10.0399,10.04
CGCT,2025-09-25,10.04,10.04,10.035,10.035
CGCT,2025-09-26,10.04,10.04,10.04,10.04
CGCT,2025-09-29,10.04,10.04,10.04,10.04
CGCT,2025-09-30,10.045,10.045,10.045,10.045
CGCT,2025-10-03,10.04,10.04,10.04,10.04
CGCT,2025-10-06,10.045,10.045,10.045,10.045
CGCT,2025-10-07,10.05,10.08,10.05,10.075
CGCT,2025-10-08,10.05,10.07,10.05,10.07
CGCT,2025-10-09,10.07,10.08,10.07,10.07
CGCT,2025-10-10,10.08,10.08,10.08,10.08
CGCT,2025-10-13,10.1,10.12,10.0964,10.0964
CGCT,2025-10-15,10.1,10.1,10.09,10.09
CGCT,2025-10-17,10.0947,10.0962,10.0802,10.0802
CGCT,2025-10-21,10.08,10.1,10.08,10.1
CGCT,2025-10-24,10.08,10.08,10.08,10.08
CGCT,2025-10-27,10.09,10.1,10.08,10.1
CGCT,2025-10-28,10.1,10.1,10.09,10.09
CGCT,2025-10-29,10.1,10.13,10.1,10.13
CGCT,2025-10-30,10.1,10.13,10.1,10.13
CGCT,2025-10-31,10.13,10.13,10.1201,10.13
CGCT,2025-11-03,10.13,10.15,10.13,10.14
CGCT,2025-11-04,10.135,10.14,10.13,10.14
CGCT,2025-11-05,10.13,10.13,10.13,10.13
CGCT,2025-11-06,10.13,10.13,10.13,10.13
CGCT,2025-11-07,10.13,10.13,10.13,10.13
CGCT,2025-11-10,10.13,10.13,10.13,10.13
CGCT,2025-11-11,10.14,10.14,10.13,10.13
CGCT,2025-11-14,10.149,10.15,10.149,10.15
CGCT,2025-11-17,10.14,10.1499,10.13,10.13
CGCT,2025-11-21,10.15,10.15,10.15,10.15
CGCT,2025-12-01,10.16,10.17,10.11,10.14
CGCT,2025-12-02,10.125,10.125,10.125,10.125
CGCT,2025-12-03,10.1,10.12,10.1,10.12
CGCT,2025-12-04,10.15,10.15,10.12,10.12
CGCT,2025-12-08,10.1001,10.12,10.1001,10.12
CGCT,2025-12-09,10.12,10.125,10.11,10.11
CGCT,2025-12-10,10.1013,10.1013,10.1013,10.1013
CGCT,2025-12-11,10.11,10.11,10.11,10.11
CGCT,2025-12-17,10.11,10.11,10.11,10.11
CGCT,2025-12-18,10.325,10.42,10.2601,10.29
CGCT,2025-12-19,10.28,10.3,10.28,10.3
CGCT,2025-12-22,10.33,10.33,10.16,10.3
CGCT,2025-12-23,10.3,10.3,10.255,10.3
CGCT,2025-12-24,10.35,10.35,10.3,10.33
CGCT,2025-12-26,10.32,10.32,10.28,10.31
CGCT,2025-12-29,10.32,10.32,10.28,10.29
CGCT,2025-12-30,10.32,10.32,10.26,10.27
CGCT,2025-12-31,10.28,10.3,10.27,10.295
CGCT,2026-01-02,10.33,10.33,10.2984,10.32
CGCT,2026-01-05,10.33,10.33,10.29,10.3
CGCT,2026-01-06,10.33,10.33,10.275,10.31
CGCT,2026-01-07,10.31,10.32,10.28,10.295
CGCT,2026-01-08,10.3,10.3145,10.28,10.28
CGCT,2026-01-09,10.32,10.3244,10.29,10.29
CGCT,2026-01-12,10.33,10.33,10.29,10.29
CGCT,2026-01-13,10.3234,10.3234,10.28,10.3067
CGCT,2026-01-14,10.28,10.315,10.28,10.29
CGCT,2026-01-15,10.33,10.39,10.25,10.33
CGCT,2026-01-16,10.35,10.35,10.2895,10.31
CGCT,2026-01-20,10.33,10.34,10.285,10.3
CGCT,2026-01-21,10.32,10.3695,10.29,10.2965
CGCT,2026-01-22,10.29,10.33,10.28,10.2856
CGCT,2026-01-23,10.28,10.285,10.24,10.24
CGCT,2026-01-26,10.24,10.26,10.23,10.23
CGCT,2026-01-27,10.25,10.29,10.24,10.27
CGCT,2026-01-28,10.27,10.32,10.27,10.29
CGCT,2026-01-29,10.3,10.31,10.3,10.3001
CGCT,2026-01-30,10.3,10.3014,10.27,10.3014
CGCT,2026-02-02,10.31,10.31,10.29,10.29
