ticker,date,open,high,low,close
CGTL,2024-11-26,4.29,4.88,3.58,3.91
CGTL,2024-11-27,4.2,4.4,3.71,4.0
CGTL,2024-11-29,3.73,4.15,3.66,3.72
CGTL,2024-12-02,3.68,3.89,3.3675,3.69
CGTL,2024-12-03,3.69,4.61,3.5501,4.4811
CGTL,2024-12-04,4.8,5.5,4.26,4.763
CGTL,2024-12-05,4.49,4.49,4.02,4.1989
CGTL,2024-12-06,4.26,4.4923,4.05,4.25
CGTL,2024-12-09,4.39,4.8,4.25,4.6
CGTL,2025-01-27,5.3,5.49,4.99,5.2
CGTL,2025-01-28,5.4,5.99,5.05,5.34
CGTL,2025-01-29,5.2,5.59,5.13,5.15
CGTL,2025-01-30,5.2,5.65,5.2,5.65
CGTL,2025-01-31,5.4,5.63,5.24,5.24
CGTL,2025-02-03,5.25,5.74,5.15,5.35
CGTL,2025-02-04,5.15,5.45,5.15,5.2
CGTL,2025-02-05,5.15,5.4,5.15,5.2
CGTL,2025-02-06,5.21,5.47,5.201,5.41
CGTL,2025-02-07,5.2,5.41,5.2,5.2
CGTL,2025-02-11,5.16,5.64,5.16,5.64
CGTL,2025-02-12,5.5067,5.93,5.4,5.93
CGTL,2025-02-13,5.63,5.65,5.3,5.3
CGTL,2025-02-14,5.21,5.28,5.16,5.21
CGTL,2025-02-18,5.2335,5.31,5.23,5.23
CGTL,2025-02-19,5.31,5.31,5.05,5.27
CGTL,2025-02-20,5.27,5.55,5.1409,5.168
CGTL,2025-02-21,5.2,5.3,5.15,5.15
CGTL,2025-02-24,5.16,5.26,4.38,4.523
CGTL,2025-02-25,4.41,4.7,4.08,4.22
CGTL,2025-02-26,4.07,4.27,3.8,3.8
CGTL,2025-02-27,3.7,3.7,3.7,3.7
CGTL,2025-02-28,3.85,3.8565,3.65,3.8565
CGTL,2025-03-03,3.86,3.86,3.11,3.49
CGTL,2025-03-04,3.46,3.55,3.1,3.27
CGTL,2025-03-05,3.03,3.14,3.03,3.1101
