ticker,date,open,high,low,close
CHAC,2025-05-20,9.9,9.92,9.895,9.91
CHAC,2025-05-21,9.91,9.91,9.9,9.9
CHAC,2025-05-22,9.905,9.915,9.9,9.915
CHAC,2025-05-23,9.905,9.905,9.9,9.905
CHAC,2025-05-27,9.91,9.91,9.9035,9.9035
CHAC,2025-05-28,9.9,9.915,9.9,9.91
CHAC,2025-05-29,9.92,9.92,9.9,9.91
CHAC,2025-05-30,9.915,9.92,9.9,9.91
CHAC,2025-06-02,9.92,9.97,9.92,9.94
CHAC,2025-06-03,9.94,9.94,9.935,9.935
CHAC,2025-06-04,9.94,9.975,9.9392,9.975
CHAC,2025-06-05,9.96,9.98,9.95,9.96
CHAC,2025-06-06,9.96,9.98,9.96,9.98
CHAC,2025-06-09,9.9623,9.98,9.9623,9.975
CHAC,2025-06-10,9.9795,9.98,9.97,9.97
CHAC,2025-06-11,9.978,10.0,9.978,10.0
CHAC,2025-06-12,10.0014,10.01,10.0014,10.01
CHAC,2025-06-13,10.01,10.01,10.01,10.01
CHAC,2025-06-16,10.01,10.02,10.01,10.02
CHAC,2025-06-17,10.02,10.02,10.02,10.02
CHAC,2025-06-20,10.04,10.08,10.035,10.05
CHAC,2025-06-23,10.1,10.145,10.07,10.075
CHAC,2025-06-24,10.08,10.14,10.075,10.095
CHAC,2025-06-25,10.095,10.095,10.06,10.065
CHAC,2025-06-26,10.09,10.09,10.06,10.06
CHAC,2025-06-27,10.06,10.06,10.06,10.06
CHAC,2025-06-30,10.07,10.07,10.06,10.07
CHAC,2025-07-01,10.06,10.065,10.06,10.06
CHAC,2025-07-02,10.06,10.06,10.05,10.05
CHAC,2025-07-03,10.035,10.0493,10.035,10.0464
CHAC,2025-07-07,10.02,10.04,10.01,10.03
CHAC,2025-07-08,10.01,10.03,10.0,10.01
CHAC,2025-07-09,10.0252,10.05,10.0252,10.05
CHAC,2025-07-10,10.024,10.03,10.0,10.03
CHAC,2025-07-11,10.02,10.02,10.0,10.02
CHAC,2025-07-14,10.04,10.04,9.99,9.99
CHAC,2025-07-15,10.03,10.03,9.98,9.98
CHAC,2025-07-16,10.0,10.02,9.99,10.0
CHAC,2025-07-17,9.98,10.02,9.96,10.01
CHAC,2025-07-18,10.01,10.04,10.01,10.04
CHAC,2025-07-22,10.02,10.02,10.02,10.02
CHAC,2025-07-23,10.04,10.04,10.0389,10.04
CHAC,2025-07-25,10.04,10.05,10.04,10.05
CHAC,2025-07-28,10.05,10.05,10.045,10.045
CHAC,2025-07-29,10.05,10.05,10.0475,10.0475
CHAC,2025-07-30,10.042,10.05,10.04,10.0475
CHAC,2025-07-31,10.04,10.07,10.04,10.07
CHAC,2025-08-01,10.04,10.07,10.03,10.055
CHAC,2025-08-04,10.0499,10.07,10.0401,10.07
CHAC,2025-08-05,10.05,10.07,10.05,10.07
CHAC,2025-08-06,10.05,10.07,10.05,10.07
CHAC,2025-08-07,10.07,10.11,10.0303,10.08
CHAC,2025-08-08,10.1,10.1,10.0509,10.065
CHAC,2025-08-11,10.1,10.1,10.04,10.05
CHAC,2025-08-12,10.05,10.08,10.04,10.045
CHAC,2025-08-13,10.07,10.08,10.045,10.045
CHAC,2025-08-14,10.1,10.1,10.03,10.032
CHAC,2025-08-15,10.08,10.08,10.03,10.03
CHAC,2025-08-18,10.03,10.03,10.03,10.03
CHAC,2025-08-19,10.03,10.06,10.03,10.04
CHAC,2025-08-20,10.04,10.045,10.04,10.045
CHAC,2025-08-21,10.04,10.05,10.035,10.04
CHAC,2025-08-22,10.04,10.04,10.04,10.04
CHAC,2025-08-25,10.03,10.08,10.02,10.08
CHAC,2025-08-26,10.03,10.08,10.03,10.03
CHAC,2025-08-27,10.08,10.08,10.04,10.04
CHAC,2025-08-28,10.08,10.08,10.03,10.03
CHAC,2025-08-29,10.08,10.08,10.03,10.035
CHAC,2025-09-02,10.05,10.05,10.03,10.035
CHAC,2025-09-03,10.05,10.05,10.03,10.03
CHAC,2025-09-04,10.03,10.05,10.015,10.015
CHAC,2025-09-05,10.03,10.03,10.025,10.03
CHAC,2025-09-09,10.02,10.02,10.01,10.02
CHAC,2025-09-10,10.0111,10.0169,10.0111,10.0169
CHAC,2025-09-11,10.025,10.025,10.01,10.01
CHAC,2025-09-12,10.03,10.03,10.01,10.02
CHAC,2025-09-15,10.1,10.1,10.02,10.02
CHAC,2025-09-16,10.02,10.05,10.02,10.05
CHAC,2025-09-18,10.03,10.04,10.03,10.03
CHAC,2025-09-19,10.09,10.09,10.02,10.045
CHAC,2025-09-23,10.03,10.08,10.02,10.03
CHAC,2025-09-24,10.08,10.08,10.03,10.04
CHAC,2025-09-25,10.06,10.185,10.05,10.15
CHAC,2025-09-26,10.15,10.265,10.1,10.21
CHAC,2025-09-29,10.15,10.19,10.11,10.13
CHAC,2025-09-30,10.11,10.14,10.1,10.14
CHAC,2025-10-01,10.12,10.135,10.11,10.11
CHAC,2025-10-03,10.24,10.24,10.14,10.14
CHAC,2025-10-06,10.13,10.245,10.126,10.2
CHAC,2025-10-07,10.2,10.25,10.19,10.24
CHAC,2025-10-08,10.25,10.26,10.23,10.24
CHAC,2025-10-09,10.26,10.26,10.23,10.24
CHAC,2025-10-10,10.2435,10.26,10.23,10.235
CHAC,2025-10-13,10.24,10.47,10.24,10.28
CHAC,2025-10-14,10.51,10.8,10.33,10.35
CHAC,2025-10-15,10.4,10.475,10.3675,10.47
CHAC,2025-10-16,10.4999,10.55,10.4331,10.5
CHAC,2025-10-17,10.5,10.59,10.4501,10.57
CHAC,2025-10-20,10.5899,10.675,10.525,10.675
CHAC,2025-10-21,10.67,10.95,10.51,10.95
CHAC,2025-10-22,10.93,10.93,10.775,10.93
CHAC,2025-10-23,10.91,10.94,10.8701,10.9
CHAC,2025-10-24,10.95,11.0,10.95,11.0
CHAC,2025-10-27,10.9258,11.06,10.915,11.05
CHAC,2025-10-28,11.01,11.0864,11.0,11.05
CHAC,2025-10-29,11.05,11.41,11.05,11.12
CHAC,2025-10-30,11.1397,11.24,11.114,11.165
CHAC,2025-10-31,11.18,11.23,11.12,11.1556
CHAC,2025-11-03,13.1,13.27,12.18,12.45
CHAC,2025-11-04,13.0,13.15,12.5,12.85
CHAC,2025-11-05,13.09,13.1,12.38,12.95
CHAC,2025-11-06,12.95,13.07,12.38,12.48
CHAC,2025-11-07,12.51,12.51,12.02,12.48
CHAC,2025-11-10,12.8,12.801,12.34,12.43
CHAC,2025-11-11,12.49,12.76,12.4601,12.57
CHAC,2025-11-12,12.77,12.97,12.43,12.6509
CHAC,2025-11-13,12.6,12.73,11.76,12.015
CHAC,2025-11-14,11.82,12.19,11.7,11.8426
CHAC,2025-11-17,11.75,11.93,11.55,11.61
CHAC,2025-11-18,11.65,11.7942,11.47,11.73
CHAC,2025-11-19,11.83,11.96,11.315,11.43
CHAC,2025-11-20,11.5,11.7,10.9,10.946
CHAC,2025-11-21,10.82,11.25,10.82,11.23
CHAC,2025-11-24,11.35,11.58,11.245,11.38
CHAC,2025-11-25,11.33,11.5,11.11,11.32
CHAC,2025-11-26,11.36,11.39,11.2,11.31
CHAC,2025-11-28,11.26,11.54,11.16,11.45
CHAC,2025-12-01,11.36,11.44,11.07,11.17
CHAC,2025-12-02,11.26,11.37,11.1,11.255
CHAC,2025-12-03,11.2,11.4,11.03,11.25
CHAC,2025-12-04,11.26,11.88,11.21,11.5
CHAC,2025-12-05,11.59,11.5976,11.17,11.2
CHAC,2025-12-08,11.28,11.3,10.94,11.11
CHAC,2025-12-09,11.06,11.06,10.945,10.97
CHAC,2025-12-10,11.02,11.02,10.75,10.88
CHAC,2025-12-11,10.9,11.05,10.77,10.96
CHAC,2025-12-12,10.99,11.04,10.82,10.92
CHAC,2025-12-15,10.96,11.13,10.96,11.05
CHAC,2025-12-16,11.01,11.1,10.83,10.87
CHAC,2025-12-17,10.92,10.9636,10.72,10.78
CHAC,2025-12-18,10.8465,10.85,10.74,10.75
CHAC,2025-12-19,10.73,10.928,10.73,10.81
CHAC,2025-12-22,10.92,11.165,10.85,10.95
CHAC,2025-12-23,11.05,11.0856,10.89,11.02
CHAC,2025-12-24,10.9201,11.078,10.9201,10.99
CHAC,2025-12-26,11.04,11.055,10.87,10.87
CHAC,2025-12-29,10.89,10.9799,10.83,10.88
CHAC,2025-12-30,10.94,10.94,10.78,10.83
CHAC,2025-12-31,10.86,10.88,10.77,10.77
CHAC,2026-01-02,10.89,10.97,10.82,10.89
CHAC,2026-01-05,10.89,11.06,10.885,11.02
CHAC,2026-01-06,11.03,11.11,11.0,11.0
CHAC,2026-01-07,10.96,11.005,10.848,10.88
CHAC,2026-01-08,10.86,11.1274,10.86,11.02
CHAC,2026-01-09,11.17,11.32,11.08,11.13
CHAC,2026-01-12,11.12,11.3,11.05,11.21
CHAC,2026-01-13,11.25,11.45,11.2449,11.31
CHAC,2026-01-14,11.31,11.34,11.04,11.215
CHAC,2026-01-15,11.24,11.33,11.2,11.23
CHAC,2026-01-16,11.25,11.34,11.21,11.29
CHAC,2026-01-20,11.305,11.305,11.0785,11.125
CHAC,2026-01-21,11.21,11.25,11.0,11.0
CHAC,2026-01-22,11.13,11.18,11.01,11.11
CHAC,2026-01-23,11.07,11.18,10.98,11.0
CHAC,2026-01-26,11.01,11.08,10.94,10.95
