ticker,date,open,high,low,close
CHYM,2025-06-12,43.0,44.94,36.19,37.11
CHYM,2025-06-13,36.625,36.87,33.0,34.79
CHYM,2025-06-16,35.11,38.3,35.11,36.81
CHYM,2025-06-17,36.1,36.79,33.88,34.45
CHYM,2025-06-18,34.25,34.4,31.21,31.65
CHYM,2025-06-20,31.85,32.14,29.3,29.51
CHYM,2025-06-23,28.965,30.6099,28.21,29.76
CHYM,2025-06-24,29.93,30.06,28.5452,29.0
CHYM,2025-06-25,29.77,33.3967,29.11,31.59
CHYM,2025-06-26,31.69,33.25,30.01,33.19
CHYM,2025-06-27,33.19,33.44,31.51,33.09
CHYM,2025-06-30,33.4,36.09,32.57,34.51
CHYM,2025-07-01,33.64,34.01,31.62,32.39
CHYM,2025-07-02,31.5,32.138,29.74,30.0
CHYM,2025-07-03,30.22,31.75,30.0,31.32
CHYM,2025-07-07,31.49,32.92,30.935,31.65
CHYM,2025-07-08,32.11,32.7899,30.73,31.1
CHYM,2025-07-09,31.09,31.79,30.01,31.03
CHYM,2025-07-10,30.94,31.4,30.3,30.81
CHYM,2025-07-11,31.425,31.8,29.6,30.13
CHYM,2025-07-14,29.79,31.0994,29.57,30.15
CHYM,2025-07-15,30.3,30.73,29.86,30.44
CHYM,2025-07-16,30.28,31.75,29.85,31.63
CHYM,2025-07-17,31.48,32.42,31.145,31.51
CHYM,2025-07-18,31.53,32.119,30.56,31.55
CHYM,2025-07-21,31.81,34.3,31.67,33.21
CHYM,2025-07-22,33.14,33.9513,32.23,33.47
CHYM,2025-07-23,33.9,38.67,33.9,35.595
CHYM,2025-07-24,35.52,36.48,34.67,36.2
CHYM,2025-07-25,36.15,36.15,34.34,34.55
CHYM,2025-07-28,34.48,35.27,33.13,33.43
CHYM,2025-07-29,33.5,34.75,32.5,32.6026
CHYM,2025-07-30,32.34,34.18,32.32,33.82
CHYM,2025-07-31,33.77,35.34,32.775,34.41
CHYM,2025-08-01,33.8,33.815,31.67,32.62
CHYM,2025-08-04,33.0,34.54,32.75,33.885
CHYM,2025-08-05,33.77,33.99,32.25,33.8
CHYM,2025-08-06,33.435,33.8,32.15,33.49
CHYM,2025-08-07,33.5,33.95,31.7,33.86
CHYM,2025-08-08,31.89,32.4,28.685,28.89
CHYM,2025-08-11,29.0,31.17,28.96,30.16
CHYM,2025-08-12,30.45,30.62,29.25,29.76
CHYM,2025-08-13,29.56,30.2306,29.4,30.0
CHYM,2025-08-14,29.25,30.02,28.89,29.25
CHYM,2025-08-15,29.2,29.42,28.2,29.38
CHYM,2025-08-18,29.45,30.46,29.21,30.06
CHYM,2025-08-19,30.08,30.39,28.0,28.02
CHYM,2025-08-20,27.64,27.8,26.34,26.57
CHYM,2025-08-21,26.5,26.925,26.1,26.18
CHYM,2025-08-22,26.15,28.0,26.09,27.72
CHYM,2025-08-25,27.72,27.9032,26.8,26.87
CHYM,2025-08-26,26.91,27.57,26.9,27.12
CHYM,2025-08-27,27.12,27.12,26.2,26.22
CHYM,2025-08-28,26.52,27.12,26.41,26.57
CHYM,2025-08-29,26.65,26.65,25.95,26.41
CHYM,2025-09-02,24.72,24.72,24.53,24.72
CHYM,2025-09-03,24.8,24.9999,24.11,24.31
CHYM,2025-09-04,24.31,24.675,23.5,24.64
CHYM,2025-09-05,24.755,25.13,23.63,24.344
CHYM,2025-09-08,24.39,24.63,23.61,24.44
CHYM,2025-09-09,24.67,24.7211,23.87,24.3
CHYM,2025-09-10,24.25,24.25,22.13,23.26
CHYM,2025-09-11,23.15,23.99,22.91,23.94
CHYM,2025-09-12,23.78,24.09,23.42,23.66
CHYM,2025-09-15,23.71,23.72,23.01,23.24
CHYM,2025-09-16,23.04,23.44,22.73,22.99
CHYM,2025-09-17,23.12,24.14,23.03,23.545
CHYM,2025-09-18,23.99,24.15,23.31,23.34
CHYM,2025-09-19,23.75,24.2288,23.45,23.75
CHYM,2025-09-22,23.76,25.94,23.76,25.011
CHYM,2025-09-23,25.4,25.94,23.85,23.86
CHYM,2025-09-24,23.81,23.99,23.03,23.05
CHYM,2025-09-25,22.449,22.75,21.5,21.56
CHYM,2025-09-26,21.545,21.56,20.92,21.24
CHYM,2025-09-29,21.25,21.31,20.555,20.8
CHYM,2025-09-30,20.95,21.41,19.94,20.18
CHYM,2025-10-01,20.05,20.49,19.8521,20.0
CHYM,2025-10-02,20.15,21.03,20.12,20.99
CHYM,2025-10-03,21.2,22.0,20.86,20.87
CHYM,2025-10-06,20.96,21.55,20.52,21.05
CHYM,2025-10-07,21.23,21.2498,20.3402,20.8
CHYM,2025-10-08,20.81,21.4,20.15,21.35
CHYM,2025-10-09,21.35,21.69,20.955,21.275
CHYM,2025-10-10,21.38,21.4886,19.54,19.57
CHYM,2025-10-13,19.9,19.9,19.26,19.41
CHYM,2025-10-14,19.26,20.64,18.77,20.35
CHYM,2025-10-15,20.45,20.46,19.445,19.505
CHYM,2025-10-16,19.52,19.58,17.5,17.54
CHYM,2025-10-17,17.31,17.47,17.0,17.1
CHYM,2025-10-20,17.61,18.3799,17.4987,18.29
CHYM,2025-10-21,18.2,18.96,18.0107,18.41
CHYM,2025-10-22,17.62,17.62,17.25,17.62
CHYM,2025-10-23,17.71,18.47,17.58,18.18
CHYM,2025-10-24,18.83,18.92,18.34,18.85
CHYM,2025-10-27,19.07,19.2,18.7475,18.91
CHYM,2025-10-28,19.0,19.19,18.47,18.52
CHYM,2025-10-29,18.2,18.25,17.58,17.88
CHYM,2025-10-30,17.61,17.78,17.03,17.04
CHYM,2025-10-31,17.11,17.4,16.74,17.17
CHYM,2025-11-03,16.94,17.99,16.17,17.845
CHYM,2025-11-04,17.46,18.015,17.14,17.8
CHYM,2025-11-05,18.41,19.61,17.705,19.12
CHYM,2025-11-06,18.76,18.9999,17.61,18.09
CHYM,2025-11-07,17.87,20.67,17.49,20.34
CHYM,2025-11-10,20.57,21.35,19.99,21.26
CHYM,2025-11-11,21.025,21.18,19.89,20.39
CHYM,2025-11-12,20.51,21.0593,19.95,20.2
CHYM,2025-11-13,19.84,19.85,18.94,19.19
CHYM,2025-11-14,18.49,19.1,18.16,18.9
CHYM,2025-11-17,18.72,18.75,18.07,18.45
CHYM,2025-11-18,18.245,19.28,17.89,18.93
CHYM,2025-11-19,18.91,19.01,18.22,18.41
CHYM,2025-11-20,18.8,19.16,17.85,17.95
CHYM,2025-11-21,17.89,18.7,17.665,18.45
CHYM,2025-11-24,18.47,19.51,18.17,19.48
CHYM,2025-11-25,19.54,19.85,19.35,19.64
CHYM,2025-11-26,19.51,20.52,19.41,20.19
CHYM,2025-11-28,20.2,21.48,20.07,21.13
CHYM,2025-12-01,21.77,22.74,21.58,21.95
CHYM,2025-12-02,21.75,22.77,21.31,21.89
CHYM,2025-12-03,21.73,22.69,21.23,22.53
CHYM,2025-12-04,22.53,23.82,22.465,23.77
CHYM,2025-12-05,23.77,24.555,23.57,24.12
CHYM,2025-12-08,24.04,24.24,23.567952,23.92
CHYM,2025-12-09,23.87,24.465,23.48,24.29
CHYM,2025-12-10,24.12,26.59,23.97,26.5
