ticker,date,open,high,low,close
CRAN,2026-01-12,9.9,9.92,9.88,9.91
CRAN,2026-01-13,10.0254,10.0254,9.89,9.9
CRAN,2026-01-14,9.91,9.92,9.895,9.91
CRAN,2026-01-15,9.9,9.95,9.9,9.94
CRAN,2026-01-16,9.9385,9.94,9.93,9.94
CRAN,2026-01-20,9.94,9.961,9.9335,9.94
CRAN,2026-01-21,9.96,9.97,9.95,9.97
CRAN,2026-01-22,9.97,10.0176,9.97,10.0176
CRAN,2026-01-23,10.0,10.01,10.0,10.01
CRAN,2026-01-26,10.01,10.01,9.99,9.99
CRAN,2026-01-27,10.01,10.01,9.97,9.985
CRAN,2026-01-28,9.98,9.98,9.98,9.98
CRAN,2026-01-29,9.9835,9.9835,9.9835,9.9835
CRAN,2026-01-30,9.99,9.99,9.99,9.99
CRAN,2026-02-02,10.0,10.0,9.97,9.97
