ticker,date,open,high,low,close
CRE,2025-07-28,4.32,4.62,4.02,4.24
CRE,2025-07-29,4.3,4.8992,4.2,4.8747
CRE,2025-07-30,4.6,5.45,4.353,5.3
CRE,2025-07-31,5.3,5.45,5.01,5.3242
CRE,2025-08-01,5.33,5.44,5.05,5.41
CRE,2025-08-04,5.41,5.65,5.35,5.55
CRE,2025-08-05,5.59,5.88,5.4,5.8
CRE,2025-08-06,5.9,6.34,5.85,6.3
CRE,2025-08-07,6.22,7.0,6.01,6.77
CRE,2025-08-08,6.73,6.98,6.6,6.63
CRE,2025-08-11,6.84,7.45,6.84,7.29
CRE,2025-08-12,7.25,7.76,6.53,6.96
CRE,2025-08-13,1.915,2.1,1.4,1.49
CRE,2025-08-14,1.201,1.3,1.1,1.18
CRE,2025-08-15,1.14,1.15,1.08,1.1
CRE,2025-08-18,1.08,1.1,1.01,1.01
CRE,2025-08-19,0.972,1.02,0.82,0.82
CRE,2025-08-20,0.8124,0.845,0.7901,0.7959
CRE,2025-08-21,0.7135,0.82,0.7135,0.7921
CRE,2025-08-22,0.7879,0.805,0.7725,0.78
CRE,2025-08-25,0.7602,0.77,0.71,0.71
CRE,2025-08-26,0.7,0.747099,0.672,0.6724
CRE,2025-08-27,0.6779,0.8252,0.6606,0.806
CRE,2025-08-28,0.7548,0.7699,0.7006,0.7029
CRE,2025-08-29,0.7109,0.727,0.6742,0.7175
CRE,2025-09-02,0.6805,0.7163,0.6353,0.674
CRE,2025-09-03,0.6219,0.6741,0.6137,0.6216
CRE,2025-09-04,0.6,0.6366,0.57,0.577
CRE,2025-09-05,0.55,0.616,0.5435,0.616
CRE,2025-09-08,0.6191,0.6191,0.51,0.5938
CRE,2025-09-09,0.582,0.7212,0.582,0.7071
CRE,2025-09-10,0.72,0.7414,0.6458,0.7
CRE,2025-09-11,0.65,0.69,0.65,0.662
CRE,2025-09-12,0.64,0.6834,0.64,0.6594
CRE,2025-09-15,0.63,0.689,0.63,0.687
CRE,2025-09-16,0.69,0.69,0.66,0.67
CRE,2025-09-17,0.6203,0.662099,0.6111,0.66
CRE,2025-09-18,0.66,0.6894,0.63,0.6546
CRE,2025-09-19,0.65,0.683087,0.65,0.66
CRE,2025-09-22,0.6757,1.02,0.6501,0.7206
CRE,2025-09-23,0.6827,0.7667,0.6705,0.6798
CRE,2025-09-24,0.65,0.9328,0.65,0.8098
CRE,2025-09-25,0.745,0.7473,0.68,0.6822
CRE,2025-09-26,0.73,0.75,0.6964,0.6999
CRE,2025-09-29,0.68,0.7694,0.68,0.75
CRE,2025-09-30,1.11,1.22,0.7646,0.965
CRE,2025-10-01,0.841,0.9351,0.8404,0.87
CRE,2025-10-02,0.87,0.87,0.82,0.8319
CRE,2025-10-03,0.82,0.82,0.75,0.7887
CRE,2025-10-06,0.7622,0.8,0.76,0.8
CRE,2025-10-07,0.761,0.7665,0.716,0.716
CRE,2025-10-08,0.7091,0.7485,0.7091,0.729
CRE,2025-10-09,0.7047,0.7298,0.6442,0.68
CRE,2025-10-10,0.673,0.72,0.6596,0.6621
CRE,2025-10-13,0.62,0.65,0.59,0.65
CRE,2025-10-14,0.604,0.63,0.594,0.63
CRE,2025-10-15,0.6287,0.63,0.5986,0.6106
CRE,2025-10-16,0.608,0.61,0.5504,0.5643
CRE,2025-10-17,0.57,0.5984,0.5643,0.59
CRE,2025-10-20,0.5723,0.5839,0.549,0.56
CRE,2025-10-21,0.5517,0.60999,0.5517,0.5937
CRE,2025-10-22,0.5508,0.5508,0.53,0.5508
CRE,2025-10-23,0.51,0.54,0.51,0.5195
CRE,2025-10-24,0.52,0.52,0.4868,0.4903
CRE,2025-10-27,0.5,0.505,0.489,0.4991
CRE,2025-10-28,0.5,0.5399,0.5,0.5397
CRE,2025-10-29,0.537,0.5609,0.5117,0.5308
CRE,2025-10-30,0.52,0.5309,0.4554,0.4884
CRE,2025-10-31,0.48,0.4905,0.48,0.482
CRE,2025-11-03,0.47,0.48,0.456999,0.4601
CRE,2025-11-04,0.4554,0.4859,0.4511,0.457
CRE,2025-11-05,0.45,0.4798,0.43,0.448
CRE,2025-11-06,0.4402,0.4673,0.4402,0.4489
CRE,2025-11-07,0.44,0.4488,0.4084,0.4353
CRE,2025-11-10,0.4,0.43,0.4,0.4021
CRE,2025-11-11,0.4,0.485,0.39,0.4544
CRE,2025-11-12,0.47,0.485,0.4255,0.484
CRE,2025-11-13,0.4694,0.483799,0.434,0.476
CRE,2025-11-14,0.4428,0.458499,0.3715,0.4017
CRE,2025-11-17,0.4386,0.445,0.41,0.4123
CRE,2025-11-18,0.39,0.4506,0.39,0.4103
CRE,2025-11-19,0.4,0.4486,0.4,0.4001
CRE,2025-11-20,0.3915,0.4359,0.3915,0.4
CRE,2025-11-21,0.409,0.4211,0.3908,0.3969
CRE,2025-11-24,0.413,0.413,0.38,0.4105
CRE,2025-11-25,0.418,0.418,0.3909,0.3964
CRE,2025-11-26,0.417,0.4355,0.392,0.4093
CRE,2025-11-28,0.42,0.42,0.38,0.3838
CRE,2025-12-01,0.38,0.3976,0.3725,0.3888
CRE,2025-12-02,0.371,0.3867,0.3677,0.3708
CRE,2025-12-03,0.3702,0.3848,0.37,0.37
CRE,2025-12-04,0.37,0.395,0.37,0.3757
CRE,2025-12-05,0.37,0.3892,0.37,0.3777
CRE,2025-12-08,0.3712,0.387201,0.3705,0.3861
CRE,2025-12-09,0.39,0.39,0.37,0.3807
CRE,2025-12-10,0.3807,0.3807,0.3706,0.3707
CRE,2025-12-11,0.3798,0.3798,0.3687,0.3798
CRE,2025-12-12,0.3884,0.3893,0.3601,0.361
CRE,2025-12-15,0.377,0.377,0.3402,0.342
CRE,2025-12-16,0.352,0.3699,0.3315,0.353
CRE,2025-12-17,0.352,0.352,0.3234,0.326
CRE,2025-12-18,0.34,0.34,0.31,0.3157
CRE,2025-12-19,0.318,0.338499,0.305,0.3193
CRE,2025-12-22,0.344,0.344,0.32,0.3319
CRE,2025-12-23,0.338,0.338,0.3111,0.3138
CRE,2025-12-24,0.3148,0.3228,0.31,0.31
CRE,2025-12-26,0.32,0.3207,0.31,0.3171
CRE,2025-12-29,0.315,0.315,0.29,0.2907
CRE,2025-12-30,0.3,0.3099,0.27,0.2728
CRE,2025-12-31,0.271,0.2884,0.2306,0.2313
CRE,2026-01-02,0.251,0.42,0.2411,0.2886
CRE,2026-01-05,0.271,0.31,0.2705,0.3093
CRE,2026-01-06,0.3064,0.3149,0.2824,0.31
CRE,2026-01-07,0.3,0.3193,0.296,0.3105
CRE,2026-01-08,0.29,0.3105,0.29,0.299999
CRE,2026-01-09,0.295,0.3129,0.295,0.3031
CRE,2026-01-12,0.2852,0.3095,0.2816,0.283
CRE,2026-01-13,0.2885,0.289,0.27,0.2777
CRE,2026-01-14,0.2702,0.290348,0.2702,0.2815
CRE,2026-01-15,0.2817,0.299,0.2815,0.283
CRE,2026-01-16,0.29,0.3116,0.283,0.303
CRE,2026-01-20,0.3014,0.3025,0.284,0.2976
CRE,2026-01-21,0.2851,0.31,0.285,0.2872
CRE,2026-01-22,0.2999,0.3054,0.285,0.2967
CRE,2026-01-23,0.2911,0.48,0.2911,0.3151
CRE,2026-01-26,0.3199,0.3449,0.3142,0.3332
CRE,2026-01-27,0.3255,0.3698,0.3255,0.335
CRE,2026-01-28,0.3383,0.3506,0.3251,0.3352
CRE,2026-01-29,0.32,0.34,0.3199,0.3266
CRE,2026-01-30,0.32,0.346,0.32,0.3317
CRE,2026-02-02,0.32,0.3285,0.2901,0.2921
