ticker,date,open,high,low,close
CSAI,2025-01-30,50.0,50.0,33.75,33.75
CSAI,2025-01-31,36.0,36.0,22.0,25.41
CSAI,2025-02-03,25.0,28.82,16.63,19.0
CSAI,2025-02-04,17.3319,18.8293,12.23,12.98
CSAI,2025-02-05,13.91,13.91,7.58,8.29
CSAI,2025-02-06,7.8,8.125,6.9,6.97
CSAI,2025-02-07,6.6,6.6,5.1,5.39
CSAI,2025-02-10,5.78,14.9,5.3,12.34
CSAI,2025-02-11,10.09,16.23,9.02,12.9
CSAI,2025-02-12,12.13,19.7612,12.13,17.63
CSAI,2025-02-13,18.14,52.43,17.7,37.68
CSAI,2025-02-14,33.111,33.53,18.3744,19.05
CSAI,2025-02-18,21.8,25.73,10.03,10.5
CSAI,2025-02-19,10.79,12.93,10.1937,11.62
CSAI,2025-02-20,11.4,13.42,10.5,11.85
CSAI,2025-02-21,12.12,12.89,10.25,10.66
CSAI,2025-02-24,10.38,10.9,7.95,8.54
CSAI,2025-02-25,8.4863,9.39,7.5829,8.24
CSAI,2025-02-26,9.0,9.38,7.66,8.44
CSAI,2025-02-27,8.29,8.6876,7.25,7.63
CSAI,2025-02-28,7.53,7.62,6.77,7.2553
CSAI,2025-03-03,7.3,7.59,6.4,6.65
CSAI,2025-03-04,6.5837,8.1287,6.03,8.04
CSAI,2025-03-05,7.97,8.3244,7.0322,7.2
CSAI,2025-03-06,7.01,7.3499,6.1501,6.24
CSAI,2025-03-07,6.13,7.07,6.04,6.7
CSAI,2025-03-10,6.3,6.3,5.15,5.25
CSAI,2025-03-11,5.12,5.6599,4.9083,5.075
CSAI,2025-03-12,5.2,5.5778,4.53,4.9
CSAI,2025-03-13,4.93,5.249,4.45,4.46
CSAI,2025-03-14,4.51,5.2399,4.25,5.23
CSAI,2025-03-17,5.04,6.3799,5.04,6.09
CSAI,2025-03-18,6.0,6.02,5.5005,5.57
CSAI,2025-03-19,5.51,8.6,5.42,7.9
CSAI,2025-03-20,7.48,7.6691,6.3534,6.64
CSAI,2025-03-21,6.4004,6.9078,5.75,6.44
CSAI,2025-03-24,6.58,6.7999,5.74,5.81
CSAI,2025-03-25,5.75,5.96,5.51,5.68
CSAI,2025-03-26,5.9,5.9,5.21,5.32
CSAI,2025-03-27,5.19,5.19,4.81,5.19
CSAI,2025-03-28,5.03,5.095,4.82,4.92
CSAI,2025-03-31,4.8,4.8008,4.32,4.44
CSAI,2025-04-01,6.0,11.4599,5.5,5.7
CSAI,2025-04-02,5.5,6.38,5.02,5.06
CSAI,2025-04-03,4.8001,4.8498,4.42,4.47
CSAI,2025-04-04,4.33,5.1829,4.0,4.95
CSAI,2025-04-07,4.575,5.28,4.36,4.88
CSAI,2025-04-08,5.108,5.15,4.3206,4.48
CSAI,2025-04-09,4.42,5.1484,4.17,4.87
CSAI,2025-04-10,4.85,5.09,4.6,4.76
CSAI,2025-04-11,4.63,4.9847,4.63,4.96
CSAI,2025-04-14,5.1,5.1,4.45,4.72
CSAI,2025-04-15,4.76,4.76,4.5,4.66
CSAI,2025-04-16,4.66,4.66,4.34,4.41
CSAI,2025-04-17,4.45,4.7287,4.37,4.58
CSAI,2025-04-21,4.5,4.5784,4.235,4.32
CSAI,2025-04-22,4.39,4.49,4.2826,4.44
CSAI,2025-04-23,4.5,5.13847,4.48,4.54
CSAI,2025-04-24,4.71,4.9,4.61,4.74
CSAI,2025-04-25,4.7,4.92,4.69,4.81
CSAI,2025-04-28,4.75,4.86,4.59,4.77
CSAI,2025-04-29,4.81,4.97,4.75,4.81
CSAI,2025-04-30,4.7,4.7,4.4,4.44
CSAI,2025-05-01,4.46,4.615,4.385,4.51
CSAI,2025-05-02,4.59,4.7,4.4012,4.6
CSAI,2025-05-05,4.6,4.6,4.27,4.39
CSAI,2025-05-06,4.28,4.33,4.0101,4.27
CSAI,2025-05-07,4.2,4.2,4.0601,4.2
CSAI,2025-05-08,4.26,4.26,3.9,4.14
CSAI,2025-05-09,4.15,4.15,3.995,3.995
CSAI,2025-05-12,3.95,4.09,3.7,3.74
CSAI,2025-05-13,3.74,3.79,3.31,3.34
CSAI,2025-05-14,3.31,3.6851,3.06,3.21
CSAI,2025-05-15,3.2,3.4,3.04,3.3
CSAI,2025-05-16,3.35,3.4876,3.25,3.33
CSAI,2025-05-19,3.23,3.52,3.2,3.28
CSAI,2025-05-20,3.23,3.3,3.14,3.19
CSAI,2025-05-21,3.17,3.3151,3.05,3.13
CSAI,2025-05-22,3.08,3.13,3.0301,3.04
CSAI,2025-05-23,2.989,2.9899,2.68,2.68
CSAI,2025-05-27,2.72,3.12,2.7101,2.95
CSAI,2025-05-28,2.95,3.129,2.71,2.74
CSAI,2025-05-29,2.8,2.9297,2.6,2.68
CSAI,2025-05-30,2.65,2.72,2.51,2.58
CSAI,2025-06-02,2.59,2.62,2.3603,2.41
CSAI,2025-06-03,2.4,2.6897,2.39,2.59
CSAI,2025-06-04,2.58,2.69,2.5,2.54
CSAI,2025-06-05,2.6,2.6246,2.37,2.38
CSAI,2025-06-06,2.39,2.5499,2.39,2.49
CSAI,2025-06-09,2.51,2.6,2.31,2.34
CSAI,2025-06-10,2.35,2.35,2.08,2.16
CSAI,2025-06-11,2.16,2.16,1.95,2.0
CSAI,2025-06-12,1.97,2.14,1.92,2.0
CSAI,2025-06-13,1.96,2.07,1.84,1.89
CSAI,2025-06-16,1.89,2.01,1.84,1.94
CSAI,2025-06-17,1.9,1.94,1.84,1.85
CSAI,2025-06-18,1.86,1.95,1.8127,1.89
CSAI,2025-06-20,1.89,1.895,1.8203,1.845
