ticker,date,open,high,low,close
DAIC,2025-06-23,28.61,75.0,28.61,36.5
DAIC,2025-06-24,37.5,64.0,36.01,40.61
DAIC,2025-06-25,40.0,40.0,30.52,30.975
DAIC,2025-06-26,29.0,29.9205,15.1293,16.43
DAIC,2025-06-27,14.3,15.038,8.57,8.8261
DAIC,2025-06-30,8.94,8.94,4.8,5.13
DAIC,2025-07-01,5.14,5.14,4.19,4.61
DAIC,2025-07-02,8.62,14.3,7.81,8.19
DAIC,2025-07-03,7.61,7.7999,5.96,6.04
DAIC,2025-07-07,6.35,7.41,6.3,6.48
DAIC,2025-07-08,6.27,6.4767,5.6,5.94
DAIC,2025-07-09,5.9,6.23,5.7,6.0
DAIC,2025-07-10,6.0,6.75,5.93,6.1
DAIC,2025-07-11,5.96,5.96,5.96,5.96
DAIC,2025-07-14,5.85,5.8976,5.665,5.68
DAIC,2025-07-15,5.6,5.65,5.155,5.39
DAIC,2025-07-16,5.38,5.77,5.33,5.7
DAIC,2025-07-17,5.74,5.77,5.46,5.77
DAIC,2025-07-18,5.66,5.75,5.4,5.63
DAIC,2025-07-21,5.54,5.7414,5.325,5.58
DAIC,2025-07-22,5.45,5.5,5.2801,5.37
DAIC,2025-07-23,5.35,5.4761,5.31,5.4
DAIC,2025-07-24,5.4,5.4,5.19,5.19
DAIC,2025-07-25,5.21,5.35,5.05,5.21
DAIC,2025-07-28,5.3,5.3,5.03,5.1
DAIC,2025-07-29,5.0,5.2077,4.6,4.6586
DAIC,2025-07-30,4.8,4.81,4.51,4.6
DAIC,2025-07-31,4.6,4.696,4.53,4.62
DAIC,2025-08-01,4.51,4.8,4.51,4.68
DAIC,2025-08-04,4.8,5.3,4.64,5.3
DAIC,2025-08-05,5.36,5.43,5.1,5.19
DAIC,2025-08-06,5.05,5.17,4.9309,5.17
DAIC,2025-08-07,5.1,5.337,5.0,5.18
DAIC,2025-08-08,5.06,5.23,4.95,5.02
DAIC,2025-08-11,5.09,5.19,4.9,4.99
DAIC,2025-08-12,4.98,5.17,4.9402,4.97
DAIC,2025-08-13,4.95,5.149,4.95,5.03
DAIC,2025-08-14,5.0,5.07,5.0,5.07
DAIC,2025-08-15,5.08,5.2053,5.0,5.09
DAIC,2025-08-18,4.86,5.09,4.8,4.89
DAIC,2025-08-19,4.95,4.95,4.6218,4.66
DAIC,2025-08-20,4.6,4.84,4.5036,4.6
DAIC,2025-08-21,4.75,4.795,4.26,4.26
DAIC,2025-08-22,4.26,4.515,4.26,4.35
DAIC,2025-08-25,4.43,4.5289,4.27,4.27
DAIC,2025-08-26,4.23,4.485,4.13,4.13
DAIC,2025-08-27,4.13,4.35,4.105,4.19
DAIC,2025-08-28,4.18,4.4785,4.18,4.28
DAIC,2025-08-29,4.35,4.42,4.2769,4.28
DAIC,2025-09-02,4.28,4.285,4.06,4.07
DAIC,2025-09-03,4.04,4.37,4.04,4.18
DAIC,2025-09-04,4.2001,4.28,4.06,4.07
DAIC,2025-09-05,4.05,4.12,4.01,4.05
DAIC,2025-09-08,4.29,4.29,3.842,3.93
DAIC,2025-09-09,3.9,3.95,3.81,3.85
DAIC,2025-09-10,3.84,3.99,3.66,3.66
DAIC,2025-09-11,3.65,3.79,3.31,3.43
DAIC,2025-09-12,3.39,3.46,3.15,3.17
DAIC,2025-09-15,3.21,3.3,3.01,3.07
DAIC,2025-09-16,3.07,3.3845,3.07,3.27
DAIC,2025-09-17,3.29,3.35,3.19,3.34
DAIC,2025-09-18,3.29,3.7486,3.29,3.3
DAIC,2025-09-19,3.25,3.95,3.17,3.72
DAIC,2025-09-22,3.67,3.67,3.415,3.47
DAIC,2025-09-23,3.32,3.4435,3.3,3.36
DAIC,2025-09-24,3.44,3.44,3.161,3.18
DAIC,2025-09-25,3.1,3.229,3.1,3.13
