ticker,date,open,high,low,close
DCOY,2026-01-08,0.8088,0.8298,0.7548,0.77
DCOY,2026-01-09,0.7746,0.84,0.7611,0.8198
DCOY,2026-01-12,0.831,0.831,0.7622,0.815
DCOY,2026-01-13,1.35,1.41,1.07,1.25
DCOY,2026-01-14,1.05,1.14,0.7802,0.87
DCOY,2026-01-15,0.8598,1.07,0.8401,0.9622
DCOY,2026-01-16,0.9652,0.99,0.880001,0.9099
DCOY,2026-01-20,0.9,0.9072,0.79,0.806
DCOY,2026-01-21,0.791,0.83,0.7124,0.713
DCOY,2026-01-22,0.6933,0.7841,0.68,0.7562
DCOY,2026-01-23,0.7948,0.84,0.77,0.78
DCOY,2026-01-26,0.75,0.8783,0.7225,0.803
DCOY,2026-01-27,0.78,0.8564,0.78,0.8257
DCOY,2026-01-28,0.85,0.8899,0.8209,0.8606
DCOY,2026-01-29,0.86,0.86,0.8101,0.829
DCOY,2026-01-30,0.8075,0.82,0.76,0.7709
DCOY,2026-02-02,0.73,0.7804,0.673999,0.7199
