ticker,date,open,high,low,close
DFDV,2025-05-05,72.09,76.9999,64.09,71.89
DFDV,2025-05-06,65.0,73.66,65.0,72.74
DFDV,2025-05-07,71.38,73.57,63.0,63.99
DFDV,2025-05-08,65.92,66.6,53.52,56.41
DFDV,2025-05-09,61.69,79.73,60.74,74.97
DFDV,2025-05-12,80.4,97.75,80.4,89.06
DFDV,2025-05-13,95.5,97.8999,85.63,91.31
DFDV,2025-05-14,95.0,100.75,91.76,94.25
DFDV,2025-05-15,93.28,96.4999,84.0256,89.99
DFDV,2025-05-16,94.85,156.99,94.6806,156.99
DFDV,2025-05-19,134.0,138.0,105.1,126.8
DFDV,2025-05-20,134.25,187.99,125.0,178.4
DFDV,2025-05-21,33.62,37.59,23.0,35.53
DFDV,2025-05-22,33.925,53.88,33.25,42.5
DFDV,2025-05-23,38.25,40.21,32.0,34.453
DFDV,2025-05-27,36.645,38.209,24.15,26.72
DFDV,2025-05-28,26.01,28.3,20.6642,22.19
DFDV,2025-05-29,22.69,23.0,19.15,19.66
DFDV,2025-05-30,21.5,24.5,17.173,17.51
DFDV,2025-06-02,18.35,21.6,16.2133,19.71
DFDV,2025-06-03,19.92,23.9775,19.0,19.78
DFDV,2025-06-04,19.12,19.5312,15.82,16.74
DFDV,2025-06-05,16.7,16.84,13.86,14.29
DFDV,2025-06-06,14.81,19.6331,13.55,18.96
DFDV,2025-06-09,20.73,25.5,18.13,23.12
DFDV,2025-06-10,25.84,27.9999,24.2501,26.45
DFDV,2025-06-11,27.15,31.14,25.21,26.27
DFDV,2025-06-12,23.405,32.88,21.73,31.56
DFDV,2025-06-13,29.5735,31.5099,25.0,25.73
DFDV,2025-06-16,27.83,33.29,26.5,31.06
DFDV,2025-06-17,30.0,33.7499,29.625,31.09
DFDV,2025-06-18,30.2,32.58,30.2,31.27
DFDV,2025-06-20,31.49,31.49,22.85,24.65
DFDV,2025-06-23,23.8,27.1771,21.5001,24.81
DFDV,2025-06-24,18.5,26.7701,18.06,19.63
DFDV,2025-06-25,20.51,20.9,17.5,18.86
DFDV,2025-06-26,19.26,19.49,17.5,17.94
DFDV,2025-06-27,17.75,18.0,16.05,16.815
DFDV,2025-06-30,18.0,22.8799,17.01,21.44
DFDV,2025-07-01,20.23,22.3,19.1,21.01
DFDV,2025-07-02,20.1,20.7678,18.33,20.35
DFDV,2025-07-03,21.0,24.69,21.0,23.8
DFDV,2025-07-07,23.205,23.5,21.36,23.11
DFDV,2025-07-08,23.55,24.88,20.12,20.22
DFDV,2025-07-09,21.585,22.585,19.75,22.57
DFDV,2025-07-10,22.81,26.5,21.63,24.64
DFDV,2025-07-11,26.725,28.1299,26.725,27.25
DFDV,2025-07-14,28.0,28.68,23.34,24.5
DFDV,2025-07-15,24.54,24.95,22.385,24.68
DFDV,2025-07-16,26.8,30.74,25.98,30.36
DFDV,2025-07-17,31.5,31.96,26.54,26.74
DFDV,2025-07-18,28.45,28.45,23.7,24.41
DFDV,2025-07-21,27.0,27.7899,23.2,23.52
DFDV,2025-07-22,24.8,24.9399,22.5201,23.58
DFDV,2025-07-23,23.0,23.04,20.22,21.48
DFDV,2025-07-24,21.32,21.465,19.8,20.11
DFDV,2025-07-25,19.59,19.7878,18.4,19.18
DFDV,2025-07-28,20.0,20.4899,17.5,17.95
DFDV,2025-07-29,17.25,17.46,15.7014,16.07
DFDV,2025-07-30,16.2,16.3,14.2,14.8
DFDV,2025-07-31,15.12,15.219,14.31,14.42
DFDV,2025-08-01,13.7,14.16,13.13,14.08
DFDV,2025-08-04,14.635,15.4315,14.2,15.34
DFDV,2025-08-05,14.9,14.9,12.92,14.105
DFDV,2025-08-06,14.01,14.36,12.84,13.92
DFDV,2025-08-07,14.22,14.56,13.0,13.46
DFDV,2025-08-08,13.55,15.92,13.51,15.68
