ticker,date,open,high,low,close
DFTX,2026-01-15,15.29,15.49,14.75,15.38
DFTX,2026-01-16,15.49,15.88,14.87,15.05
DFTX,2026-01-20,14.64,17.14,14.62,16.78
DFTX,2026-01-21,16.78,17.61,16.742,17.15
DFTX,2026-01-22,17.34,18.12,16.805,16.97
DFTX,2026-01-23,17.31,17.61,16.6901,17.4
DFTX,2026-01-26,17.385,17.385,16.44,16.51
DFTX,2026-01-27,16.54,17.66,16.54,17.48
DFTX,2026-01-28,17.63,17.75,16.65,16.84
DFTX,2026-01-29,17.145,17.4,16.5,17.235
DFTX,2026-01-30,17.42,17.76,16.55,16.875
DFTX,2026-02-02,16.79,18.7,16.79,18.23
