ticker,date,open,high,low,close
DNMX,2025-11-19,9.96,9.96,9.95,9.95
DNMX,2025-11-20,9.95,9.961,9.9298,9.94
DNMX,2025-11-21,9.95,9.95,9.95,9.95
DNMX,2025-11-24,9.8915,9.95,9.8915,9.94
DNMX,2025-11-25,9.935,9.94,9.93,9.93
DNMX,2025-11-26,9.94,9.94,9.93,9.93
DNMX,2025-11-28,9.94,9.94,9.94,9.94
DNMX,2025-12-01,9.94,9.94,9.9063,9.91
DNMX,2025-12-02,9.91,9.91,9.91,9.91
DNMX,2025-12-03,9.91,9.91,9.91,9.91
DNMX,2025-12-04,9.905,9.905,9.89,9.9
DNMX,2025-12-08,9.9,9.9,9.9,9.9
DNMX,2025-12-09,9.9,9.905,9.9,9.905
DNMX,2025-12-10,9.9,9.905,9.89,9.89
DNMX,2025-12-15,9.89,9.8967,9.89,9.8967
DNMX,2025-12-16,9.89,9.895,9.88,9.89
DNMX,2025-12-17,9.89,9.9,9.89,9.8904
DNMX,2025-12-18,9.89,9.89,9.89,9.89
DNMX,2025-12-19,9.89,9.89,9.89,9.89
DNMX,2025-12-22,9.89,9.89,9.89,9.89
DNMX,2025-12-23,9.885,9.89,9.885,9.8887
DNMX,2025-12-24,9.89,9.89,9.89,9.89
DNMX,2025-12-26,9.89,9.89,9.89,9.89
DNMX,2025-12-29,9.89,9.89,9.89,9.89
DNMX,2025-12-30,9.89,9.89,9.89,9.89
DNMX,2025-12-31,9.89,9.89,9.89,9.89
DNMX,2026-01-05,9.9,9.9,9.8661,9.88
DNMX,2026-01-06,9.88,9.88,9.8747,9.88
DNMX,2026-01-07,9.915,9.915,9.88,9.88
DNMX,2026-01-09,9.88,9.8918,9.88,9.8918
DNMX,2026-01-12,9.9,9.92,9.9,9.91
DNMX,2026-01-13,9.91,9.9202,9.91,9.9202
DNMX,2026-01-14,9.9,9.9,9.9,9.9
DNMX,2026-01-15,9.923,9.9244,9.8926,9.9197
DNMX,2026-01-16,9.9282,9.9282,9.91,9.91
DNMX,2026-01-20,9.9167,9.93,9.91,9.915
DNMX,2026-01-22,9.91,9.92,9.91,9.92
DNMX,2026-01-23,9.92,9.92,9.91,9.91
DNMX,2026-01-26,9.92,9.92,9.92,9.92
DNMX,2026-01-27,9.9218,9.9393,9.92,9.93
DNMX,2026-01-28,9.94,9.94,9.93,9.93
DNMX,2026-01-30,9.93,9.93,9.93,9.93
DNMX,2026-02-02,9.93,9.935,9.93,9.93
