ticker,date,open,high,low,close
DYOR,2025-11-18,9.95,9.96,9.9401,9.96
DYOR,2025-11-19,9.9,9.931,9.9,9.93
DYOR,2025-11-20,9.92,9.92,9.91,9.92
DYOR,2025-11-21,9.9196,9.9196,9.91,9.91
DYOR,2025-11-24,9.915,9.915,9.91,9.91
DYOR,2025-11-25,9.91,9.915,9.9045,9.91
DYOR,2025-11-26,9.905,9.9066,9.9,9.9
DYOR,2025-11-28,9.9,9.9,9.9,9.9
DYOR,2025-12-01,9.9,9.91,9.9,9.9
DYOR,2025-12-02,9.9,9.92,9.9,9.9
DYOR,2025-12-03,9.9,9.9,9.9,9.9
DYOR,2025-12-04,9.9,9.9,9.9,9.9
DYOR,2025-12-05,9.9,9.9,9.9,9.9
DYOR,2025-12-09,9.87,9.91,9.87,9.905
DYOR,2025-12-10,9.9,9.9,9.9,9.9
DYOR,2025-12-11,9.91,9.91,9.88,9.9
DYOR,2025-12-12,9.905,9.91,9.9,9.9
DYOR,2025-12-19,9.91,9.91,9.91,9.91
DYOR,2025-12-23,9.9087,9.9087,9.9087,9.9087
DYOR,2025-12-24,9.92,9.92,9.92,9.92
DYOR,2025-12-30,9.91,9.91,9.91,9.91
DYOR,2025-12-31,9.91,9.91,9.91,9.91
DYOR,2026-01-05,9.9,9.9085,9.9,9.9085
DYOR,2026-01-07,9.9,9.91,9.9,9.91
DYOR,2026-01-08,9.92,9.92,9.92,9.92
DYOR,2026-01-09,9.92,9.92,9.92,9.92
DYOR,2026-01-12,9.9,9.93,9.9,9.93
DYOR,2026-01-13,9.93,9.94,9.93,9.94
DYOR,2026-01-14,9.92,10.47,9.92,9.94
DYOR,2026-01-16,9.947,9.947,9.9392,9.94
DYOR,2026-01-20,9.9367,9.95,9.9367,9.95
DYOR,2026-01-21,9.97,9.97,9.96,9.96
DYOR,2026-01-22,10.0,10.0,9.96,9.96
DYOR,2026-01-26,9.97,9.97,9.9539,9.9539
DYOR,2026-01-28,9.93,9.93,9.93,9.93
DYOR,2026-01-29,9.9574,9.9574,9.9574,9.9574
DYOR,2026-01-30,9.9699,9.9699,9.94,9.94
DYOR,2026-02-02,9.94,9.97,9.94,9.97
