ticker,date,open,high,low,close
EFSI,2025-02-07,34.0,34.265,32.38,33.9
EFSI,2025-02-10,33.16,33.4002,33.0201,33.15
EFSI,2025-02-11,33.1,33.1,32.55,32.95
EFSI,2025-02-12,32.88,32.88,32.475,32.8
EFSI,2025-02-13,32.88,33.0,32.74,32.9
EFSI,2025-02-14,32.9,32.95,32.06,32.77
EFSI,2025-02-18,32.75,32.95,32.62,32.95
EFSI,2025-02-19,32.87,32.87,32.6,32.7
EFSI,2025-02-20,32.7,32.88,32.5,32.74
EFSI,2025-02-21,32.75,32.81,32.7414,32.75
EFSI,2025-02-24,32.749,32.7499,32.65,32.68
EFSI,2025-02-25,32.69,32.7568,32.65,32.7
EFSI,2025-02-26,32.4834,33.18,32.4834,32.77
EFSI,2025-02-27,32.7,32.7,32.59,32.59
EFSI,2025-02-28,32.75,32.75,32.65,32.7
EFSI,2025-03-03,32.69,32.7,32.5,32.62
EFSI,2025-03-04,32.6,32.6,32.3,32.45
EFSI,2025-03-05,32.33,32.8,32.08,32.49
EFSI,2025-03-06,32.39,32.39,32.18,32.39
EFSI,2025-03-07,32.5,32.625,32.3,32.3
EFSI,2025-03-10,32.2,32.99,32.1,32.395
EFSI,2025-03-11,32.35,32.5,29.91,32.04
EFSI,2025-03-12,32.26,32.625,32.26,32.43
EFSI,2025-03-13,32.45,33.0,32.45,32.55
EFSI,2025-03-14,32.68,32.68,32.55,32.645
EFSI,2025-03-17,32.69,33.135,32.6,32.82
EFSI,2025-03-18,32.75,32.75,32.7,32.75
EFSI,2025-03-19,32.7,33.24,32.38,32.75
EFSI,2025-03-20,32.7,32.8,32.49,32.6
EFSI,2025-03-21,32.5,33.16,32.375,32.555
EFSI,2025-03-24,32.61,32.88,32.51,32.85
EFSI,2025-03-25,32.95,33.46,32.85,33.29
EFSI,2025-03-26,33.2,33.5299,32.84,33.0
EFSI,2025-03-27,32.94,32.94,32.75,32.94
EFSI,2025-03-28,33.16,33.16,32.5565,32.81
EFSI,2025-03-31,32.79,32.79,31.87,32.79
EFSI,2025-04-01,32.89,32.92,32.61,32.7
EFSI,2025-04-02,32.53,32.9,32.52,32.9
EFSI,2025-04-03,32.84,32.84,31.55,31.75
EFSI,2025-04-04,31.7495,33.0,31.115,31.5
EFSI,2025-04-07,31.5,31.865,31.03,31.24
EFSI,2025-04-08,31.93,31.93,29.37,29.69
EFSI,2025-04-09,29.63,32.375,29.63,32.065
EFSI,2025-04-10,30.3,30.3,30.23,30.3
EFSI,2025-04-11,30.58,30.6907,30.2,30.57
EFSI,2025-04-14,30.99,31.0,30.55,30.765
EFSI,2025-04-15,31.0,31.25,30.92,31.1
EFSI,2025-04-16,31.075,31.1,30.185,31.0
EFSI,2025-04-17,31.2,31.25,31.2,31.2
EFSI,2025-04-21,31.2,31.665,30.805,31.15
EFSI,2025-04-22,31.64,31.985,31.18,31.69
EFSI,2025-04-23,32.025,32.6,32.025,32.25
EFSI,2025-04-24,32.4,32.74,32.4,32.46
EFSI,2025-04-25,32.4,32.4,32.08,32.4
EFSI,2025-04-28,30.3,30.3,28.98,30.3
EFSI,2025-04-29,30.33,30.75,29.17,29.8
EFSI,2025-04-30,30.03,30.1,30.03,30.03
EFSI,2025-05-01,29.75,30.685,29.75,30.15
EFSI,2025-05-02,30.58,30.58,30.175,30.58
EFSI,2025-05-05,30.0,30.45,29.61,29.73
EFSI,2025-05-06,29.52,30.21,29.52,29.61
EFSI,2025-05-07,30.045,30.32,29.785,30.23
EFSI,2025-05-08,30.27,31.67,30.27,30.76
EFSI,2025-05-09,31.39,31.39,31.18,31.18
EFSI,2025-05-12,31.96,32.47,31.5,31.5
EFSI,2025-05-13,32.615,32.615,31.5,31.5
EFSI,2025-05-14,31.98,32.41,31.5,31.77
EFSI,2025-05-15,32.18,32.25,32.06,32.06
EFSI,2025-05-16,32.125,32.75,31.95,31.95
EFSI,2025-05-19,32.24,32.25,31.905,32.05
EFSI,2025-05-20,32.05,32.35,32.01,32.02
EFSI,2025-05-21,32.0,32.15,31.6,31.6
EFSI,2025-05-22,31.65,31.8,31.08,31.08
EFSI,2025-05-23,31.0,31.75,31.0,31.0
EFSI,2025-05-27,31.41,32.495,31.41,32.18
EFSI,2025-05-28,32.24,32.25,31.9,31.92
EFSI,2025-05-29,32.22,32.25,31.74,31.74
EFSI,2025-05-30,32.01,32.01,31.45,31.49
