ticker,date,open,high,low,close
ELE,2025-11-25,12.9999,13.02,12.8,12.9
ELE,2025-11-26,12.97,14.505,12.83,14.24
ELE,2025-11-28,14.94,15.2,14.3,14.3
ELE,2025-12-01,14.5,15.43,14.22,15.245
ELE,2025-12-02,15.45,15.85,14.9,15.55
ELE,2025-12-03,15.88,15.92,14.87,15.02
ELE,2025-12-04,14.47,14.91,14.4573,14.76
ELE,2025-12-05,15.0,15.0452,14.5,14.5
ELE,2025-12-08,14.5,14.7688,14.01,14.14
ELE,2025-12-09,14.11,14.6999,14.11,14.63
ELE,2025-12-10,14.63,15.135,14.4,15.03
ELE,2025-12-11,15.11,15.48,14.9036,15.15
ELE,2025-12-12,15.75,15.75,14.95,15.08
ELE,2025-12-15,15.3,15.8999,15.3,15.49
ELE,2025-12-16,15.64,15.82,15.3,15.455
ELE,2025-12-17,15.52,15.6,15.0,15.0
ELE,2025-12-18,14.99,15.352,14.89,14.995
ELE,2025-12-19,14.99,16.36,14.99,16.28
ELE,2025-12-22,16.6,16.795,16.07,16.23
ELE,2025-12-23,16.46,16.625,16.211,16.42
ELE,2025-12-24,16.71,16.9999,16.42,16.75
ELE,2025-12-26,17.1,17.77,17.0,17.7
ELE,2025-12-29,17.3,17.3,16.0,16.45
ELE,2025-12-30,16.77,17.18,16.19,16.68
ELE,2025-12-31,16.95,17.095,16.6,16.97
ELE,2026-01-02,17.0,17.23,15.71,15.79
ELE,2026-01-05,16.2,17.18,16.07,16.57
ELE,2026-01-06,16.87,17.16,16.68,17.04
ELE,2026-01-07,17.05,18.1,16.65,17.78
ELE,2026-01-08,17.99,17.99,17.0646,17.88
ELE,2026-01-09,18.12,18.425,17.54,18.2
ELE,2026-01-12,18.46,19.4013,18.25,19.32
ELE,2026-01-13,19.41,20.24,18.9,20.08
ELE,2026-01-14,20.17,20.98,19.65,19.82
ELE,2026-01-15,19.83,20.195,19.29,20.15
ELE,2026-01-16,20.165,20.78,19.3,19.95
ELE,2026-01-20,20.12,22.01,19.95,20.3
ELE,2026-01-21,20.54,20.81,19.75,19.91
ELE,2026-01-22,20.0,20.105,19.43,19.74
ELE,2026-01-23,19.77,21.03,19.69,20.98
ELE,2026-01-26,21.5,22.0,19.6201,19.73
ELE,2026-01-27,20.53,20.76,19.4,20.69
ELE,2026-01-28,20.85,20.85,20.0,20.85
ELE,2026-01-29,21.62,26.96,19.28,23.58
ELE,2026-01-30,23.94,23.98,21.99,22.32
ELE,2026-02-02,21.85,22.15,19.9,20.23
