ticker,date,open,high,low,close
ELWT,2025-11-07,8.2,8.2,6.45,7.12
ELWT,2025-11-10,7.4,8.0,7.11,7.2
ELWT,2025-11-11,7.08,7.325,6.9,7.15
ELWT,2025-11-12,7.03,7.32,6.95,7.06
ELWT,2025-11-13,6.9,7.69,6.76,6.91
ELWT,2025-11-14,6.75,7.07,6.385,6.99
ELWT,2025-11-17,6.8,7.0699,6.8,6.97
ELWT,2025-11-18,6.96,7.63,6.83,7.44
ELWT,2025-11-19,7.19,7.701,7.0,7.49
ELWT,2025-11-20,7.25,8.15,6.94,7.75
ELWT,2025-11-21,7.77,7.865,7.63,7.63
ELWT,2025-11-24,7.63,7.63,6.8,7.1
ELWT,2025-11-25,7.15,7.15,6.91,7.025
ELWT,2025-11-26,7.0,7.0,6.55,6.85
ELWT,2025-11-28,6.84,6.84,6.62,6.65
ELWT,2025-12-01,6.39,6.89,6.24,6.63
ELWT,2025-12-02,6.71,6.925,6.5,6.5
ELWT,2025-12-03,6.65,7.325,6.29,6.6
ELWT,2025-12-04,6.63,6.98,6.385,6.79
ELWT,2025-12-05,6.79,6.92,6.3,6.65
ELWT,2025-12-08,6.76,6.76,5.66,5.83
ELWT,2025-12-09,5.47,7.24,5.2,6.71
ELWT,2025-12-10,6.46,7.1601,5.72,6.2
ELWT,2025-12-11,6.25,6.93,5.9,6.26
ELWT,2025-12-12,6.22,6.53,5.73,5.94
ELWT,2025-12-15,6.24,6.614,5.75,5.99
ELWT,2025-12-16,6.37,6.37,5.72,5.72
ELWT,2025-12-17,5.75,6.195,5.7,5.725
ELWT,2025-12-18,5.95,6.1261,5.21,5.3
ELWT,2025-12-19,5.34,5.8001,5.2,5.325
ELWT,2025-12-22,5.12,5.33,4.987,5.15
ELWT,2025-12-23,5.12,5.4949,5.02,5.02
ELWT,2025-12-24,5.155,5.2726,5.01,5.02
ELWT,2025-12-26,5.2601,5.2601,4.9,4.91
ELWT,2025-12-29,4.81,4.91,4.56,4.63
ELWT,2025-12-30,4.62,4.935,4.62,4.74
ELWT,2025-12-31,4.75,5.27,4.75,5.07
ELWT,2026-01-02,4.94,5.26,4.62,4.7
ELWT,2026-01-05,4.73,4.95,4.615,4.78
ELWT,2026-01-06,4.75,4.87,4.62,4.69
ELWT,2026-01-07,4.77,4.9785,4.11,4.14
ELWT,2026-01-08,4.17,5.6855,4.15,5.14
ELWT,2026-01-09,5.17,5.675,4.66,4.71
ELWT,2026-01-12,4.83,5.5651,4.58,5.38
ELWT,2026-01-13,5.5,6.25,5.45,5.77
ELWT,2026-01-14,5.8794,5.98,5.49,5.75
ELWT,2026-01-15,5.85,6.5451,5.8,6.0
ELWT,2026-01-16,5.82,6.1813,5.72,5.72
ELWT,2026-01-20,5.68,6.3,5.39,5.98
ELWT,2026-01-21,5.88,6.24,5.605,6.225
ELWT,2026-01-22,6.43,6.77,6.145,6.4
ELWT,2026-01-23,6.0,6.3,5.59,5.6
ELWT,2026-01-26,5.5,5.9424,5.1,5.12
ELWT,2026-01-27,5.4,5.864,5.4,5.78
ELWT,2026-01-28,5.82,6.1944,5.21,5.25
ELWT,2026-01-29,5.365,5.365,4.852,5.06
ELWT,2026-01-30,5.05,5.5675,4.88,5.06
ELWT,2026-02-02,5.37,5.4929,5.01,5.05
