ticker,date,open,high,low,close
EMAT,2026-01-06,9.0,18.43,7.05,18.43
EMAT,2026-01-07,16.1,24.085,16.1,19.0
EMAT,2026-01-08,17.37,18.3,16.2,17.01
EMAT,2026-01-09,15.91,16.77,11.52,16.4
EMAT,2026-01-12,16.0,17.5,16.0,16.45
EMAT,2026-01-13,16.14,16.14,8.75,9.51
EMAT,2026-01-14,9.88,11.625,9.21,10.46
EMAT,2026-01-15,10.6,12.24,9.5,9.92
EMAT,2026-01-16,9.91,10.0734,8.23,8.4
EMAT,2026-01-20,8.61,8.69,8.11,8.34
EMAT,2026-01-21,8.3,8.7,7.96,8.06
EMAT,2026-01-22,8.06,10.4599,7.6,9.8886
EMAT,2026-01-23,10.43,11.27,9.5,9.54
EMAT,2026-01-26,9.47,9.47,6.97,7.0
EMAT,2026-01-27,7.25,7.41,7.0,7.11
EMAT,2026-01-28,7.04,7.51,6.92,7.12
EMAT,2026-01-29,7.05,7.5,6.62,6.91
EMAT,2026-01-30,7.05,7.16,6.3,6.65
EMAT,2026-02-02,6.97,7.5,6.76,7.16
