ticker,date,open,high,low,close
ETHM,2025-08-27,11.18,11.3806,10.83,10.93
ETHM,2025-08-28,10.96,11.03,10.72,10.8
ETHM,2025-08-29,10.9,11.2,10.8001,10.88
ETHM,2025-09-02,10.95,10.95,10.71,10.78
ETHM,2025-09-03,10.78,11.1,10.78,10.94
ETHM,2025-09-04,11.03,11.03,10.63,10.7
ETHM,2025-09-05,10.71,10.805,10.55,10.75
ETHM,2025-09-08,10.84,10.84,10.56,10.725
ETHM,2025-09-09,10.76,10.88,10.61,10.68
ETHM,2025-09-10,10.7,10.81,10.6603,10.69
ETHM,2025-09-11,10.69,10.92,10.6,10.7
ETHM,2025-09-12,10.68,10.94,10.68,10.92
ETHM,2025-09-15,10.94,10.9495,10.77,10.89
ETHM,2025-09-16,10.89,10.89,10.6899,10.77
ETHM,2025-09-17,10.74,10.88,10.61,10.72
ETHM,2025-09-18,10.84,10.85,10.6601,10.72
ETHM,2025-09-19,10.72,10.75,10.66,10.74
ETHM,2025-09-22,10.68,10.74,10.56,10.65
ETHM,2025-09-23,10.67,10.73,10.61,10.66
ETHM,2025-09-24,10.65,10.7006,10.57,10.66
ETHM,2025-09-25,10.6,10.64,10.46,10.55
ETHM,2025-09-26,10.62,10.63,10.45,10.58
ETHM,2025-09-29,10.58,10.58,10.43,10.46
ETHM,2025-09-30,10.42,10.5,10.36,10.41
ETHM,2025-10-01,10.48,10.5,10.37,10.46
ETHM,2025-10-02,10.55,10.55,10.37,10.48
ETHM,2025-10-03,10.48,10.6099,10.37,10.59
ETHM,2025-10-06,10.67,10.8,10.6,10.7
ETHM,2025-10-07,10.75,10.8,10.52,10.58
ETHM,2025-10-08,10.53,10.63,10.46,10.53
ETHM,2025-10-09,10.53,10.58,10.43,10.55
ETHM,2025-10-10,10.5,10.55,10.42,10.45
ETHM,2025-10-13,10.45,10.6154,10.45,10.56
ETHM,2025-10-14,10.51,10.51,10.42,10.48
ETHM,2025-10-15,10.45,10.49,10.4,10.46
ETHM,2025-10-16,10.48,10.49,10.4,10.46
ETHM,2025-10-17,10.45,10.49,10.42,10.46
ETHM,2025-10-20,10.44,10.4595,10.41,10.43
ETHM,2025-10-21,10.43,10.51,10.4,10.45
ETHM,2025-10-22,10.45,10.47,10.4,10.46
ETHM,2025-10-23,10.43,10.5,10.43,10.48
ETHM,2025-10-24,10.52,10.52,10.46,10.46
ETHM,2025-10-27,10.53,10.5697,10.46,10.51
ETHM,2025-10-28,10.5,10.54,10.45,10.46
ETHM,2025-10-29,10.46,10.49,10.4402,10.46
ETHM,2025-10-30,10.42,10.48,10.4132,10.43
ETHM,2025-10-31,10.43,10.465,10.37,10.4
ETHM,2025-11-03,10.43,10.43,10.3,10.34
ETHM,2025-11-04,10.3,10.3354,10.246,10.31
ETHM,2025-11-05,10.31,10.34,10.31,10.32
ETHM,2025-11-06,10.33,10.39,10.32,10.32
ETHM,2025-11-07,10.34,10.34,10.26,10.32
ETHM,2025-11-10,10.32,10.35,10.3,10.31
ETHM,2025-11-11,10.34,10.34,10.31,10.31
ETHM,2025-11-12,10.31,10.3373,10.29,10.3
ETHM,2025-11-13,10.3,10.31,10.28,10.29
ETHM,2025-11-14,10.28,10.3,10.25,10.26
ETHM,2025-11-17,10.26,10.2665,10.25,10.25
ETHM,2025-11-18,10.26,10.26,10.245,10.255
ETHM,2025-11-19,10.24,10.26,10.24,10.26
ETHM,2025-11-20,10.26,10.27,10.25,10.255
ETHM,2025-11-21,10.245,10.26,10.245,10.25
ETHM,2025-11-24,10.24,10.27,10.24,10.26
ETHM,2025-11-25,10.25,10.26,10.25,10.255
ETHM,2025-11-26,10.26,10.266,10.25,10.255
ETHM,2025-11-28,10.26,10.261,10.25,10.25
ETHM,2025-12-01,10.25,10.26,10.25,10.25
ETHM,2025-12-02,10.25,10.27,10.25,10.26
ETHM,2025-12-03,10.26,10.28,10.26,10.26
ETHM,2025-12-04,10.25,10.28,10.25,10.28
ETHM,2025-12-05,10.27,10.31,10.26,10.28
ETHM,2025-12-08,10.26,10.3,10.26,10.285
ETHM,2025-12-09,10.27,10.36,10.27,10.32
ETHM,2025-12-10,10.32,10.35,10.32,10.34
ETHM,2025-12-11,10.32,10.42,10.32,10.4
ETHM,2025-12-12,10.42,10.43,10.38,10.41
ETHM,2025-12-15,10.4,10.46,10.4,10.45
ETHM,2025-12-16,10.41,10.42,10.35,10.405
ETHM,2025-12-17,10.41,10.43,10.34,10.37
ETHM,2025-12-18,10.4,10.42,10.37,10.38
ETHM,2025-12-19,10.39,10.39,10.33,10.34
ETHM,2025-12-22,10.35,10.3999,10.31,10.31
ETHM,2025-12-23,10.31,10.316,10.29,10.29
ETHM,2025-12-24,10.3,10.3,10.29,10.29
ETHM,2025-12-26,10.3,10.3,10.285,10.29
ETHM,2025-12-29,10.28,10.3,10.28,10.29
ETHM,2025-12-30,10.29,10.29,10.28,10.28
ETHM,2025-12-31,10.28,10.31,10.28,10.29
ETHM,2026-01-02,10.29,10.32,10.29,10.3
