ticker,date,open,high,low,close
ETOR,2025-05-14,69.69,74.28,65.06,67.0
ETOR,2025-05-15,65.31,67.43,60.76,66.85
ETOR,2025-05-16,66.59,69.4496,62.44,64.15
ETOR,2025-05-19,61.424,64.88,61.4029,63.29
ETOR,2025-05-20,63.25,67.16,62.3,66.14
ETOR,2025-05-21,65.94,71.46,64.89,65.56
ETOR,2025-05-22,66.26,68.44,64.05,66.48
ETOR,2025-05-23,64.73,66.49,63.29,65.39
ETOR,2025-05-27,66.55,66.55,63.2201,64.98
ETOR,2025-05-28,64.93,65.3,63.6,64.47
ETOR,2025-05-29,64.2,64.895,60.82,62.065
ETOR,2025-05-30,61.93,61.93,58.11,59.1
ETOR,2025-06-02,58.45,61.55,57.5006,61.24
ETOR,2025-06-03,62.275,66.42,59.81,64.73
ETOR,2025-06-04,64.15,66.5499,62.4794,65.35
ETOR,2025-06-05,65.95,71.48,60.61,62.87
ETOR,2025-06-06,63.8,73.33,62.837,68.7
ETOR,2025-06-09,70.74,76.75,66.21,75.97
ETOR,2025-06-10,76.64,79.9597,64.15,66.96
ETOR,2025-06-11,66.48,66.7032,62.74,62.96
ETOR,2025-06-12,61.5,64.9,60.3,64.17
ETOR,2025-06-13,60.82,63.49,60.5032,61.56
ETOR,2025-06-16,62.65,62.98,60.04,61.5
ETOR,2025-06-17,61.0,61.85,58.5,59.43
ETOR,2025-06-18,60.115,64.49,58.88,63.41
ETOR,2025-06-20,64.0,64.88,58.55,59.59
ETOR,2025-06-23,59.3,60.9,57.51,60.41
ETOR,2025-06-24,61.62,65.38,60.6,63.78
ETOR,2025-06-25,64.61,66.85,62.76,65.01
ETOR,2025-06-26,65.0,67.52,64.2,67.36
ETOR,2025-06-27,67.7,68.66,63.9177,64.69
ETOR,2025-06-30,65.5,67.12,64.5,66.57
ETOR,2025-07-01,65.08,65.89,61.5,64.31
ETOR,2025-07-02,63.54,64.53,62.4,63.42
ETOR,2025-07-03,63.37,63.55,61.2,62.77
ETOR,2025-07-07,62.72,62.72,60.31,61.215
ETOR,2025-07-08,61.5,63.21,60.5792,61.29
ETOR,2025-07-09,62.0,62.02,59.81,60.996
ETOR,2025-07-10,60.59,60.8618,58.45,59.37
ETOR,2025-07-11,57.63,57.63,57.63,57.63
ETOR,2025-07-14,57.43,57.6692,55.51,56.19
ETOR,2025-07-15,56.24,56.66,53.31,53.86
ETOR,2025-07-16,54.0,57.01,52.8801,57.01
ETOR,2025-07-17,57.25,58.69,55.67,58.14
ETOR,2025-07-18,59.0,62.19,56.42,56.78
ETOR,2025-07-21,57.02,58.4,56.05,56.18
ETOR,2025-07-22,56.11,58.1099,55.3,57.61
ETOR,2025-07-23,58.15,62.46,57.92,62.36
ETOR,2025-07-24,61.72,65.2,61.43,63.933
ETOR,2025-07-25,64.06,65.9399,62.54,65.08
ETOR,2025-07-28,65.25,65.95,61.61,63.5
ETOR,2025-07-29,63.55,64.32,59.77,60.63
ETOR,2025-07-30,60.43,62.47,60.01,62.01
ETOR,2025-07-31,62.01,63.575,59.58,59.9
ETOR,2025-08-01,58.06,59.0303,56.71,58.08
ETOR,2025-08-04,58.8,59.45,57.6401,59.27
ETOR,2025-08-05,59.45,59.75,57.704,57.965
