ticker,date,open,high,low,close
ETS,2025-08-21,4.0,4.23,3.35,3.5
ETS,2025-08-22,3.18,3.411,1.2,1.47
ETS,2025-08-25,1.38,1.5,1.3,1.37
ETS,2025-08-26,1.34,1.34,1.24,1.28
ETS,2025-08-27,1.26,1.29,1.14,1.145
ETS,2025-08-28,1.09,1.13,1.0,1.02
ETS,2025-08-29,1.02,1.02,0.9078,0.908
ETS,2025-09-02,0.882,0.9381,0.86,0.875
ETS,2025-09-03,0.84,0.98,0.84,0.9479
ETS,2025-09-04,0.9163,1.04,0.9097,0.9913
ETS,2025-09-05,0.9837,1.02,0.93,0.9499
ETS,2025-09-08,0.93,0.94,0.8601,0.8781
ETS,2025-09-09,0.8859,0.8898,0.83,0.848
ETS,2025-09-10,0.8408,1.02,0.8408,0.962
ETS,2025-09-11,0.9596,1.03,0.94,0.969
ETS,2025-09-12,1.0,1.1,0.979,1.0
ETS,2025-09-15,1.04,1.16,1.02,1.12
ETS,2025-09-16,1.15,1.19,1.09,1.19
ETS,2025-09-17,1.19,1.21,1.1209,1.16
ETS,2025-09-18,1.17,1.18,0.98,1.03
ETS,2025-09-19,1.02,1.02,0.938,0.96
ETS,2025-09-22,0.925,0.96,0.921,0.9256
ETS,2025-09-23,0.905,0.97,0.905,0.953399
ETS,2025-09-24,0.9481,0.99,0.93,0.9423
ETS,2025-09-25,0.93,0.97,0.854,0.88
ETS,2025-09-26,0.88,0.91,0.87,0.88
ETS,2025-09-29,0.8789,0.879999,0.84001,0.8513
ETS,2025-09-30,0.8689,0.9056,0.85,0.86
ETS,2025-10-01,0.8611,0.9,0.86,0.8935
ETS,2025-10-02,0.894,0.92,0.8649,0.8902
ETS,2025-10-03,0.879,0.897999,0.87,0.874
ETS,2025-10-06,0.889,0.899,0.853,0.8617
ETS,2025-10-07,0.882,0.891599,0.8358,0.8385
ETS,2025-10-08,0.8429,0.85,0.8299,0.832
ETS,2025-10-09,0.832,0.8498,0.82,0.8305
ETS,2025-10-10,0.831,0.838,0.7506,0.7598
ETS,2025-10-13,0.8,0.809,0.75,0.7665
ETS,2025-10-14,0.778,0.8195,0.7521,0.7778
ETS,2025-10-15,0.7901,0.8349,0.785101,0.8069
ETS,2025-10-16,0.8074,0.8177,0.7802,0.7833
ETS,2025-10-17,0.7731,0.7898,0.77,0.77295
ETS,2025-10-20,0.7755,0.794001,0.7755,0.778059
ETS,2025-10-21,0.753,0.7886,0.753,0.76
ETS,2025-10-22,0.7676,0.77,0.7501,0.7503
ETS,2025-10-23,0.73,0.7692,0.73,0.74655
ETS,2025-10-24,0.7301,0.75,0.72,0.74659
ETS,2025-10-27,0.758662,0.7599,0.733,0.733
ETS,2025-10-28,0.7302,0.7688,0.7302,0.7482
ETS,2025-10-29,0.7325,0.7487,0.72,0.72105
ETS,2025-10-30,0.72,0.76,0.71,0.7111
ETS,2025-10-31,0.71,0.7299,0.7,0.71
ETS,2025-11-03,0.7254,0.7299,0.7005,0.7174
ETS,2025-11-04,0.7141,0.7141,0.68995,0.6904
ETS,2025-11-05,0.696,0.696,0.6601,0.67
ETS,2025-11-06,0.66,0.66,0.63,0.6401
ETS,2025-11-07,0.62,0.62,0.5754,0.5799
ETS,2025-11-10,0.573,0.5799,0.52,0.5301
ETS,2025-11-11,0.5251,0.567999,0.52,0.5377
ETS,2025-11-12,0.543,0.586,0.543,0.569
ETS,2025-11-13,0.56176,0.5686,0.555,0.5604
ETS,2025-11-14,0.5625,0.5792,0.555,0.5611
ETS,2025-11-17,0.584,0.584,0.535,0.5371
ETS,2025-11-18,0.5301,0.55,0.53,0.5369
ETS,2025-11-19,0.5369,0.5369,0.53,0.53
ETS,2025-11-20,0.5401,0.5401,0.525,0.5251
ETS,2025-11-21,0.5306,0.5306,0.51,0.5102
ETS,2025-11-24,0.5154,0.5988,0.5132,0.53
ETS,2025-11-25,0.5448,0.548,0.5297,0.5393
ETS,2025-11-26,0.531,0.56,0.531,0.5501
ETS,2025-11-28,0.563,0.5793,0.555,0.5611
ETS,2025-12-01,0.5756,0.69,0.5756,0.655
ETS,2025-12-02,0.6399,0.6466,0.61,0.6151
ETS,2025-12-03,0.61,0.6185,0.59,0.5989
ETS,2025-12-04,0.61,0.621051,0.595,0.6175
ETS,2025-12-05,0.6175,0.6496,0.6017,0.614
ETS,2025-12-08,0.61,0.6254,0.603,0.61539
ETS,2025-12-09,0.61,0.6186,0.6064,0.6176
ETS,2025-12-10,0.5903,0.613,0.5863,0.593
ETS,2025-12-11,0.581,0.6001,0.54,0.56
ETS,2025-12-12,0.55,0.555,0.536,0.5375
ETS,2025-12-15,0.535,0.5499,0.52,0.5265
ETS,2025-12-16,0.5201,0.525,0.51,0.5136
ETS,2025-12-17,0.5399,0.5399,0.51,0.51
ETS,2025-12-18,0.51,0.516,0.5001,0.508
ETS,2025-12-19,0.51,0.5113,0.4949,0.4949
ETS,2025-12-22,0.49,0.537,0.49,0.51
ETS,2025-12-23,0.51,0.52,0.5005,0.501
ETS,2025-12-24,0.501,0.5937,0.5005,0.569
ETS,2025-12-26,0.57,0.637,0.57,0.6097
ETS,2025-12-29,0.6,0.6094,0.5595,0.5773
ETS,2025-12-30,0.561,0.611,0.51,0.51
ETS,2025-12-31,0.534,0.5578,0.49,0.4944
