ticker,date,open,high,low,close
EVOX,2025-12-04,9.9,9.91,9.9,9.9
EVOX,2025-12-05,9.8999,9.8999,9.8999,9.8999
EVOX,2025-12-08,9.9,9.91,9.89,9.89
EVOX,2025-12-10,9.89,9.9,9.89,9.89
EVOX,2025-12-11,9.9,9.9,9.89,9.89
EVOX,2025-12-12,9.89,9.9,9.89,9.89
EVOX,2025-12-15,9.89,9.89,9.89,9.89
EVOX,2025-12-16,9.9,9.9,9.88,9.89
EVOX,2025-12-17,9.885,9.885,9.88,9.88
EVOX,2025-12-19,9.88,9.89,9.88,9.885
EVOX,2025-12-22,9.89,9.89,9.88,9.88
EVOX,2025-12-23,9.88,9.88,9.88,9.88
EVOX,2025-12-24,9.87,9.87,9.87,9.87
EVOX,2025-12-29,9.88,9.89,9.88,9.88
EVOX,2025-12-30,9.88,9.88,9.86,9.88
EVOX,2025-12-31,9.875,9.88,9.87,9.87
EVOX,2026-01-02,9.86,9.89,9.86,9.87
EVOX,2026-01-05,9.89,9.89,9.88,9.88
EVOX,2026-01-06,9.88,9.89,9.87,9.88
EVOX,2026-01-07,9.8821,9.89,9.875,9.88
EVOX,2026-01-08,9.88,9.9,9.875,9.89
EVOX,2026-01-09,9.9,9.91,9.9,9.9
EVOX,2026-01-12,9.91,9.935,9.9,9.92
EVOX,2026-01-13,9.95,9.95,9.89,9.89
EVOX,2026-01-14,9.95,10.0,9.89,9.95
EVOX,2026-01-15,9.95,9.96,9.95,9.96
EVOX,2026-01-16,9.99,9.99,9.945,9.96
EVOX,2026-01-20,9.95,10.0,9.95,9.95
EVOX,2026-01-22,9.9746,9.9746,9.9746,9.9746
EVOX,2026-01-23,9.99,9.99,9.99,9.99
EVOX,2026-01-26,9.95,9.95,9.95,9.95
EVOX,2026-01-27,10.0,10.0,9.94,9.96
EVOX,2026-01-28,9.96,9.97,9.96,9.97
EVOX,2026-01-29,9.965,10.09,9.965,10.08
EVOX,2026-01-30,10.06,10.08,10.045,10.055
EVOX,2026-02-02,10.06,10.06,10.06,10.06
