ticker,date,open,high,low,close
FBLA,2024-10-24,11.7,11.7,11.7,11.7
FBLA,2024-10-25,11.7,11.74,11.61,11.66
FBLA,2024-10-28,11.61,11.98,11.61,11.95
FBLA,2024-10-29,11.84,11.84,11.79,11.84
FBLA,2024-10-30,11.77,11.85,11.77,11.83
FBLA,2024-10-31,11.76,11.82,11.72,11.77
FBLA,2024-11-01,11.82,11.88,11.71,11.72
FBLA,2024-11-04,11.71,11.79,11.7,11.7401
FBLA,2024-11-05,11.75,11.98,11.75,11.95
FBLA,2024-11-06,12.04,12.19,11.835,11.93
FBLA,2024-11-07,12.05,12.19,11.95,12.12
FBLA,2024-11-08,12.15,12.2,12.15,12.19
FBLA,2024-11-11,12.19,12.33,12.19,12.27
FBLA,2024-11-12,12.27,12.43,12.27,12.43
FBLA,2024-11-13,12.44,12.71,12.31,12.38
FBLA,2024-11-14,12.39,12.457,12.23,12.31
FBLA,2024-11-15,12.26,12.5,12.26,12.4
FBLA,2024-11-18,12.3,12.4,12.3,12.33
FBLA,2024-11-19,12.28,12.36,12.23,12.26
FBLA,2024-11-20,12.18,12.19,12.155,12.19
FBLA,2024-11-21,12.15,12.5,12.09,12.11
FBLA,2024-11-22,12.09,12.32,12.071,12.2
FBLA,2024-11-25,12.2,12.26,11.89,11.95
FBLA,2024-11-26,12.1112,12.1112,11.86,11.87
FBLA,2024-11-27,11.92,12.14,11.92,11.99
FBLA,2024-11-29,12.05,12.12,11.9,12.04
FBLA,2024-12-02,12.05,12.23,12.03,12.21
FBLA,2024-12-03,12.2,12.545,12.17,12.51
FBLA,2024-12-04,12.54,12.54,12.3,12.41
FBLA,2024-12-05,12.38,12.5,12.24,12.39
FBLA,2024-12-06,12.39,12.4,12.29,12.37
FBLA,2024-12-09,12.4,12.53,12.33,12.36
FBLA,2025-01-27,11.74,12.0,11.74,11.84
FBLA,2025-01-28,11.8,11.9274,11.765,11.78
FBLA,2025-01-29,11.73,11.8925,11.71,11.75
FBLA,2025-01-30,11.94,11.94,11.7,11.74
FBLA,2025-01-31,11.7,11.77,11.65,11.69
FBLA,2025-02-03,11.55,11.65,11.45,11.49
FBLA,2025-02-04,11.51,11.58,11.46,11.55
FBLA,2025-02-05,11.625,11.625,11.37,11.43
FBLA,2025-02-06,11.43,11.4922,11.42,11.46
