ticker,date,open,high,low,close
FGL,2024-10-24,3.14,3.5,2.63,3.33
FGL,2024-10-25,3.38,3.64,3.155,3.42
FGL,2024-10-28,3.3012,3.5683,3.1344,3.35
FGL,2024-10-29,3.4,3.67,3.35,3.36
FGL,2024-10-30,3.4,5.26,3.4,3.61
FGL,2024-10-31,3.27,4.25,3.27,4.09
FGL,2024-11-01,4.14,4.45,3.81,4.0
FGL,2024-11-04,3.88,4.08,3.48,3.48
FGL,2024-11-05,3.39,3.63,2.59,3.0
FGL,2024-11-06,3.22,3.23,2.75,2.8819
FGL,2024-11-07,2.9879,3.1997,2.19,2.27
FGL,2024-11-08,2.35,2.78,1.75,1.785
FGL,2024-11-11,1.85,3.34,1.25,1.79
FGL,2024-11-12,1.5989,2.43,1.5344,2.25
FGL,2024-11-13,2.06,2.21,1.62,1.69
FGL,2024-11-14,1.8197,1.8299,1.62,1.685
FGL,2024-11-15,1.69,1.83,1.6075,1.72
FGL,2024-11-18,1.67,2.21,1.67,1.96
FGL,2024-11-19,1.88,2.125,1.87,1.95
FGL,2024-11-20,1.95,2.44,1.95,2.28
FGL,2024-11-21,2.4,2.43,2.3001,2.31
FGL,2024-11-22,2.4,2.51,2.01,2.2
FGL,2024-11-25,2.29,2.45,2.29,2.45
FGL,2024-11-26,2.4398,2.55,2.2,2.23
FGL,2024-11-27,2.2968,2.66,2.29,2.39
FGL,2024-11-29,2.5,2.9,2.3001,2.8
FGL,2024-12-02,2.99,5.0,2.9392,4.3
FGL,2024-12-03,4.12,4.8,3.78,4.08
FGL,2024-12-04,4.7,4.9299,2.72,3.06
FGL,2024-12-05,2.89,2.9,2.35,2.64
FGL,2024-12-06,2.7,3.07,2.4902,2.73
FGL,2024-12-09,2.51,2.6775,2.4,2.55
FGL,2025-01-27,1.69,1.69,1.54,1.58
FGL,2025-01-28,1.64,1.68,1.4374,1.64
FGL,2025-01-29,1.62,1.7,1.5759,1.65
FGL,2025-01-30,1.66,1.77,1.58,1.73
FGL,2025-01-31,1.67,1.74,1.64,1.65
FGL,2025-02-03,1.65,1.69,1.59,1.62
FGL,2025-02-04,1.56,1.69,1.56,1.61
FGL,2025-02-05,1.58,1.68,1.54,1.59
FGL,2025-02-06,1.64,1.68,1.59,1.65
FGL,2025-02-07,1.63,1.69,1.565,1.59
FGL,2025-02-10,1.45,1.59,1.41,1.53
FGL,2025-02-11,1.53,1.58,1.48,1.51
FGL,2025-02-12,1.52,1.56,1.48,1.49
FGL,2025-02-13,1.49,1.56,1.46,1.52
FGL,2025-02-14,1.5,1.62,1.5,1.58
FGL,2025-02-18,1.55,1.58,1.5,1.52
FGL,2025-02-19,1.53,1.57,1.5,1.53
FGL,2025-02-20,1.53,1.57,1.5,1.56
FGL,2025-02-21,1.57,1.57,1.48,1.5
FGL,2025-02-24,1.5,1.505,1.4,1.47
FGL,2025-02-25,1.4402,1.4842,1.39,1.43
FGL,2025-02-26,1.42,1.46,1.4,1.45
FGL,2025-02-27,1.4513,1.4513,1.42,1.42
FGL,2025-02-28,1.42,1.4653,1.36,1.45
FGL,2025-03-03,1.39,1.4,1.38,1.4
FGL,2025-03-04,1.36,1.39,1.2601,1.38
FGL,2025-03-05,1.36,1.47,1.35,1.44
FGL,2025-03-06,1.4416,1.52,1.38,1.42
FGL,2025-03-07,1.48,1.485,1.38,1.4
FGL,2025-03-10,1.37,1.37,1.35,1.37
FGL,2025-03-11,1.35,1.4,1.35,1.4
FGL,2025-03-12,1.41,1.42,1.38,1.38
FGL,2025-03-13,1.32,1.42,1.3,1.32
FGL,2025-03-14,1.3274,1.3274,1.2101,1.29
FGL,2025-03-17,1.3,1.345,1.28,1.337
FGL,2025-03-18,1.3,1.3,1.25,1.26
FGL,2025-03-19,1.27,1.5494,1.25,1.49
FGL,2025-03-20,1.46,1.5499,1.36,1.38
FGL,2025-03-21,1.3834,1.4428,1.31,1.33
FGL,2025-03-24,1.38,1.38,1.23,1.31
FGL,2025-03-25,1.32,1.4,1.31,1.33
FGL,2025-03-26,1.33,1.38,1.302,1.34
FGL,2025-03-27,1.34,1.3701,1.34,1.34
FGL,2025-03-28,1.33,1.39,1.33,1.39
FGL,2025-03-31,1.34,1.39,1.33,1.34
FGL,2025-04-01,1.35,1.39,1.32,1.37
FGL,2025-04-02,1.331,1.45,1.33,1.38
FGL,2025-04-03,1.31,1.45,1.3,1.35
FGL,2025-04-04,1.32,1.38,1.31,1.33
FGL,2025-04-07,1.31,1.31,1.29,1.29
FGL,2025-04-08,1.25,1.25,1.21,1.25
FGL,2025-04-09,1.23,1.4,1.16,1.291
FGL,2025-04-10,1.27,1.31,1.2202,1.285
FGL,2025-04-11,1.24,1.34,1.24,1.31
FGL,2025-04-14,1.325,1.42,1.32,1.39
FGL,2025-04-15,1.33,1.48,1.33,1.4
FGL,2025-04-16,1.39,1.49,1.39,1.4101
FGL,2025-04-17,1.4,1.54,1.4,1.525
FGL,2025-04-21,1.51,1.54,1.45,1.46
FGL,2025-04-22,1.46,1.5,1.45,1.46
FGL,2025-04-23,1.53,1.53,1.415,1.52
FGL,2025-04-24,1.5,1.5,1.43,1.44
FGL,2025-04-25,1.42,1.46,1.402,1.404
FGL,2025-04-28,1.4,1.46,1.36,1.395
FGL,2025-04-29,1.39,1.44,1.38,1.415
FGL,2025-04-30,1.37,1.37,1.3191,1.37
FGL,2025-05-01,1.37,1.39,1.31,1.334
FGL,2025-05-02,1.44,1.44,1.33,1.33
FGL,2025-05-05,1.31,1.31,1.27,1.31
FGL,2025-05-06,1.34,1.34,1.29,1.29
FGL,2025-05-07,1.305,1.34,1.29,1.294
FGL,2025-05-08,1.274,1.274,1.26,1.274
FGL,2025-05-09,1.2201,1.28,1.2,1.24
FGL,2025-05-12,1.2913,1.3119,1.24,1.31
FGL,2025-05-13,1.29,1.31,1.29,1.3
FGL,2025-05-14,1.29,1.29,1.28,1.29
FGL,2025-05-15,1.28,1.29,1.26,1.27
FGL,2025-05-16,1.3,1.3,1.202,1.25
FGL,2025-05-19,1.26,1.29,1.23,1.2501
FGL,2025-05-20,1.245,1.245,1.2307,1.245
FGL,2025-05-21,1.23,1.2428,0.7,0.9669
FGL,2025-05-22,0.9,1.2,0.9,1.1
FGL,2025-05-23,1.1,1.1315,1.01,1.06
FGL,2025-05-27,1.06,1.1,1.04,1.08
FGL,2025-05-28,1.05,1.13,1.04,1.13
FGL,2025-05-29,1.0806,1.12,1.08,1.11
FGL,2025-05-30,1.0702,1.08,1.07,1.08
FGL,2025-06-02,1.0832,1.1279,1.04,1.07
FGL,2025-06-03,1.041,1.0589,1.02,1.04
FGL,2025-06-04,1.08,1.08,0.97,1.02
FGL,2025-06-05,1.025,1.0995,0.96,0.9615
FGL,2025-06-06,1.02,1.03,0.9023,1.02
FGL,2025-06-09,1.01,1.11,0.985,1.025
FGL,2025-06-10,1.01,1.09,1.01,1.05
FGL,2025-06-11,1.08,1.08,1.03,1.03
FGL,2025-06-12,1.02,1.045,0.9559,1.01
FGL,2025-06-13,1.02,1.03,0.96,0.97
FGL,2025-06-16,0.97,0.9998,0.8911,0.91
FGL,2025-06-17,0.9192,0.9473,0.720501,0.83
FGL,2025-06-18,0.7762,0.85,0.768,0.7699
FGL,2025-06-20,0.77,0.79,0.66,0.737
FGL,2025-06-23,0.73,0.77,0.6861,0.7061
FGL,2025-06-24,0.6704,0.72369,0.6704,0.7118
FGL,2025-06-25,0.7099,0.7568,0.6905,0.7205
FGL,2025-06-26,0.7205,0.75,0.7,0.7251
FGL,2025-06-27,0.7543,0.7543,0.711,0.74
FGL,2025-06-30,0.757,0.77,0.720001,0.74
FGL,2025-07-01,0.722,0.799,0.722,0.755
FGL,2025-07-02,0.7423,0.7698,0.7217,0.75
FGL,2025-07-03,0.755,0.82,0.74,0.82
FGL,2025-07-07,0.8,0.8386,0.7634,0.8096
FGL,2025-07-08,0.8,0.92,0.79,0.8476
FGL,2025-07-09,0.86,0.92,0.86,0.8929
FGL,2025-07-10,0.9,1.03,0.8999,0.9896
FGL,2025-07-11,0.8826,0.8826,0.88,0.8826
FGL,2025-07-14,0.92,0.98,0.9,0.9715
FGL,2025-07-15,0.97,1.0399,0.9,0.9125
FGL,2025-07-16,0.9126,1.0198,0.9,0.9686
FGL,2025-07-17,0.9408,1.02,0.93,0.996
FGL,2025-07-18,1.0,1.0,0.9601,1.0
FGL,2025-07-21,0.97,0.979,0.954,0.9552
FGL,2025-07-22,0.9265,1.06,0.855,0.9825
FGL,2025-07-23,0.9237,1.0196,0.913,0.96
FGL,2025-07-24,0.9412,1.02,0.94,0.99
FGL,2025-07-25,0.9771,1.08,0.9757,1.04
FGL,2025-07-28,1.04,1.07,0.9712,1.01
FGL,2025-07-29,1.01,1.235,1.01,1.1483
FGL,2025-07-30,1.15,1.265,1.11,1.21
FGL,2025-07-31,1.17,1.22,1.14,1.14
FGL,2025-08-01,1.18,1.32,1.1074,1.21
FGL,2025-08-04,1.15,1.4,1.15,1.35
FGL,2025-08-05,1.27,1.3599,1.22,1.23
FGL,2025-08-06,1.22,1.22,0.92,1.09
FGL,2025-08-07,1.06,1.2799,1.06,1.08
FGL,2025-08-08,1.0889,1.163,1.0805,1.1287
FGL,2025-08-11,1.15,1.2799,1.13,1.225
FGL,2025-08-12,1.24,1.24,1.1601,1.2188
FGL,2025-08-13,1.24,1.24,1.15,1.1971
FGL,2025-08-14,1.15,1.27,1.15,1.22
FGL,2025-08-15,1.3,1.34,1.2002,1.23
FGL,2025-08-18,1.19,1.3,1.18,1.27
FGL,2025-08-19,1.21,1.3299,1.2008,1.25
FGL,2025-08-20,1.25,1.3,1.16,1.2
FGL,2025-08-21,1.2,1.25,1.19,1.2399
FGL,2025-08-22,1.21,1.317,1.19,1.3
FGL,2025-08-25,1.25,1.35,1.24,1.29
FGL,2025-08-26,1.27,1.2999,1.24,1.26
FGL,2025-08-27,1.3,1.43,1.25,1.32
FGL,2025-08-28,1.27,1.28,1.2,1.26
FGL,2025-08-29,1.21,1.29,1.161,1.2
FGL,2025-09-02,1.14,1.25,1.1,1.21
FGL,2025-09-03,1.22,1.3499,1.1761,1.21
FGL,2025-09-04,1.165,1.34,1.15,1.24
FGL,2025-09-05,1.25,1.268,1.19,1.2003
FGL,2025-09-08,1.2,1.24,1.11,1.19
FGL,2025-09-09,1.15,1.3,1.13,1.19
FGL,2025-09-10,1.17,1.23,1.13,1.19
FGL,2025-09-11,1.19,1.19,1.14,1.165
FGL,2025-09-12,1.16,1.175,1.15,1.16
FGL,2025-09-15,1.17,1.1999,1.16,1.19
FGL,2025-09-16,1.19,1.195,1.17,1.17
FGL,2025-09-17,1.16,1.19,1.05,1.12
FGL,2025-09-18,1.13,1.16,1.1198,1.14
FGL,2025-09-19,1.14,1.15,1.12,1.15
FGL,2025-09-22,1.15,1.28,1.12,1.27
FGL,2025-09-23,1.23,1.4,1.23,1.36
FGL,2025-09-24,1.35,1.36,1.03,1.08
FGL,2025-09-25,1.04,1.06,0.9,0.9302
FGL,2025-09-26,0.79,0.8,0.555,0.6
FGL,2025-09-29,0.6,0.6,0.4371,0.46
FGL,2025-09-30,0.518,0.53,0.46,0.46
FGL,2025-10-01,0.4503,0.4697,0.4051,0.4187
FGL,2025-10-02,0.4299,0.496,0.4122,0.4713
FGL,2025-10-03,0.4437,0.4789,0.4321,0.438
FGL,2025-10-06,0.43,0.47,0.4155,0.4615
FGL,2025-10-07,0.44,0.47,0.4303,0.453
FGL,2025-10-08,0.432,0.4381,0.4116,0.4182
FGL,2025-10-09,0.4171,0.4299,0.38,0.3954
FGL,2025-10-10,0.384,0.4029,0.3211,0.3459
FGL,2025-10-13,0.4261,0.447,0.383,0.4094
FGL,2025-10-14,0.365,0.405,0.35,0.3818
FGL,2025-10-15,0.358,0.38,0.35,0.3605
FGL,2025-10-16,0.353,0.3648,0.35,0.3516
FGL,2025-10-17,0.3391,0.35,0.3039,0.3372
FGL,2025-10-20,0.335,0.3547,0.335,0.35
FGL,2025-10-21,0.3272,0.3444,0.31625,0.3175
FGL,2025-10-22,0.2992,0.3303,0.285,0.3152
FGL,2025-10-23,0.3154,0.3406,0.3146,0.3302
FGL,2025-10-24,0.3304,0.3532,0.3236,0.3355
FGL,2025-10-27,0.3342,0.39,0.3326,0.3521
FGL,2025-10-28,0.396,0.5888,0.37,0.45
FGL,2025-10-29,0.6474,0.7071,0.405,0.4053
FGL,2025-10-30,0.3737,0.4149,0.3601,0.3631
FGL,2025-10-31,0.3471,0.3556,0.31,0.3316
FGL,2025-11-03,0.3189,0.50199,0.3189,0.4038
FGL,2025-11-04,0.46445,0.564,0.4119,0.5165
FGL,2025-11-05,0.4849,0.553,0.45,0.5209
FGL,2025-11-06,0.4945,0.5184,0.4252,0.5062
FGL,2025-11-07,0.4924,0.4943,0.4005,0.4413
FGL,2025-11-10,0.426,0.458,0.4163,0.4455
FGL,2025-11-11,0.4116,0.4321,0.35,0.374
FGL,2025-11-12,0.3703,0.41,0.351,0.368
FGL,2025-11-13,0.3479,0.3649,0.3306,0.334499
FGL,2025-11-14,0.32,0.35389,0.3198,0.3303
FGL,2025-11-17,0.3347,0.3634,0.323,0.323
FGL,2025-11-18,0.32,0.3397,0.3196,0.3266
FGL,2025-11-19,0.33,0.3801,0.33,0.3611
FGL,2025-11-20,0.4091,0.4299,0.3514,0.3577
FGL,2025-11-21,0.36,0.4344,0.3413,0.4005
FGL,2025-11-24,0.403,0.4869,0.35,0.4704
FGL,2025-11-25,0.46,0.46,0.4107,0.43795
FGL,2025-11-26,0.4402,0.4599,0.38,0.3913
FGL,2025-11-28,0.3961,0.424251,0.3961,0.4112
FGL,2025-12-01,0.4,0.422,0.37,0.377
FGL,2025-12-02,0.3653,0.3884,0.3581,0.3701
FGL,2025-12-03,0.36,0.3795,0.35471,0.3645
FGL,2025-12-04,0.3631,0.38,0.3556,0.3755
FGL,2025-12-05,0.3798,0.38329,0.365,0.365
FGL,2025-12-08,0.3538,0.3645,0.342,0.344
FGL,2025-12-09,0.3492,0.365,0.3411,0.36
FGL,2025-12-10,0.349,0.3597,0.3401,0.3443
FGL,2025-12-11,0.34,0.3594,0.34,0.3425
FGL,2025-12-12,0.3515,0.357,0.325,0.325
FGL,2025-12-15,0.3447,0.3447,0.2901,0.3008
FGL,2025-12-16,0.306,0.32,0.306,0.3151
FGL,2025-12-17,0.3145,0.3186,0.2602,0.2679
FGL,2025-12-18,0.2592,0.2855,0.2592,0.2615
FGL,2025-12-19,0.2345,0.237,0.128201,0.1772
FGL,2025-12-22,0.1785,0.2334,0.1781,0.1862
FGL,2025-12-23,0.2,0.2,0.1701,0.1776
FGL,2025-12-24,0.15545,0.1637,0.143,0.1583
FGL,2025-12-26,0.164,0.1792,0.1568,0.178
FGL,2025-12-29,0.1733,0.1733,0.1625,0.1724
FGL,2025-12-30,0.1651,0.171,0.149451,0.1537
FGL,2025-12-31,0.1625,0.1645,0.1539,0.162
FGL,2026-01-02,0.162,0.179999,0.15701,0.1633
FGL,2026-01-05,0.1714,0.18569,0.1709,0.175
FGL,2026-01-06,0.169,0.17509,0.1527,0.1725
FGL,2026-01-07,0.1616,0.17029,0.1616,0.1687
FGL,2026-01-08,0.1638,0.17,0.155,0.1678
FGL,2026-01-09,0.1634,0.1678,0.1598,0.161
FGL,2026-01-12,0.16,0.1742,0.16,0.1742
FGL,2026-01-13,0.1621,0.171499,0.158,0.1601
FGL,2026-01-14,0.1498,0.1498,0.137,0.1441
FGL,2026-01-15,0.1348,0.1525,0.1348,0.1449
FGL,2026-01-16,0.15,0.15,0.1401,0.1412
FGL,2026-01-20,0.131,0.148,0.131,0.1377
FGL,2026-01-21,0.136,0.1659,0.1303,0.1439
FGL,2026-01-22,0.1466,0.1538,0.1407,0.1433
FGL,2026-01-23,0.1495,0.1594,0.142,0.1594
FGL,2026-01-26,0.1546,0.1549,0.143,0.1476
FGL,2026-01-27,0.15,0.1649,0.1477,0.1542
FGL,2026-01-28,0.155754,0.16,0.1485,0.15
FGL,2026-01-29,0.1507,0.1723,0.1411,0.1537
FGL,2026-01-30,0.159,0.159,0.138,0.141
FGL,2026-02-02,0.1368,0.1424,0.1368,0.1397
