ticker,date,open,high,low,close
FGNX,2025-08-11,19.2,23.7988,19.2,21.9
FGNX,2025-08-12,23.01,25.5,21.54,24.5
FGNX,2025-08-13,25.75,25.75,22.2001,24.56
FGNX,2025-08-14,22.11,23.0,20.25,20.63
FGNX,2025-08-15,20.66,20.925,18.9101,18.94
FGNX,2025-08-18,18.42,18.42,16.3006,16.5
FGNX,2025-08-19,15.92,16.75,13.9,14.05
FGNX,2025-08-20,13.52,15.01,12.69,14.06
FGNX,2025-08-21,14.11,14.7,13.25,13.615
FGNX,2025-08-22,13.1,16.9364,13.0539,15.9
FGNX,2025-08-25,16.08,16.6,14.04,14.21
FGNX,2025-08-26,14.99,15.1033,12.1638,12.31
FGNX,2025-08-27,12.36,13.74,12.36,12.61
FGNX,2025-08-28,13.46,13.6499,12.61,13.1
FGNX,2025-08-29,14.0,14.46,12.55,14.0
FGNX,2025-09-02,13.2,13.7,11.765,12.14
FGNX,2025-09-03,11.96,13.0,11.36,11.41
FGNX,2025-09-04,11.3,11.93,10.01,10.27
FGNX,2025-09-05,10.17,10.3,9.08,9.63
FGNX,2025-09-08,7.85,8.5,6.69,6.95
FGNX,2025-09-09,7.5,7.8199,7.0,7.46
FGNX,2025-09-10,7.4,7.58,6.68,6.85
FGNX,2025-09-11,7.056,7.49,6.8881,7.175
FGNX,2025-09-12,7.27,7.4485,6.9,7.29
FGNX,2025-09-15,7.16,7.16,6.64,6.98
FGNX,2025-09-16,6.8,7.05,6.53,6.81
FGNX,2025-09-17,8.46,9.16,7.8521,8.65
FGNX,2025-09-18,8.42,8.75,8.0114,8.21
FGNX,2025-09-19,7.91,8.26,6.81,7.24
FGNX,2025-09-22,7.05,7.0863,6.68,6.77
FGNX,2025-09-23,6.95,7.043,6.5,6.67
FGNX,2025-09-24,6.7,6.835,6.1,6.2
FGNX,2025-09-25,6.45,7.51,6.21,6.65
FGNX,2025-09-26,5.91,6.0799,5.75,5.89
FGNX,2025-09-29,6.06,6.15,5.76,5.98
FGNX,2025-09-30,5.99,5.99,5.43,5.49
FGNX,2025-10-01,5.49,6.19,5.45,5.93
FGNX,2025-10-02,6.05,6.3,5.88,6.0
FGNX,2025-10-03,6.0,6.1,5.72,5.86
FGNX,2025-10-06,5.92,6.03,5.7,5.83
FGNX,2025-10-07,5.97,5.9817,5.75,5.85
FGNX,2025-10-08,5.85,5.86,5.45,5.5
FGNX,2025-10-09,5.5,6.36,5.45,6.23
FGNX,2025-10-10,6.0,6.0,4.96,5.0
FGNX,2025-10-13,5.36,5.63,4.53,4.54
FGNX,2025-10-14,4.38,4.545,4.24,4.3
FGNX,2025-10-15,3.83,4.005,3.62,3.82
FGNX,2025-10-16,3.92,3.92,3.46,3.59
FGNX,2025-10-17,3.5,3.68,3.35,3.66
FGNX,2025-10-20,3.8,3.93,3.56,3.82
FGNX,2025-10-21,3.75,3.81,3.66,3.67
FGNX,2025-10-22,3.65,3.786,3.525,3.67
FGNX,2025-10-23,3.75,3.75,3.63,3.71
FGNX,2025-10-24,3.71,4.09,3.69,3.81
FGNX,2025-10-27,3.89,4.0,3.78,3.93
FGNX,2025-10-28,3.91,4.31,3.84,4.05
FGNX,2025-10-29,4.05,4.17,3.84,3.85
FGNX,2025-10-30,3.79,3.995,3.62,3.63
FGNX,2025-10-31,3.61,3.774,3.61,3.72
FGNX,2025-11-03,3.6,3.7297,3.58,3.6
FGNX,2025-11-04,3.5,3.6359,3.37,3.41
FGNX,2025-11-05,3.55,3.66,3.345,3.51
FGNX,2025-11-06,3.51,3.55,3.13,3.18
FGNX,2025-11-07,3.12,3.29,3.12,3.27
FGNX,2025-11-10,3.3,3.42,3.205,3.205
FGNX,2025-11-11,3.22,3.32,2.99,3.025
FGNX,2025-11-12,3.06,3.1502,2.91,2.95
FGNX,2025-11-13,2.87,2.93,2.6,2.755
FGNX,2025-11-14,2.56,2.79,2.55,2.59
FGNX,2025-11-17,2.54,2.54,2.375,2.41
FGNX,2025-11-18,2.41,2.8,2.295,2.75
FGNX,2025-11-19,2.7,2.72,2.51,2.595
FGNX,2025-11-20,2.65,2.72,2.31,2.42
FGNX,2025-11-21,2.47,2.63,2.37,2.405
FGNX,2025-11-24,2.38,2.715,2.37,2.62
FGNX,2025-11-25,2.6,2.7,2.38,2.7
FGNX,2025-11-26,2.7,2.94,2.66,2.875
FGNX,2025-11-28,2.93,3.345,2.87,3.17
FGNX,2025-12-01,3.05,3.24,2.97,3.05
FGNX,2025-12-02,3.12,3.222,3.05,3.09
FGNX,2025-12-03,3.1,3.27,3.06,3.18
FGNX,2025-12-04,3.15,3.23,3.05,3.08
FGNX,2025-12-05,3.1,3.1,2.75,2.83
FGNX,2025-12-08,2.94,3.08,2.9,2.92
FGNX,2025-12-09,3.11,3.25,2.9435,3.18
FGNX,2025-12-10,3.16,3.25,3.08,3.18
FGNX,2025-12-11,3.08,3.1091,2.9,2.9
FGNX,2025-12-12,2.9,2.9495,2.58,2.59
FGNX,2025-12-15,2.58,2.855,2.48,2.66
FGNX,2025-12-16,2.59,2.8868,2.59,2.78
FGNX,2025-12-17,2.77,2.96,2.77,2.86
FGNX,2025-12-18,2.9,3.29,2.9,3.04
FGNX,2025-12-19,3.06,3.23,3.01,3.195
FGNX,2025-12-22,3.2,3.25,3.04,3.13
FGNX,2025-12-23,3.12,3.12,2.96,3.04
FGNX,2025-12-24,3.02,3.05,2.95,3.03
FGNX,2025-12-26,3.0,3.0,2.875,2.92
FGNX,2025-12-29,2.87,2.87,2.65,2.8
FGNX,2025-12-30,2.82,2.9157,2.74,2.79
FGNX,2025-12-31,2.76,2.8278,2.67,2.75
FGNX,2026-01-02,2.83,3.31,2.7985,3.23
FGNX,2026-01-05,3.3,3.32,3.22,3.23
FGNX,2026-01-06,3.33,3.33,3.12,3.21
FGNX,2026-01-07,3.2,3.2201,3.08,3.15
FGNX,2026-01-08,3.14,3.235,3.04,3.18
FGNX,2026-01-09,3.18,3.3678,3.18,3.26
FGNX,2026-01-12,3.3,3.3755,3.255,3.32
FGNX,2026-01-13,3.36,3.39,3.21,3.24
FGNX,2026-01-14,3.22,3.335,3.16,3.235
FGNX,2026-01-15,3.22,3.23,3.01,3.06
FGNX,2026-01-16,3.04,3.22,3.04,3.22
FGNX,2026-01-20,3.15,3.24,3.06,3.06
FGNX,2026-01-21,3.07,3.17,3.0457,3.14
FGNX,2026-01-22,3.16,3.2399,3.01,3.015
FGNX,2026-01-23,3.0,3.05,2.88,2.92
FGNX,2026-01-26,2.92,3.04,2.89,2.95
FGNX,2026-01-27,2.95,3.055,2.92,3.01
FGNX,2026-01-28,2.97,3.055,2.96,2.97
FGNX,2026-01-29,2.94,2.95,2.85,2.93
FGNX,2026-01-30,2.87,2.98,2.77,2.81
FGNX,2026-02-02,2.69,2.69,2.42,2.43
