ticker,date,open,high,low,close
FOFO,2025-09-12,5.25,14.9,4.63,12.35
FOFO,2025-09-15,10.025,15.8,9.0,11.9
FOFO,2025-09-16,12.0,12.8966,11.007,11.3495
FOFO,2025-09-17,11.11,11.57,10.7,11.0
FOFO,2025-09-18,10.7938,10.7938,10.2,10.58
FOFO,2025-09-19,10.365,11.97,10.2,11.61
FOFO,2025-09-22,11.21,12.49,11.21,11.86
FOFO,2025-09-23,12.4744,17.67,12.01,16.01
FOFO,2025-09-24,16.94,19.75,16.38,19.25
FOFO,2025-09-25,18.19,31.9899,18.19,29.75
FOFO,2025-09-26,28.8,47.19,28.8,45.0
FOFO,2025-09-29,67.5,68.0,22.96,40.32
FOFO,2025-09-30,37.86,43.0,32.0,33.7189
FOFO,2025-10-01,31.16,35.0,20.48,22.39
FOFO,2025-10-02,22.39,23.37,14.0,15.64
FOFO,2025-10-03,15.66,16.2,15.0,15.87
FOFO,2025-10-06,16.3,16.88,15.0,15.73
FOFO,2025-10-07,15.03,15.8853,11.6,11.97
FOFO,2025-10-08,12.21,13.8,12.21,12.84
FOFO,2025-10-09,12.0,12.94,11.95,12.38
FOFO,2025-10-10,12.14,13.0071,10.8302,11.7
FOFO,2025-10-13,11.8,16.5,11.8,16.22
FOFO,2025-10-14,18.3,21.82,15.99,16.13
FOFO,2025-10-15,16.45,18.51,15.553,16.88
FOFO,2025-10-16,17.1,17.89,15.2,15.23
FOFO,2025-10-17,16.0,17.1,15.5,16.6
FOFO,2025-10-20,16.99,17.35,16.3,16.81
FOFO,2025-10-21,16.67,16.67,15.02,15.63
FOFO,2025-10-22,15.5,16.98,13.65,13.94
FOFO,2025-10-23,14.4,14.62,13.6,14.62
FOFO,2025-10-24,13.55,15.5,13.55,14.2
FOFO,2025-10-27,14.7,14.7,12.27,12.84
FOFO,2025-10-28,12.5,12.755,11.8,12.0087
FOFO,2025-10-29,12.01,13.45,12.0,12.26
FOFO,2025-10-30,12.4,13.2022,12.01,12.06
FOFO,2025-10-31,12.1,12.5846,11.8,12.0
FOFO,2025-11-03,12.99,12.99,12.2,12.2
FOFO,2025-11-04,12.55,12.68,11.1182,11.79
FOFO,2025-11-05,11.44,11.79,8.1,8.86
FOFO,2025-11-06,9.81,12.51,9.65,11.74
FOFO,2025-11-07,11.92,14.31,11.015,13.88
FOFO,2025-11-10,13.7,14.72,13.16,13.16
FOFO,2025-11-11,12.88,13.73,12.12,12.1506
FOFO,2025-11-12,12.1,12.95,11.5,11.52
FOFO,2025-11-13,12.205,12.205,11.2,11.2
FOFO,2025-11-14,11.6201,11.67,11.5,11.67
FOFO,2025-11-17,12.2,12.2,11.17,11.17
FOFO,2025-11-18,11.2,12.39,11.0,11.45
FOFO,2025-11-19,11.5,11.7001,10.38,10.63
FOFO,2025-11-20,11.21,11.34,10.29,10.64
FOFO,2025-11-21,11.0,12.5,10.2,10.3
FOFO,2025-11-24,11.275,11.275,10.38,11.09
FOFO,2025-11-25,10.56,11.05,10.22,10.5
FOFO,2025-11-26,10.0,10.875,9.85,10.28
FOFO,2025-11-28,10.2,11.5,10.2,11.19
FOFO,2025-12-01,11.01,11.445,11.0,11.0
FOFO,2025-12-02,11.0,11.99,11.0,11.57
FOFO,2025-12-03,11.8,14.93,11.7,12.65
FOFO,2025-12-04,13.6691,13.99,12.155,12.2
FOFO,2025-12-05,12.63,13.0,12.12,12.4
FOFO,2025-12-08,12.55,12.66,12.02,12.12
FOFO,2025-12-09,12.5,13.5,11.0202,11.8
FOFO,2025-12-10,11.875,12.07,11.53,11.555
FOFO,2025-12-11,11.6,12.2544,11.5,12.06
FOFO,2025-12-12,12.59,12.63,11.82,12.11
FOFO,2025-12-15,12.5,12.5,10.52,11.263
FOFO,2025-12-16,11.26,11.31,10.51,10.93
FOFO,2025-12-17,11.12,11.7,10.12,10.5
FOFO,2025-12-18,10.88,10.89,10.1,10.4877
FOFO,2025-12-19,10.0,10.5,9.5,9.53
FOFO,2025-12-22,9.7,10.33,9.7,10.33
FOFO,2025-12-23,10.09,10.405,9.4,10.038
FOFO,2025-12-24,9.67,10.0,9.6698,9.8458
FOFO,2025-12-26,9.84,11.37,9.49,10.53
FOFO,2025-12-29,10.46,10.8,9.3,9.31
FOFO,2025-12-30,9.6,9.9283,9.5869,9.9283
FOFO,2025-12-31,9.8,9.8,9.6,9.67
FOFO,2026-01-02,9.46,9.51,8.73,8.73
FOFO,2026-01-05,9.14,9.51,8.8513,9.12
FOFO,2026-01-06,9.15,9.585,5.5,6.51
FOFO,2026-01-07,6.51,7.39,4.53,6.06
FOFO,2026-01-08,6.17,6.63,5.6,6.53
FOFO,2026-01-09,6.3,6.63,6.11,6.32
FOFO,2026-01-12,6.57,6.57,6.0,6.15
FOFO,2026-01-13,6.35,6.35,5.81,6.087
FOFO,2026-01-14,6.05,6.25,5.85,5.98
FOFO,2026-01-15,6.11,6.4302,6.11,6.39
FOFO,2026-01-16,6.35,6.41,5.8,5.86
FOFO,2026-01-20,6.01,6.13,5.86,5.89
FOFO,2026-01-21,5.9167,6.12,5.9,5.92
FOFO,2026-01-22,5.96,6.49,5.96,6.34
FOFO,2026-01-23,6.43,6.49,6.0,6.0
FOFO,2026-01-26,6.022,6.022,5.635,5.71
FOFO,2026-01-27,6.14,6.14,5.56,5.59
FOFO,2026-01-28,5.8,6.09,5.62,5.74
FOFO,2026-01-29,5.67,5.67,5.6,5.67
FOFO,2026-01-30,5.62,5.74,5.5,5.51
FOFO,2026-02-02,5.55,6.02,5.51,5.57
