ticker,date,open,high,low,close
FUSE,2025-10-23,2.9,4.25,2.8,4.0
FUSE,2025-10-24,3.3,3.4499,2.73,2.73
FUSE,2025-10-27,2.8,2.85,2.42,2.635
FUSE,2025-10-28,2.52,3.18,2.35,3.14
FUSE,2025-10-29,3.08,3.25,2.82,2.975
FUSE,2025-10-30,2.96,2.9997,2.55,2.56
FUSE,2025-10-31,2.55,2.8,2.55,2.7
FUSE,2025-11-03,2.65,2.775,2.55,2.74
FUSE,2025-11-04,2.67,2.7,2.32,2.55
FUSE,2025-11-05,2.54,2.7,2.402,2.57
FUSE,2025-11-06,2.53,2.584,2.2,2.26
FUSE,2025-11-07,2.22,2.25,1.75,1.8
FUSE,2025-11-10,1.87,2.05,1.65,1.98
FUSE,2025-11-11,1.96,1.96,1.7501,1.78
FUSE,2025-11-12,1.77,1.86,1.73,1.84
FUSE,2025-11-13,1.81,1.89,1.7506,1.83
FUSE,2025-11-14,1.81,1.92,1.728,1.84
FUSE,2025-11-17,1.85,1.9449,1.6,1.74
FUSE,2025-11-18,1.74,1.7472,1.6,1.676
FUSE,2025-11-19,1.65,1.72,1.64,1.65
FUSE,2025-11-20,1.7,1.785,1.62,1.64
FUSE,2025-11-21,1.69,1.735,1.6452,1.69
FUSE,2025-11-24,1.74,1.91,1.65,1.9
FUSE,2025-11-25,1.88,2.0153,1.755,1.9
FUSE,2025-11-26,1.97,1.97,1.8585,1.905
FUSE,2025-11-28,1.845,1.91,1.81,1.83
FUSE,2025-12-01,1.92,1.92,1.65,1.65
FUSE,2025-12-02,1.65,1.79,1.65,1.73
FUSE,2025-12-03,1.78,1.8,1.72,1.75
FUSE,2025-12-04,1.77,1.8,1.7,1.8
FUSE,2025-12-05,1.8,1.83,1.705,1.78
FUSE,2025-12-08,1.82,1.97,1.7,1.89
FUSE,2025-12-09,1.85,1.89,1.8,1.81
FUSE,2025-12-10,1.7741,1.9999,1.75,1.91
FUSE,2025-12-11,1.93,2.39,1.87,2.27
FUSE,2025-12-12,2.2,2.38,2.0346,2.06
FUSE,2025-12-15,2.03,2.1,1.8,1.95
FUSE,2025-12-16,1.88,2.1,1.86,2.07
FUSE,2025-12-17,1.96,2.09,1.88,2.05
FUSE,2025-12-18,1.95,2.15,1.94,2.03
FUSE,2025-12-19,2.09,2.22,1.95,2.07
FUSE,2025-12-22,2.09,2.09,1.8372,1.89
FUSE,2025-12-23,1.9,1.9,1.82,1.82
FUSE,2025-12-24,1.8,2.0,1.8,1.94
FUSE,2025-12-26,1.94,1.94,1.85,1.91
FUSE,2025-12-29,1.93,2.02,1.8701,1.89
FUSE,2025-12-30,1.875,1.925,1.67,1.81
FUSE,2025-12-31,1.71,1.79,1.45,1.65
FUSE,2026-01-02,1.7,1.72,1.54,1.7
FUSE,2026-01-05,1.72,1.785,1.5,1.67
FUSE,2026-01-06,1.7396,1.76,1.65,1.71
FUSE,2026-01-07,1.79,1.86,1.69,1.8
FUSE,2026-01-08,1.71,1.88,1.71,1.77
FUSE,2026-01-09,1.74,1.87,1.74,1.79
FUSE,2026-01-12,1.79,2.05,1.79,1.92
FUSE,2026-01-13,1.92,2.0,1.8301,1.85
FUSE,2026-01-14,1.78,1.835,1.69,1.76
FUSE,2026-01-15,1.78,1.862,1.71,1.75
FUSE,2026-01-16,1.6947,1.8039,1.67,1.67
FUSE,2026-01-20,1.64,1.88,1.61,1.64
FUSE,2026-01-21,1.71,1.8471,1.6,1.64
FUSE,2026-01-22,1.64,1.8898,1.63,1.68
FUSE,2026-01-23,1.71,1.8399,1.66,1.66
FUSE,2026-01-26,1.66,1.73,1.6,1.71
FUSE,2026-01-27,1.69,1.73,1.62,1.63
FUSE,2026-01-28,1.66,1.66,1.56,1.5628
FUSE,2026-01-29,1.59,1.69,1.55,1.6
FUSE,2026-01-30,1.57,1.6926,1.5601,1.58
FUSE,2026-02-02,2.29,3.59,2.26,2.78
