ticker,date,open,high,low,close
GBLI,2003-12-16,34.0,35.0,33.9,35.0
GBLI,2003-12-17,35.0,35.22,34.12,34.4
GBLI,2003-12-18,34.78,34.8,34.0,34.2
GBLI,2003-12-19,34.02,34.4,34.02,34.24
GBLI,2003-12-22,34.24,34.4,34.0,34.0
GBLI,2003-12-23,34.2,34.4,34.02,34.4
GBLI,2003-12-24,34.04,34.4,34.04,34.24
GBLI,2003-12-26,34.0,34.6,34.0,34.46
GBLI,2003-12-29,34.1,34.9,34.1,34.5
GBLI,2003-12-30,34.8,34.9,34.5,34.9
GBLI,2003-12-31,34.8,35.8,34.1,35.34
GBLI,2004-01-02,35.76,35.94,35.16,35.36
GBLI,2004-01-05,35.1,35.7,34.6,35.7
GBLI,2004-01-06,34.82,35.72,34.82,35.42
GBLI,2004-01-07,35.02,35.94,34.7,35.94
GBLI,2004-01-08,35.92,36.0,35.5,35.8
GBLI,2004-01-09,35.5,36.2,35.5,36.0
GBLI,2004-01-12,35.5,37.04,35.5,37.0
GBLI,2004-01-13,35.5,37.0,35.4,36.9
GBLI,2004-01-14,37.0,37.3,34.94,37.2
GBLI,2004-01-15,36.7,38.26,36.7,38.26
GBLI,2004-01-16,38.34,40.0,37.88,38.4
GBLI,2004-01-20,39.0,39.0,37.7,38.64
GBLI,2004-01-21,38.1,38.42,37.7,38.02
GBLI,2004-01-22,38.0,38.78,38.0,38.32
GBLI,2004-01-23,38.0,38.62,37.7,38.0
GBLI,2004-01-26,38.0,39.6,37.7,38.38
GBLI,2004-01-27,38.4,38.6,37.8,38.14
GBLI,2004-01-28,38.18,40.68,38.0,40.68
GBLI,2004-01-29,38.2,39.72,38.2,38.8
GBLI,2004-01-30,37.8,39.18,37.8,38.8
GBLI,2004-02-02,39.2,39.9,38.6,39.06
GBLI,2004-02-03,39.84,39.84,38.6,38.8
GBLI,2004-02-04,38.2,38.72,37.7,38.66
GBLI,2004-02-05,38.0,39.0,38.0,38.58
GBLI,2004-02-06,38.4,38.96,38.4,38.6
GBLI,2004-02-09,38.5,38.96,38.0,38.5
GBLI,2004-02-10,38.0,39.6,38.0,39.3
GBLI,2004-02-11,39.3,39.3,38.0,38.5
GBLI,2004-02-12,38.34,39.4,38.24,39.02
GBLI,2004-02-13,39.6,39.6,38.52,39.3
GBLI,2004-02-17,39.2,39.4,38.48,39.3
GBLI,2004-02-18,38.66,39.18,38.5,38.72
GBLI,2004-02-19,38.42,38.76,38.4,38.48
GBLI,2004-02-20,38.0,38.14,35.92,37.24
GBLI,2004-02-23,37.3,37.3,36.9,36.9
GBLI,2004-02-24,36.7,37.26,34.62,35.54
GBLI,2004-02-25,35.54,35.64,34.3,35.12
GBLI,2004-02-26,35.4,36.2,35.2,35.88
GBLI,2004-02-27,36.44,36.48,36.0,36.2
GBLI,2004-03-01,36.24,37.12,36.12,36.8
GBLI,2004-03-02,36.98,36.98,36.0,36.0
GBLI,2004-03-03,35.92,36.38,35.92,36.2
GBLI,2004-03-04,36.16,36.2,35.8,35.8
GBLI,2004-03-05,35.62,36.0,34.92,35.36
GBLI,2004-03-08,35.72,36.4,35.3,35.66
GBLI,2004-03-09,35.7,35.8,35.6,35.7
GBLI,2004-03-10,35.62,35.8,35.1,35.7
GBLI,2004-03-11,35.2,36.02,35.2,35.78
GBLI,2004-03-12,35.9,35.9,34.02,34.8
GBLI,2004-03-15,34.98,35.4,34.54,34.54
GBLI,2004-03-16,34.52,35.3,32.94,33.76
GBLI,2004-03-17,33.8,34.0,33.7,33.98
GBLI,2004-03-18,34.28,35.18,34.12,34.44
GBLI,2004-03-19,34.44,34.5,34.2,34.2
GBLI,2004-03-22,33.5,34.16,33.5,34.08
GBLI,2004-03-23,34.1,34.28,33.5,34.06
GBLI,2004-03-24,34.06,34.3,34.0,34.28
GBLI,2004-03-25,34.02,34.1,33.44,33.44
GBLI,2004-03-26,33.44,34.02,32.7,33.28
GBLI,2004-03-29,33.22,33.22,32.36,32.8
GBLI,2004-03-30,32.7,33.2,32.64,33.1
GBLI,2004-03-31,33.18,34.02,33.18,33.92
GBLI,2004-04-01,34.0,34.16,33.4,33.88
GBLI,2004-04-02,33.32,34.4,33.3,34.4
GBLI,2004-04-05,34.48,34.5,33.8,34.22
GBLI,2004-04-06,33.82,35.0,33.82,34.54
GBLI,2004-04-07,33.76,36.44,33.76,35.92
GBLI,2004-04-08,36.4,36.4,36.0,36.0
GBLI,2004-04-12,35.7,36.4,35.6,36.22
GBLI,2004-04-13,36.52,37.52,36.52,37.06
GBLI,2004-04-14,37.04,37.5,36.62,36.84
GBLI,2004-04-15,36.84,36.84,35.7,35.9
GBLI,2004-04-16,35.76,37.48,35.76,36.98
GBLI,2004-04-19,37.0,37.3,36.5,36.98
GBLI,2004-04-20,37.5,37.5,36.58,36.76
GBLI,2004-04-21,36.98,36.98,35.98,36.0
GBLI,2004-04-22,35.52,38.48,35.52,37.94
GBLI,2004-04-23,37.92,38.44,37.74,38.0
GBLI,2004-04-26,38.36,39.0,36.0,36.26
GBLI,2004-04-27,36.44,36.48,35.82,36.0
GBLI,2004-04-28,35.9,36.08,34.3,34.32
GBLI,2004-04-29,34.3,34.36,33.58,33.64
GBLI,2004-04-30,33.52,33.88,32.8,32.86
GBLI,2004-05-03,33.32,33.38,32.6,33.36
GBLI,2004-05-04,33.08,34.62,32.8,34.52
GBLI,2004-05-05,34.66,34.66,33.84,34.16
GBLI,2004-05-06,34.3,34.3,33.12,33.26
GBLI,2004-05-07,33.96,34.08,33.42,33.48
GBLI,2004-05-10,33.3,34.02,33.22,33.5
GBLI,2004-05-11,33.2,33.58,31.1,32.72
GBLI,2004-05-12,32.36,32.54,31.96,32.2
GBLI,2004-05-13,32.5,32.5,31.68,31.68
GBLI,2004-05-14,31.52,32.2,30.66,30.66
GBLI,2004-05-17,30.92,31.06,30.4,30.58
GBLI,2004-05-18,30.46,32.4,30.14,32.34
GBLI,2004-05-19,32.4,33.06,29.64,30.02
GBLI,2004-05-20,30.0,33.98,30.0,32.86
GBLI,2004-05-21,32.0,33.08,30.72,33.0
GBLI,2004-05-24,33.36,33.36,32.0,32.02
GBLI,2004-05-25,32.62,32.62,32.14,32.14
GBLI,2004-05-26,32.12,32.12,31.26,31.72
GBLI,2004-05-27,32.54,32.54,31.68,31.9
GBLI,2004-05-28,31.88,31.88,30.9,30.92
GBLI,2004-06-01,31.7,31.7,30.3,30.64
GBLI,2004-06-02,30.62,31.6,29.66,31.22
GBLI,2004-06-03,31.2,31.76,29.26,30.22
GBLI,2004-06-04,31.16,31.16,30.12,30.7
GBLI,2004-06-07,32.12,32.16,30.42,30.58
GBLI,2004-06-08,30.26,30.8,30.26,30.5
GBLI,2004-06-09,31.82,31.82,30.24,30.24
GBLI,2004-06-10,30.36,30.84,29.58,29.92
GBLI,2004-06-14,30.34,30.34,29.8,29.8
GBLI,2004-06-15,29.82,30.14,29.8,29.96
GBLI,2004-06-16,30.2,30.58,30.06,30.06
GBLI,2004-06-17,30.38,30.4,29.98,29.98
GBLI,2004-06-18,29.98,30.2,29.96,29.96
GBLI,2004-06-21,30.18,31.62,29.84,29.84
GBLI,2004-06-22,30.0,30.08,29.62,29.82
GBLI,2004-06-23,32.0,32.0,29.8,30.0
GBLI,2004-06-24,30.38,30.38,30.0,30.02
GBLI,2004-06-25,30.2,30.68,30.14,30.38
GBLI,2004-06-28,31.02,31.02,29.78,29.82
GBLI,2004-06-29,31.2,31.2,29.3,30.06
GBLI,2004-06-30,30.02,30.4,30.02,30.4
GBLI,2004-07-01,30.42,31.16,29.1,30.86
