ticker,date,open,high,low,close
GELS,2024-10-29,4.0,4.01,2.7,2.85
GELS,2024-10-30,2.9,2.9106,2.094,2.3696
GELS,2024-10-31,2.44,2.92,2.44,2.65
GELS,2024-11-01,2.75,2.75,2.48,2.48
GELS,2024-11-04,2.51,2.74,2.48,2.5601
GELS,2024-11-05,2.56,2.56,2.47,2.49
GELS,2024-11-06,2.48,2.99,2.47,2.5
GELS,2024-11-07,2.65,2.67,2.3,2.3
GELS,2024-11-08,2.3201,2.3201,2.3,2.3201
GELS,2024-11-11,2.4,2.4717,2.3,2.31
GELS,2024-11-12,2.35,2.41,2.21,2.38
GELS,2024-11-13,2.27,2.27,1.52,1.53
GELS,2024-11-14,1.61,1.7582,1.5,1.62
GELS,2024-11-15,1.59,1.7242,1.59,1.65
GELS,2024-11-18,1.65,1.7798,1.57,1.59
GELS,2024-11-19,1.61,1.7304,1.5501,1.61
GELS,2024-11-20,1.68,1.68,1.42,1.51
GELS,2024-11-21,1.55,1.6499,1.55,1.57
GELS,2024-11-22,1.72,1.98,1.5,1.83
GELS,2024-11-25,1.85,1.97,1.71,1.81
GELS,2024-11-26,1.97,2.0216,1.79,1.86
GELS,2024-11-27,1.91,1.9805,1.86,1.86
GELS,2024-11-29,1.96,2.03,1.915,2.0
GELS,2024-12-02,2.19,4.9799,2.1001,3.8205
GELS,2024-12-03,2.9,3.02,2.3,2.84
GELS,2024-12-04,2.78,2.78,2.3001,2.4
GELS,2024-12-05,2.33,2.489,1.7,1.9201
GELS,2024-12-06,2.0,2.2,1.84,2.0
GELS,2024-12-09,2.08,3.95,2.07,3.56
GELS,2025-01-27,2.67,2.84,2.6,2.71
GELS,2025-01-28,2.67,2.77,2.61,2.77
GELS,2025-01-29,2.71,2.8,2.6,2.75
GELS,2025-01-30,2.67,2.82,2.25,2.48
GELS,2025-01-31,2.37,2.394,2.05,2.25
GELS,2025-02-03,2.19,2.4621,2.1,2.2
GELS,2025-02-04,2.25,2.3012,2.16,2.3
GELS,2025-02-05,2.17,2.31,2.1618,2.23
GELS,2025-02-06,2.2,2.29,2.18,2.27
GELS,2025-02-07,2.17,2.31,2.17,2.29
GELS,2025-02-10,2.26,2.2659,2.1,2.24
GELS,2025-02-11,2.16,2.28,2.1,2.19
GELS,2025-02-12,2.15,2.1813,2.11,2.18
GELS,2025-02-13,2.11,2.2934,2.1,2.21
GELS,2025-02-14,2.27,2.38,2.05,2.105
GELS,2025-02-18,2.08,2.25,2.06,2.07
GELS,2025-02-19,2.218,2.218,2.05,2.11
GELS,2025-02-20,2.09,2.16,1.9,1.92
GELS,2025-02-21,2.0535,2.1,1.92,1.92
GELS,2025-02-24,1.93,1.93,1.7112,1.78
GELS,2025-02-25,1.7,1.87,1.7,1.7755
GELS,2025-02-26,1.78,2.0185,1.72,1.735
GELS,2025-02-27,1.7,1.82,1.7,1.82
GELS,2025-02-28,1.7563,1.84,1.6001,1.64
GELS,2025-03-03,1.65,1.6715,1.45,1.48
GELS,2025-03-04,1.38,1.38,1.3101,1.38
GELS,2025-03-05,1.42,1.4245,1.3,1.32
GELS,2025-03-06,1.355,1.4,1.18,1.3193
GELS,2025-03-07,1.33,1.39,1.21,1.2799
GELS,2025-03-10,1.28,1.3827,1.22,1.36
GELS,2025-03-11,1.35,1.428,1.2365,1.428
GELS,2025-03-12,1.413,1.65,1.29,1.406
GELS,2025-03-13,1.3325,1.3552,1.25,1.32
GELS,2025-03-14,1.26,1.3319,1.26,1.27
GELS,2025-03-17,1.33,1.39,1.205,1.22
GELS,2025-03-18,1.25,1.3,1.01,1.11
GELS,2025-03-19,1.2955,1.2955,1.01,1.0421
GELS,2025-03-20,1.06,1.07,0.9813,0.9813
GELS,2025-03-21,1.07,1.07,1.0055,1.06
GELS,2025-03-24,1.05,1.07,1.02,1.045
GELS,2025-03-25,1.05,1.07,1.04,1.06
GELS,2025-03-26,1.05,1.11,1.0272,1.11
GELS,2025-03-27,1.0996,1.0996,1.0852,1.0852
GELS,2025-03-28,0.96,1.11,0.9501,1.05
GELS,2025-03-31,0.95,1.05,0.93,1.04
GELS,2025-04-01,1.02,1.0274,0.9,0.95
GELS,2025-04-02,0.91,1.0505,0.91,1.0111
GELS,2025-04-03,0.9895,1.008,0.8778,0.92
GELS,2025-04-04,0.8559,0.99,0.8559,0.9005
GELS,2025-04-07,0.8995,1.0,0.7949,0.94
GELS,2025-04-08,0.8891,0.8891,0.7806,0.8891
GELS,2025-04-09,0.7701,0.9699,0.7701,0.902
GELS,2025-04-10,0.8577,0.95,0.8577,0.91
GELS,2025-04-11,0.8738,0.94875,0.8104,0.82
GELS,2025-04-14,0.9099,0.99,0.83,0.93
GELS,2025-04-15,0.99,0.99,0.8899,0.9302
GELS,2025-04-16,0.88,0.9302,0.8633,0.8741
GELS,2025-04-17,0.8501,0.935173,0.8501,0.926
GELS,2025-04-21,0.93,0.9499,0.86,0.9
GELS,2025-04-22,3.84,4.11,2.3836,2.88
GELS,2025-04-23,2.7,2.81,2.34,2.58
GELS,2025-04-24,2.44,2.6399,2.32,2.32
GELS,2025-04-25,2.32,2.33,1.82,1.9
GELS,2025-04-28,1.8,2.4597,1.8,2.33
GELS,2025-04-29,2.23,2.28,2.06,2.07
GELS,2025-04-30,1.9465,2.15,1.9465,2.06
GELS,2025-05-01,1.99,2.09,1.86,1.86
GELS,2025-05-02,1.935,1.935,1.825,1.85
GELS,2025-05-05,1.82,1.854,1.67,1.67
GELS,2025-05-06,1.67,1.7,1.5599,1.6
GELS,2025-05-07,1.48,1.54,1.37,1.39
