ticker,date,open,high,low,close
GEMI,2025-09-12,37.01,45.89,31.56,32.0
GEMI,2025-09-15,33.5,34.69,31.7,32.52
GEMI,2025-09-16,33.0,33.22,28.03,28.13
GEMI,2025-09-17,28.32,28.87,23.6001,24.525
GEMI,2025-09-18,25.17,26.65,23.51,24.47
GEMI,2025-09-19,24.3,24.62,23.1701,24.14
GEMI,2025-09-22,23.22,24.07,22.6109,23.43
GEMI,2025-09-23,23.5,26.5,22.88,24.35
GEMI,2025-09-24,24.47,24.89,23.6423,24.28
GEMI,2025-09-25,23.79,25.82,23.08,25.14
GEMI,2025-09-26,25.3,25.37,23.32,23.84
GEMI,2025-09-29,23.95,24.85,23.144,24.73
GEMI,2025-09-30,24.44,24.49,23.23,23.96
GEMI,2025-10-01,23.9,24.5,22.75,22.82
GEMI,2025-10-02,23.01,23.75,22.25,23.2
GEMI,2025-10-03,23.31,25.19,23.15,24.78
GEMI,2025-10-06,25.4041,26.75,24.56,25.29
GEMI,2025-10-07,25.47,26.44,24.25,24.27
GEMI,2025-10-08,24.25,26.25,23.98,25.65
GEMI,2025-10-09,25.7,26.34,25.0901,25.41
GEMI,2025-10-10,25.41,25.41,23.11,23.3
GEMI,2025-10-13,23.47,23.67,22.2,23.45
GEMI,2025-10-14,22.47,23.3,21.7,22.65
GEMI,2025-10-15,23.11,23.11,21.8,22.36
GEMI,2025-10-16,22.08,22.45,20.49,20.52
GEMI,2025-10-17,20.0,20.12,19.19,19.68
GEMI,2025-10-20,19.82,20.78,19.7,20.66
GEMI,2025-10-21,20.3,20.79,19.58,20.24
GEMI,2025-10-22,19.31,19.31,18.84,19.31
GEMI,2025-10-23,19.48,19.9099,19.3,19.56
GEMI,2025-10-24,19.97,20.7337,19.74,19.76
GEMI,2025-10-27,20.31,20.7,19.9601,20.33
GEMI,2025-10-28,20.22,20.93,19.665,19.93
GEMI,2025-10-29,19.75,19.92,18.9,19.21
GEMI,2025-10-30,18.88,19.05,17.4,17.5
GEMI,2025-10-31,17.63,18.61,17.4445,18.365
GEMI,2025-11-03,18.01,18.1764,17.062,17.81
GEMI,2025-11-04,16.99,17.47,16.25,16.29
GEMI,2025-11-05,16.69,17.77,16.2236,16.87
GEMI,2025-11-06,16.76,16.85,15.91,15.99
GEMI,2025-11-07,15.58,16.59,15.02,16.18
GEMI,2025-11-10,16.4,17.225,16.11,16.83
GEMI,2025-11-11,15.03,15.29,13.81,14.07
GEMI,2025-11-12,14.195,14.28,13.65,13.78
GEMI,2025-11-13,13.6,13.69,12.22,12.445
GEMI,2025-11-14,11.91,12.88,11.91,12.62
GEMI,2025-11-17,12.46,12.49,11.4,11.57
GEMI,2025-11-18,11.48,12.21,11.3101,12.071
GEMI,2025-11-19,12.01,12.08,11.0745,11.41
GEMI,2025-11-20,11.67,11.8,10.485,10.56
GEMI,2025-11-21,10.38,10.72,10.0753,10.63
GEMI,2025-11-24,10.77,10.85,10.0503,10.76
GEMI,2025-11-25,10.58,10.64,9.85,10.5
GEMI,2025-11-26,10.5751,10.82,10.26,10.77
GEMI,2025-11-28,10.8,11.3139,10.8,11.0
GEMI,2025-12-01,10.71,10.74,9.775,9.88
GEMI,2025-12-02,10.16,10.39,9.7,9.7
GEMI,2025-12-03,9.805,11.11,9.674,10.76
GEMI,2025-12-04,10.82,12.21,10.7305,11.86
GEMI,2025-12-05,11.7,12.32,11.32,11.45
GEMI,2025-12-08,11.75,11.9,11.02,11.23
GEMI,2025-12-09,11.03,11.7389,10.84,11.44
GEMI,2025-12-10,11.21,11.57,10.5739,11.36
GEMI,2025-12-11,12.82,15.27,11.79,14.99
GEMI,2025-12-12,14.13,14.95,13.0842,13.22
GEMI,2025-12-15,13.11,13.165,11.3701,11.62
GEMI,2025-12-16,11.56,12.57,11.495,12.13
GEMI,2025-12-17,12.1,12.3299,11.0103,11.05
GEMI,2025-12-18,11.12,11.48,10.71,10.78
GEMI,2025-12-19,10.905,11.59,10.78,11.39
GEMI,2025-12-22,11.71,12.01,11.4501,11.74
GEMI,2025-12-23,11.5,11.5608,10.84,11.09
GEMI,2025-12-24,11.0,11.37,10.7008,11.37
GEMI,2025-12-26,11.35,11.35,10.535,10.64
GEMI,2025-12-29,10.5,10.8092,10.11,10.23
GEMI,2025-12-30,10.255,10.37,9.93,9.94
GEMI,2025-12-31,9.95,10.0,9.67,9.92
GEMI,2026-01-02,10.1,10.5721,9.89,10.36
GEMI,2026-01-05,10.715,11.49,10.69,11.11
GEMI,2026-01-06,11.45,12.04,11.06,11.795
GEMI,2026-01-07,11.57,11.76,10.99,11.0
GEMI,2026-01-08,10.99,11.26,10.9,11.09
GEMI,2026-01-09,11.06,11.24,10.48,10.59
GEMI,2026-01-12,10.5,10.97,10.235,10.49
GEMI,2026-01-13,10.49,10.611,10.0,10.46
GEMI,2026-01-14,10.45,11.24,10.41,10.815
GEMI,2026-01-15,10.81,10.875,10.26,10.46
GEMI,2026-01-16,10.51,11.29,10.3001,10.94
GEMI,2026-01-20,10.3,10.7004,10.22,10.43
GEMI,2026-01-21,10.29,10.7,10.08,10.25
GEMI,2026-01-22,10.39,10.49,9.95,10.12
GEMI,2026-01-23,10.07,10.26,9.7,9.72
GEMI,2026-01-26,9.74,9.87,9.5084,9.64
GEMI,2026-01-27,9.58,9.7493,9.0,9.15
GEMI,2026-01-28,9.25,9.39,9.03,9.12
GEMI,2026-01-29,9.07,9.09,8.06005,8.265
GEMI,2026-01-30,8.15,8.3999,7.8413,8.33
GEMI,2026-02-02,8.17,8.19,7.6,7.62
