ticker,date,open,high,low,close
GRAN,2025-07-01,5.9,6.47,4.54,4.6
GRAN,2025-07-02,4.8,5.44,4.7,4.79
GRAN,2025-07-03,4.9,5.3,4.5606,5.12
GRAN,2025-07-07,4.99,5.03,4.6,4.77
GRAN,2025-07-08,4.76,5.95,4.76,5.15
GRAN,2025-07-09,5.01,5.59,4.95,5.1
GRAN,2025-07-10,5.24,5.8,5.2,5.4885
GRAN,2025-07-11,5.109,5.54,5.109,5.215
GRAN,2025-07-14,5.5,5.83,5.1,5.79
GRAN,2025-07-15,5.8,6.26,5.8,6.0884
GRAN,2025-07-16,6.33,6.7,5.28,5.4
GRAN,2025-07-17,5.47,5.77,5.2,5.28
GRAN,2025-07-18,5.51,5.51,4.775,5.25
GRAN,2025-07-21,5.33,5.33,4.3,4.94
GRAN,2025-07-22,4.68,5.6357,4.6,5.22
GRAN,2025-07-23,5.01,5.28,4.9,4.95
GRAN,2025-07-24,5.03,5.03,4.89,4.91
GRAN,2025-07-25,5.24,5.24,4.87,4.87
GRAN,2025-07-28,4.78,5.2,4.55,5.04
GRAN,2025-07-29,4.815,4.91,4.72,4.81
GRAN,2025-07-30,4.795,4.99,4.3102,4.6
GRAN,2025-07-31,4.41,4.7,4.05,4.57
GRAN,2025-08-01,4.43,4.99,4.38,4.52
GRAN,2025-08-04,4.44,4.91,4.21,4.6
GRAN,2025-08-05,4.79,4.91,4.52,4.54
GRAN,2025-08-06,4.6,4.6999,4.55,4.59
GRAN,2025-08-07,4.51,4.6,4.45,4.6
GRAN,2025-08-08,4.31,5.05,4.3,4.76
GRAN,2025-08-11,4.64,4.8,4.3,4.39
GRAN,2025-08-12,4.41,4.53,4.32,4.41
GRAN,2025-08-13,4.45,4.46,3.85,4.13
GRAN,2025-08-14,4.04,5.48,3.92,5.45
GRAN,2025-08-15,5.42,5.5,4.7,4.97
GRAN,2025-08-18,4.9075,4.99,4.672,4.99
GRAN,2025-08-19,4.8555,5.3249,4.58,4.84
GRAN,2025-08-20,4.9,4.97,4.415,4.65
GRAN,2025-08-21,4.68,4.68,4.202,4.25
GRAN,2025-08-22,4.54,4.74,4.09,4.18
GRAN,2025-08-25,4.45,4.49,3.71,4.22
GRAN,2025-08-26,4.07,4.3211,3.45,3.54
GRAN,2025-08-27,3.81,3.9807,3.5294,3.79
GRAN,2025-08-28,3.78,4.2099,3.76,4.01
GRAN,2025-08-29,4.01,4.2498,3.9,3.9
GRAN,2025-09-02,3.98,4.5,3.98,4.49
GRAN,2025-09-03,4.53,4.69,4.08,4.39
GRAN,2025-09-04,4.3585,4.59,4.21,4.47
GRAN,2025-09-05,4.11,4.355,4.11,4.31
GRAN,2025-09-08,4.04,4.29,4.04,4.12
GRAN,2025-09-09,4.13,4.13,3.74,3.74
