ticker,date,open,high,low,close
HAVA,2025-12-15,9.95,9.95,9.88,9.88
HAVA,2025-12-16,9.88,9.9,9.88,9.9
HAVA,2025-12-17,9.9,9.9,9.87,9.89
HAVA,2025-12-22,9.9,9.925,9.9,9.925
HAVA,2025-12-24,9.91,9.91,9.91,9.91
HAVA,2025-12-31,9.93,9.93,9.93,9.93
HAVA,2026-01-13,9.93,9.93,9.93,9.93
HAVA,2026-01-14,9.95,9.95,9.95,9.95
HAVA,2026-01-15,9.95,10.01,9.95,10.0
HAVA,2026-01-20,9.97,9.97,9.95,9.95
HAVA,2026-01-21,9.9401,9.9401,9.9401,9.9401
HAVA,2026-01-23,9.96,9.97,9.96,9.97
HAVA,2026-01-26,9.98,10.0,9.98,10.0
HAVA,2026-01-28,10.0,10.0,10.0,10.0
HAVA,2026-01-30,9.99,9.99,9.99,9.99
HAVA,2026-02-02,9.98,10.0,9.98,10.0
