ticker,date,open,high,low,close
HELP,2026-01-05,8.97,8.97,7.69,7.7
HELP,2026-01-06,7.62,8.027,7.39,7.46
HELP,2026-01-07,7.4,7.55,6.86,7.28
HELP,2026-01-08,7.2,7.47,7.17,7.37
HELP,2026-01-09,7.41,7.7899,7.3,7.53
HELP,2026-01-12,7.54,7.62,7.1396,7.38
HELP,2026-01-13,7.3,7.75,7.3,7.73
HELP,2026-01-14,7.73,8.18,7.63,8.14
HELP,2026-01-15,8.07,8.23,7.78,7.85
HELP,2026-01-16,7.8,8.075,7.61,7.74
HELP,2026-01-20,7.49,7.78,7.332,7.68
HELP,2026-01-21,7.58,8.0,7.46,7.53
HELP,2026-01-22,7.56,7.89,7.56,7.7
HELP,2026-01-23,7.71,7.77,7.45,7.54
HELP,2026-01-26,7.5,7.55,7.08,7.33
HELP,2026-01-27,7.28,7.3821,7.09,7.25
HELP,2026-01-28,7.3,7.3,7.03,7.11
HELP,2026-01-29,7.11,7.14,6.67,6.775
HELP,2026-01-30,6.67,6.89,6.52,6.63
HELP,2026-02-02,6.52,7.12,6.1,6.86
