ticker,date,open,high,low,close
HIT,2025-01-27,5.14,5.51,5.07,5.42
HIT,2025-01-28,5.42,5.6049,5.31,5.57
HIT,2025-01-29,5.56,5.855,5.3401,5.82
HIT,2025-01-30,5.75,6.75,5.61,6.18
HIT,2025-01-31,6.05,6.21,5.52,5.52
HIT,2025-02-03,5.5,5.52,5.21,5.36
HIT,2025-02-04,5.26,5.43,4.9605,5.12
HIT,2025-02-05,5.09,5.445,5.02,5.44
HIT,2025-02-06,5.55,5.615,5.06,5.31
HIT,2025-02-07,5.4,5.6,5.3655,5.56
HIT,2025-02-10,5.5,5.83,5.32,5.81
HIT,2025-02-11,5.81,5.99,5.72,5.76
HIT,2025-02-12,5.74,6.08,5.6505,5.97
HIT,2025-02-13,5.94,6.03,5.58,5.94
HIT,2025-02-14,5.96,6.26,5.9,5.97
HIT,2025-02-18,6.01,6.41,6.0,6.37
HIT,2025-02-19,6.54,6.7,6.3939,6.63
HIT,2025-02-20,6.61,6.795,6.32,6.73
HIT,2025-02-21,6.69,6.78,6.52,6.62
HIT,2025-02-24,6.52,6.75,6.09,6.69
HIT,2025-02-25,6.69,6.875,6.6,6.84
HIT,2025-02-26,6.94,7.1191,6.905,6.95
HIT,2025-02-27,7.298,7.298,6.88,6.97
HIT,2025-02-28,6.89,7.11,6.8142,7.05
HIT,2025-03-03,6.57,6.815,6.43,6.629
HIT,2025-03-04,6.725,7.58,6.46,7.355
HIT,2025-03-05,7.37,7.5,7.1001,7.4
HIT,2025-03-06,7.15,7.15,6.98,7.15
HIT,2025-03-07,7.18,7.33,7.15,7.15
HIT,2025-03-10,7.16,7.5,7.13,7.21
HIT,2025-03-11,7.23,7.59,7.23,7.455
HIT,2025-03-12,1.32,1.32,1.04,1.32
HIT,2025-03-13,1.23,1.445,1.0203,1.1
HIT,2025-03-14,1.07,1.08,0.7861,0.818
HIT,2025-03-17,0.8205,1.03,0.6666,0.8292
HIT,2025-03-18,0.76,0.8,0.6763,0.6779
HIT,2025-03-19,0.6999,0.82,0.6999,0.7229
HIT,2025-03-20,0.6911,0.71489,0.651,0.7001
HIT,2025-03-21,0.6883,0.695,0.6374,0.6563
HIT,2025-03-24,0.6728,0.6728,0.59,0.64
HIT,2025-03-25,0.62,0.8181,0.6156,0.77
HIT,2025-03-26,0.7685,0.9499,0.7685,0.775
HIT,2025-03-27,0.7334,0.79,0.6701,0.6857
HIT,2025-03-28,0.68,0.75,0.6754,0.6804
HIT,2025-03-31,0.66,0.68,0.63,0.6617
HIT,2025-04-01,0.6662,0.74,0.651,0.6937
