ticker,date,open,high,low,close
HKPD,2025-01-27,2.33,2.39,2.03,2.36
HKPD,2025-01-28,2.3,2.37,2.18,2.22
HKPD,2025-01-29,2.137,2.22,1.8,2.165
HKPD,2025-01-30,2.18,2.3699,1.85,2.03
HKPD,2025-01-31,2.07,2.1,1.9,2.0
HKPD,2025-02-03,1.9103,2.156,1.89,1.97
HKPD,2025-02-04,2.038,2.1,1.92,2.0
HKPD,2025-02-05,1.9,2.1,1.9,2.0
HKPD,2025-02-06,1.91,2.01,1.8,1.8207
HKPD,2025-02-07,1.85,1.94,1.85,1.9399
HKPD,2025-02-10,1.96,2.0,1.8,1.85
HKPD,2025-02-11,1.85,1.95,1.81,1.81
HKPD,2025-02-12,1.81,2.13,1.8,2.09
HKPD,2025-02-13,2.03,2.3,2.0208,2.2
HKPD,2025-02-14,2.13,2.15,1.8787,1.94
HKPD,2025-02-18,1.89,2.17,1.85,2.01
HKPD,2025-02-19,2.0,2.0923,1.96,1.99
HKPD,2025-02-20,1.9302,2.02,1.7437,1.77
HKPD,2025-02-21,1.77,1.9,1.6601,1.771
HKPD,2025-02-24,1.77,1.8266,1.7181,1.73
HKPD,2025-02-25,1.7498,1.82,1.7,1.76
HKPD,2025-02-26,1.75,1.84,1.72,1.73
HKPD,2025-02-27,1.68,1.85,1.68,1.77
HKPD,2025-02-28,1.712,1.8273,1.48,1.6042
HKPD,2025-03-03,1.42,1.42,1.31,1.42
HKPD,2025-03-04,1.39,1.5,1.3208,1.38
HKPD,2025-03-05,1.45,1.46,1.35,1.4446
HKPD,2025-03-06,1.32,1.32,1.31,1.32
HKPD,2025-03-07,1.36,1.38,1.26,1.27
HKPD,2025-03-10,1.3,1.39,1.16,1.2
HKPD,2025-03-11,1.26,1.26,1.12,1.15
HKPD,2025-03-12,1.2,1.2873,1.16,1.2187
HKPD,2025-03-13,1.21,1.21,1.15,1.1824
HKPD,2025-03-14,1.25,1.2999,1.16,1.16
HKPD,2025-03-17,1.2,1.2,1.04,1.09
HKPD,2025-03-18,1.0824,1.2,1.0824,1.2
HKPD,2025-03-19,1.2,1.64,1.15,1.4
HKPD,2025-03-20,1.51,1.55,1.31,1.36
HKPD,2025-03-21,1.34,1.39,1.2,1.25
HKPD,2025-03-24,1.2701,1.37,1.2701,1.36
HKPD,2025-03-25,1.35,1.45,1.3,1.44
HKPD,2025-03-26,1.41,1.44,1.28,1.33
HKPD,2025-03-27,1.28,1.4,1.18,1.28
HKPD,2025-03-28,1.3,1.71,1.195,1.27
HKPD,2025-03-31,1.15,1.22,1.071,1.08
HKPD,2025-04-01,1.1,1.354,1.07,1.11
HKPD,2025-04-02,1.1,1.27,1.09,1.1957
HKPD,2025-04-03,1.17,1.2,1.11,1.11
HKPD,2025-04-04,1.1348,1.25,1.0396,1.25
HKPD,2025-04-07,1.23,1.25,1.08,1.0816
HKPD,2025-04-08,1.15,1.15,1.06,1.06
HKPD,2025-04-09,1.09,1.2794,1.06,1.18
HKPD,2025-04-10,1.18,1.18,1.05,1.05
HKPD,2025-04-11,1.07,1.0995,1.05,1.0995
HKPD,2025-04-14,1.071,1.35,1.0396,1.27
HKPD,2025-04-15,1.2,1.2,1.1101,1.2
HKPD,2025-04-16,1.1779,1.1779,1.01,1.03
HKPD,2025-04-17,1.02,1.02,0.9022,0.9067
HKPD,2025-04-21,0.8822,0.9668,0.8822,0.9337
HKPD,2025-04-22,0.9957,0.9957,0.94,0.96
HKPD,2025-04-23,0.98,1.1,0.98,0.995
HKPD,2025-04-24,0.9602,1.0,0.9599,0.97
HKPD,2025-04-25,0.98,1.0,0.96,0.9885
HKPD,2025-04-28,0.8901,0.8901,0.89,0.8901
HKPD,2025-04-29,0.887,0.963298,0.84,0.912
HKPD,2025-04-30,0.9,1.1,0.8925,1.08
HKPD,2025-05-01,1.1,1.37,1.01,1.175
HKPD,2025-05-02,1.05,1.05,0.92,0.9999
HKPD,2025-05-05,0.968,0.9999,0.9279,0.9398
HKPD,2025-05-06,0.8997,0.8997,0.8603,0.8997
HKPD,2025-05-07,0.9,0.9118,0.87,0.8802
HKPD,2025-05-08,0.8802,0.9,0.8603,0.8902
HKPD,2025-05-09,0.85,0.9,0.848,0.89
HKPD,2025-05-12,0.9106,1.13,0.8712,1.08
HKPD,2025-05-13,1.06,1.06,0.99,1.06
HKPD,2025-05-14,1.0586,1.09,1.01,1.07
HKPD,2025-05-15,1.04,1.0799,0.98,1.01
HKPD,2025-05-16,1.0,1.035,0.9995,1.0199
HKPD,2025-05-19,1.3,1.6,1.21,1.29
HKPD,2025-05-20,1.14,1.27,1.02,1.06
HKPD,2025-05-21,1.0501,1.06,0.97,0.999
HKPD,2025-05-22,1.0,1.08,0.9494,1.0
HKPD,2025-05-23,0.9806,1.16,0.9605,1.11
