ticker,date,open,high,low,close
HYFT,2025-09-04,2.02,2.0668,1.88,1.99
HYFT,2025-09-05,1.97,1.99,1.82,1.94
HYFT,2025-09-08,1.92,2.0,1.85,1.85
HYFT,2025-09-09,1.81,1.92,1.8,1.89
HYFT,2025-09-10,1.88,2.0,1.86,1.91
HYFT,2025-09-11,1.9,2.17,1.88,2.17
HYFT,2025-09-12,2.25,2.3,1.95,2.21
HYFT,2025-09-15,2.26,2.26,1.58,1.76
HYFT,2025-09-16,1.731,1.731,1.51,1.59
HYFT,2025-09-17,1.57,1.63,1.42,1.5495
HYFT,2025-09-18,1.57,1.96,1.55,1.88
HYFT,2025-09-19,1.87,1.87,1.68,1.73
HYFT,2025-09-22,2.0,2.08,1.89,2.01
HYFT,2025-09-23,2.03,2.0374,1.875,1.91
HYFT,2025-09-24,1.95,2.0399,1.8772,1.89
HYFT,2025-09-25,1.9,1.935,1.75,1.77
HYFT,2025-09-26,1.78,1.85,1.77,1.8
HYFT,2025-09-29,1.8,1.89,1.69,1.73
HYFT,2025-09-30,1.72,1.79,1.67,1.76
HYFT,2025-10-01,1.75,1.84,1.7207,1.78
HYFT,2025-10-02,1.79,1.82,1.7,1.77
HYFT,2025-10-03,1.77,1.7885,1.66,1.69
HYFT,2025-10-06,1.72,1.83,1.66,1.83
HYFT,2025-10-07,1.83,1.95,1.8008,1.88
HYFT,2025-10-08,1.89,1.95,1.82,1.87
HYFT,2025-10-09,2.05,2.19,1.95,1.97
HYFT,2025-10-10,2.02,2.02,1.8,1.81
HYFT,2025-10-13,1.87,1.92,1.84,1.9
HYFT,2025-10-14,1.88,1.9,1.78,1.8
HYFT,2025-10-15,1.8,1.8379,1.68,1.7
HYFT,2025-10-16,1.77,1.7799,1.61,1.64
HYFT,2025-10-17,1.65,1.65,1.5,1.58
HYFT,2025-10-20,1.65,1.65,1.56,1.64
HYFT,2025-10-21,1.58,1.62,1.4,1.52
HYFT,2025-10-22,1.45,1.45,1.37,1.45
HYFT,2025-10-23,1.46,1.57,1.44,1.54
HYFT,2025-10-24,1.6,1.72,1.5506,1.64
HYFT,2025-10-27,1.66,1.76,1.56,1.73
HYFT,2025-10-28,1.68,1.7751,1.63,1.63
HYFT,2025-10-29,1.64,1.72,1.6111,1.62
HYFT,2025-10-30,1.63,1.67,1.6,1.61
HYFT,2025-10-31,1.63,1.9269,1.62,1.8603
HYFT,2025-11-03,1.9,1.91,1.75,1.755
HYFT,2025-11-04,1.73,1.88,1.7,1.76
HYFT,2025-11-05,1.73,1.84,1.72,1.81
HYFT,2025-11-06,1.81,1.8383,1.7,1.7
HYFT,2025-11-07,1.67,1.74,1.5723,1.73
HYFT,2025-11-10,1.75,1.83,1.7,1.7562
HYFT,2025-11-11,1.75,1.8,1.71,1.79
HYFT,2025-11-12,1.79,1.845,1.69,1.793
HYFT,2025-11-13,1.75,1.8899,1.65,1.65
HYFT,2025-11-14,1.58,1.74,1.55,1.68
HYFT,2025-11-17,1.66,1.775,1.65,1.75
HYFT,2025-11-18,1.71,1.8,1.675,1.76
HYFT,2025-11-19,1.78,1.86,1.69,1.81
HYFT,2025-11-20,1.85,1.91,1.7575,1.77
HYFT,2025-11-21,1.77,1.795,1.64,1.65
HYFT,2025-11-24,1.71,1.76,1.71,1.75
HYFT,2025-11-25,1.74,1.8,1.68,1.79
HYFT,2025-11-26,1.8,2.03,1.74,1.945
HYFT,2025-11-28,1.97,2.15,1.9601,2.06
HYFT,2025-12-01,2.03,2.03,1.82,1.83
HYFT,2025-12-02,1.84,1.85,1.75,1.75
HYFT,2025-12-03,1.77,1.8975,1.75,1.87
HYFT,2025-12-04,1.89,2.08,1.8727,2.07
HYFT,2025-12-05,2.07,2.08,1.94,2.0
HYFT,2025-12-08,1.99,2.02,1.928,1.93
HYFT,2025-12-09,1.96,1.985,1.91,1.94
HYFT,2025-12-10,1.95,1.95,1.83,1.88
HYFT,2025-12-11,1.86,1.92,1.85,1.87
HYFT,2025-12-12,1.88,1.94,1.76,1.77
HYFT,2025-12-15,1.99,1.99,1.77,1.773
HYFT,2025-12-16,1.75,1.79,1.62,1.68
HYFT,2025-12-17,1.68,1.87,1.68,1.77
HYFT,2025-12-18,1.77,1.8299,1.57,1.63
HYFT,2025-12-19,1.63,1.68,1.6,1.66
HYFT,2025-12-22,1.67,1.81,1.6596,1.73
HYFT,2025-12-23,1.7,1.74,1.68,1.7
HYFT,2025-12-24,1.69,1.7399,1.68,1.72
HYFT,2025-12-26,1.74,1.74,1.6628,1.7
HYFT,2025-12-29,1.65,1.7,1.65,1.65
HYFT,2025-12-30,1.66,1.735,1.64,1.725
HYFT,2025-12-31,1.74,1.84,1.71,1.82
HYFT,2026-01-02,1.8,2.04,1.8,2.02
HYFT,2026-01-05,2.03,2.39,2.03,2.26
HYFT,2026-01-06,2.25,2.33,2.18,2.32
HYFT,2026-01-07,2.31,2.73,2.23,2.67
HYFT,2026-01-08,2.67,2.8,2.51,2.78
HYFT,2026-01-09,2.76,2.87,2.69,2.72
HYFT,2026-01-12,2.99,2.99,2.19,2.61
HYFT,2026-01-13,2.63,2.63,2.42,2.44
HYFT,2026-01-14,2.43,2.435,2.11,2.14
HYFT,2026-01-15,2.16,2.21,1.95,2.0
HYFT,2026-01-16,1.98,2.2,1.82,2.07
HYFT,2026-01-20,2.01,2.05,1.9101,1.95
HYFT,2026-01-21,1.92,2.04,1.85,2.03
HYFT,2026-01-22,2.04,2.33,2.04,2.3
HYFT,2026-01-23,2.32,2.39,2.19,2.27
HYFT,2026-01-26,2.28,2.2931,2.13,2.16
HYFT,2026-01-27,2.17,2.2319,2.13,2.19
HYFT,2026-01-28,2.175,2.2,1.9921,2.005
HYFT,2026-01-29,2.01,2.05,1.75,1.8
HYFT,2026-01-30,1.77,1.81,1.595,1.62
HYFT,2026-02-02,1.6614,1.6843,1.55,1.62
