ticker,date,open,high,low,close
HYNE,2025-12-05,13.75,14.0,13.645,13.8
HYNE,2025-12-08,13.93,14.25,13.92,14.06
HYNE,2025-12-09,13.94,14.06,13.72,13.83
HYNE,2025-12-10,13.81,13.9,13.72,13.72
HYNE,2025-12-11,13.75,13.839,13.7,13.75
HYNE,2025-12-12,13.75,13.77,13.56,13.67
HYNE,2025-12-15,13.74,13.78,13.56,13.65
HYNE,2025-12-16,13.695,13.75,13.65,13.7
HYNE,2025-12-17,13.672,13.672,13.647,13.672
HYNE,2025-12-18,13.71,13.75,13.6284,13.68
HYNE,2025-12-19,13.7,13.75,13.65,13.71
HYNE,2025-12-22,13.75,13.75,13.65,13.75
HYNE,2025-12-23,13.7295,13.9,13.71,13.85
HYNE,2025-12-24,13.85,13.85,13.76,13.76
HYNE,2025-12-26,13.7817,13.85,13.76,13.85
HYNE,2025-12-29,13.9,14.09,13.9,14.04
HYNE,2025-12-30,14.06,14.4,14.06,14.385
HYNE,2025-12-31,14.4,14.6,14.38,14.49
HYNE,2026-01-02,14.39,14.55,14.025,14.19
HYNE,2026-01-05,14.2,14.5,14.2,14.48
HYNE,2026-01-06,14.51,14.6,14.4,14.56
HYNE,2026-01-07,14.53,14.53,14.02,14.17
HYNE,2026-01-08,14.17,14.45,14.15,14.29
HYNE,2026-01-09,14.216,14.216,14.16,14.216
HYNE,2026-01-12,14.22,14.45,14.0866,14.22
HYNE,2026-01-13,14.35,14.45,14.19,14.36
HYNE,2026-01-14,14.4,14.45,14.2925,14.39
HYNE,2026-01-15,14.4,14.5,14.27,14.29
HYNE,2026-01-16,14.305,14.51,14.255,14.46
HYNE,2026-01-20,14.49,14.56,14.33,14.49
HYNE,2026-01-21,14.51,14.85,14.33,14.645
HYNE,2026-01-22,14.75,14.8,14.2501,14.65
HYNE,2026-01-23,14.78,14.78,14.4778,14.49
HYNE,2026-01-26,14.6,14.69,14.3401,14.45
HYNE,2026-01-27,14.36,14.7,14.34,14.57
HYNE,2026-01-28,14.57,14.69,14.22,14.24
HYNE,2026-01-29,14.25,14.4,14.215,14.25
HYNE,2026-01-30,14.43,14.43,14.23,14.345
HYNE,2026-02-02,14.42,14.55,14.2601,14.47
