ticker,date,open,high,low,close
HYPD,2025-07-03,16.3,16.35,13.0,14.36
HYPD,2025-07-07,13.73,14.0,11.0,11.38
HYPD,2025-07-08,11.51,13.48,10.7524,11.56
HYPD,2025-07-09,12.38,12.9058,10.0,10.79
HYPD,2025-07-10,10.99,12.82,10.4,12.59
HYPD,2025-07-11,13.23,13.23,11.8,13.23
HYPD,2025-07-14,15.0,15.9799,11.5,12.03
HYPD,2025-07-15,12.0,13.525,11.0,12.885
HYPD,2025-07-16,13.13,16.12,12.61,15.97
HYPD,2025-07-17,15.15,15.8858,13.61,15.86
HYPD,2025-07-18,15.45,15.45,12.515,12.88
HYPD,2025-07-21,13.14,13.3,11.59,11.64
HYPD,2025-07-22,11.5,12.5891,11.05,11.52
HYPD,2025-07-23,11.52,11.65,8.6135,9.32
HYPD,2025-07-24,9.12,9.5819,8.01,8.17
HYPD,2025-07-25,8.53,8.53,6.79,7.7
HYPD,2025-07-28,8.17,10.053,7.86,9.5
HYPD,2025-07-29,9.4,9.59,8.21,8.76
HYPD,2025-07-30,8.5,9.11,7.81,7.88
HYPD,2025-07-31,8.0,8.99,8.0,8.255
HYPD,2025-08-01,7.75,7.75,6.61,7.08
HYPD,2025-08-04,7.32,7.87,6.055,6.29
HYPD,2025-08-05,6.11,6.28,5.075,5.4
HYPD,2025-08-06,5.66,5.85,5.23,5.45
HYPD,2025-08-07,5.6,6.54,5.345,5.505
HYPD,2025-08-08,5.51,8.15,5.51,7.46
HYPD,2025-08-11,7.6,8.57,7.39,7.9
HYPD,2025-08-12,7.84,7.904,6.6101,7.23
HYPD,2025-08-13,7.53,7.915,6.6,7.04
HYPD,2025-08-14,6.9,6.92,5.99,6.69
HYPD,2025-08-15,7.13,7.2,6.71,7.2
HYPD,2025-08-18,7.0,7.6482,6.79,7.46
HYPD,2025-08-19,7.31,7.72,6.48,6.58
HYPD,2025-08-20,6.8,6.8964,5.9008,6.21
HYPD,2025-08-21,6.2,6.4384,6.05,6.1
HYPD,2025-08-22,5.96,6.575,5.85,6.16
HYPD,2025-08-25,6.16,6.34,5.7501,6.1
HYPD,2025-08-26,6.0,7.0599,5.87,6.98
HYPD,2025-08-27,7.115,8.18,6.65,6.9
HYPD,2025-08-28,6.89,7.03,6.2,6.63
HYPD,2025-08-29,6.53,6.66,6.0,6.1
HYPD,2025-09-02,6.02,6.39,5.7,5.93
HYPD,2025-09-03,5.93,6.0786,5.78,5.88
HYPD,2025-09-04,5.82,6.22,5.54,6.14
HYPD,2025-09-05,6.24,6.24,5.89,6.14
HYPD,2025-09-08,6.43,6.81,6.13,6.48
HYPD,2025-09-09,7.09,8.99,6.64,8.75
HYPD,2025-09-10,9.46,11.1,8.5,10.6
HYPD,2025-09-11,11.0,12.2808,10.04,11.99
HYPD,2025-09-12,12.36,15.0,10.68,14.98
HYPD,2025-09-15,13.87,14.04,10.63,11.56
HYPD,2025-09-16,12.13,13.36,11.0,11.55
HYPD,2025-09-17,11.91,12.91,11.3,12.26
HYPD,2025-09-18,12.6,13.71,11.78,12.22
HYPD,2025-09-19,11.73,12.37,11.25,11.25
HYPD,2025-09-22,10.42,11.15,9.85,10.16
HYPD,2025-09-23,10.22,11.8758,10.1,10.105
HYPD,2025-09-24,10.15,10.3589,9.53,9.61
HYPD,2025-09-25,9.38,9.38,8.0,8.46
HYPD,2025-09-26,9.01,9.7,8.64,9.57
HYPD,2025-09-29,9.57,10.939,9.5,10.24
HYPD,2025-09-30,9.99,10.0508,9.14,9.58
HYPD,2025-10-01,9.8,10.7882,9.7,9.94
HYPD,2025-10-02,9.95,11.89,9.94,11.83
HYPD,2025-10-03,11.88,11.88,10.65,11.07
HYPD,2025-10-06,11.41,11.41,10.0,10.39
HYPD,2025-10-07,10.13,10.1821,8.62,9.35
HYPD,2025-10-08,9.17,9.46,8.77,9.06
HYPD,2025-10-09,8.9,9.1,8.178,8.39
HYPD,2025-10-10,8.96,9.4999,7.92,8.03
HYPD,2025-10-13,8.58,8.6412,7.23,7.78
HYPD,2025-10-14,7.59,8.3,7.4504,8.09
HYPD,2025-10-15,8.0,8.16,7.27,7.67
HYPD,2025-10-16,7.7,8.0,6.755,6.81
HYPD,2025-10-17,6.59,7.35,6.49,7.27
HYPD,2025-10-20,7.54,7.83,7.28,7.59
HYPD,2025-10-21,7.4,7.95,7.05,7.54
HYPD,2025-10-22,7.26,7.52,6.86,7.12
HYPD,2025-10-23,7.14,8.15,7.1,8.08
HYPD,2025-10-24,8.2,8.33,7.68,7.74
HYPD,2025-10-27,8.43,8.49,7.91,8.35
HYPD,2025-10-28,8.2,9.11,8.04,8.18
HYPD,2025-10-29,8.09,8.09,7.0101,7.21
HYPD,2025-10-30,7.31,7.45,6.59,6.6
HYPD,2025-10-31,6.51,6.87,6.04,6.42
HYPD,2025-11-03,6.33,6.46,5.76,5.99
HYPD,2025-11-04,5.71,6.0,5.4,5.415
HYPD,2025-11-05,6.0,6.32,5.7,5.92
HYPD,2025-11-06,5.95,5.95,5.5,5.67
HYPD,2025-11-07,5.36,6.48,5.281,6.44
HYPD,2025-11-10,6.26,6.3,5.51,5.83
HYPD,2025-11-11,6.0,6.0,5.5155,5.7
HYPD,2025-11-12,5.8,6.0,5.28,5.4
HYPD,2025-11-13,5.37,5.6299,4.755,4.88
HYPD,2025-11-14,4.09,5.34,4.09,5.035
HYPD,2025-11-17,4.63,4.79,4.1,4.25
HYPD,2025-11-18,4.27,5.14,4.23,5.0
HYPD,2025-11-19,4.89,5.13,4.67,4.715
HYPD,2025-11-20,5.02,5.0255,4.21,4.3058
HYPD,2025-11-21,4.22,4.258,3.82,4.01
HYPD,2025-11-24,4.05,4.1481,3.75,4.09
HYPD,2025-11-25,4.13,4.19,3.775,4.05
