ticker,date,open,high,low,close
IGAC,2020-12-02,9.71,9.78,9.7,9.744
IGAC,2020-12-03,9.7975,9.85,9.71,9.84
IGAC,2020-12-04,9.87,9.87,9.7296,9.7978
IGAC,2020-12-07,9.81,9.85,9.73,9.79
IGAC,2020-12-08,9.7905,9.85,9.78,9.84
IGAC,2020-12-09,9.88,9.9,9.8187,9.9
IGAC,2020-12-10,9.95,9.95,9.85,9.89
IGAC,2020-12-11,10.46,10.97,10.08,10.2
IGAC,2020-12-14,10.15,10.2,9.99,10.1
IGAC,2020-12-15,9.98,10.08,9.96,10.05
IGAC,2020-12-16,10.0,10.02,9.92,10.02
IGAC,2020-12-17,10.01,10.047,9.9901,10.0
IGAC,2020-12-18,10.02,10.0499,9.95,9.99
IGAC,2020-12-21,10.01,10.0499,9.955,10.01
IGAC,2020-12-22,10.04,10.05,9.95,10.02
IGAC,2020-12-23,10.08,10.28,10.01,10.16
IGAC,2020-12-24,10.3,10.45,10.24,10.35
IGAC,2020-12-28,10.36,10.5,10.2487,10.3
IGAC,2020-12-29,10.4,10.4,10.1,10.22
IGAC,2020-12-30,10.28,10.3,10.1999,10.24
IGAC,2020-12-31,10.29,10.35,10.13,10.13
IGAC,2021-01-04,10.21,10.24,10.05,10.1
IGAC,2021-01-05,10.09,10.21,10.09,10.1665
IGAC,2021-01-06,10.15,10.22,10.1,10.18
IGAC,2021-01-07,10.24,10.24,10.1078,10.16
IGAC,2021-01-08,10.2,10.2899,10.14,10.2
IGAC,2021-01-11,10.27,10.48,10.137,10.38
IGAC,2021-01-12,10.28,10.5,10.28,10.44
IGAC,2021-01-13,10.49,10.74,10.4,10.5
IGAC,2021-01-14,10.59,10.6899,10.47,10.65
IGAC,2021-01-15,10.59,10.61,10.4,10.57
IGAC,2021-01-19,10.61,10.64,10.44,10.56
IGAC,2021-01-20,10.56,10.69,10.5,10.55
IGAC,2021-01-21,10.55,10.68,10.51,10.67
IGAC,2021-01-22,10.59,10.68,10.55,10.63
IGAC,2021-01-25,10.58,10.69,10.5,10.55
IGAC,2021-01-26,10.53,10.67,10.5,10.58
IGAC,2021-01-27,10.49,10.49,10.32,10.44
IGAC,2021-01-28,10.37,10.52,10.27,10.48
IGAC,2021-01-29,10.45,10.55,10.4,10.4
IGAC,2021-02-01,10.41,10.73,10.41,10.53
IGAC,2021-02-02,10.58,10.76,10.5,10.6
IGAC,2021-02-03,10.6,10.66,10.56,10.63
IGAC,2021-02-04,10.7,10.7,10.5,10.69
IGAC,2021-02-05,11.09,11.25,10.77,10.85
